;language;mgsm_basic;mgsm_cot;xcopa_cause;xcopa_effect;cot;xstorycloze
10;dan_Latn;"Spørgsmål:  {question} 
Ud fra spørgsmålet formulér et talmæssigt svar.  Svar: ";"Spørgsmål:  {question} 
Ud fra spørgsmålet formulér et talmæssigt svar.  Svar:  Lad os tænke trin for trin. ";"Præmis:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Hvilken årsag er mest sandsynlig? 
Vælg mellem A og B. 
Svar:  {cot}";"Præmis:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Hvilken effekt er mere sandsynlig? 
Vælg mellem A og B. 
Svar:  {cot}";Lad os tænke trin for trin. ;"Tænk på følgende beretning:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Hvilken slutning er mest sandsynlig? 
Vælg mellem A og B. 
Svar:  {cot}"
11;deu_Latn;"Frage:  {question} 
Auf der Grundlage der Frage eine numerische Antwort formulieren.  Antwort: ";"Frage:  {question} 
Auf der Grundlage der Frage eine numerische Antwort formulieren.  Antwort:  Denken wir Schritt für Schritt. ";"Prämissen:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
Basierend auf der Prämisse, welche Ursache ist wahrscheinlicher? 
Wählen Sie zwischen Option A und B. 
Antwort:  {cot}";"Prämissen:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
Welcher Effekt ist aufgrund der Prämisse wahrscheinlicher? 
Wählen Sie zwischen Option A und B. 
Antwort:  {cot}";Denken wir Schritt für Schritt. ;"Betrachten wir folgende Geschichte:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Welches Ende der Geschichte ist am wahrscheinlisten? 
Wählen Sie zwischen Option A und B. 
Antwort:  {cot}"
12;eng_Latn;"Question:  {question} 
Based on the question, formulate a numeric answer.  Answer: ";"Question: {question} 
Based on the question, formulate a numeric answer.  Answer:  Let's think step by step. ";"Premise:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
Based on the premise, which cause is more likely? 
Pick between options A and B. 
Answer:  {cot}";"Premise:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
Based on the premise, which effect is more likely? 
Pick between options A and B. 
Answer:  {cot}";Let's think step by step. ;"Consider the following story:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Which ending to the story is most likely? 
Choose between options A and B. 
Answer:  {cot}"
13;ell_Grek;"Ερώτηση:  {question} 
Βάσει της ερώτησης, διατυπώστε μια αριθμητική απάντηση.  Απάντηση: ";"Ερώτηση:  {question} 
Βάσει της ερώτησης, διατυπώστε μια αριθμητική απάντηση.  Απάντηση:  Ας σκεφτούμε βήμα-βήμα. ";"Προκαταθήκη:  {premise} 
Επιλογή Α:  {choice1} 
Επιλογή Β: {choice2} 
Με βάση την υπόθεση, ποια αιτία είναι πιο πιθανή; 
Διάλεξε ανάμεσα στις επιλογές Α και Β. 
Απάντηση:  {cot}";"Προκαταθήκη:  {premise} 
Επιλογή Α:  {choice1} 
Επιλογή Β: {choice2} 
Με βάση την υπόθεση, ποιο αποτέλεσμα είναι πιο πιθανό; 
Διάλεξε ανάμεσα στις επιλογές Α και Β. 
Απάντηση:  {cot}";Ας σκεφτούμε βήμα-βήμα. ;"Εξετάστε την ακόλουθη ιστορία:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Επιλογή Α:  {sentence_quiz1} 
Επιλογή Β: {sentence_quiz2} 
Ποιο τέλος της ιστορίας είναι πιο πιθανό; 
Διάλεξε ανάμεσα στις επιλογές Α και Β. 
Απάντηση:  {cot}"
14;est_Latn;"Küsimus:  {question} 
Vastuse põhjal koostada numbriline vastus.  Vastus: ";"Küsimus:  {question} 
Vastuse põhjal koostada numbriline vastus.  Vastus:  Mõtleme samm-sammult. ";"Eeldus:  {premise} 
Valimine A:  {choice1} 
Valimine B: {choice2} 
Mis põhjus on tõenäolisem? 
Vali A ja B variandi vahel. 
Vastus:  {cot}";"Eeldus:  {premise} 
Valimine A:  {choice1} 
Valimine B: {choice2} 
Milline mõju on eelduste põhjal tõenäolisem? 
Vali A ja B variandi vahel. 
Vastus:  {cot}";Mõtleme samm-sammult. ;"Vaadake järgmist lugu:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Valimine A:  {sentence_quiz1} 
Valimine B: {sentence_quiz2} 
Milline lugu lõpp on kõige tõenäolisem? 
Vali A ja B variandi vahel. 
Vastus:  {cot}"
15;fin_Latn;"Kysymys:  {question} 
Laadi kysymyksen perusteella lukuinen vastaus.  Vastaa: ";"Kysymys:  {question} 
Laadi kysymyksen perusteella lukuinen vastaus.  Vastaa:  Ajatellaan askel askeleelta. ";"- Mitä?  {premise} 
Vaihtoehto A:  {choice1} 
Vaihtoehto B: {choice2} 
Mikä syy on todennäköisempi? 
Valitse vaihtoehdon A ja B välillä. 
Vastaa:  {cot}";"- Mitä?  {premise} 
Vaihtoehto A:  {choice1} 
Vaihtoehto B: {choice2} 
Mikä vaikutus on todennäköisempi? 
Valitse vaihtoehdon A ja B välillä. 
Vastaa:  {cot}";Ajatellaan askel askeleelta. ;"Ajattele seuraavaa tarinaa:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Vaihtoehto A:  {sentence_quiz1} 
Vaihtoehto B: {sentence_quiz2} 
Mikä tarinan loppu on todennäköisin? 
Valitse vaihtoehdon A ja B välillä. 
Vastaa:  {cot}"
16;fra_Latn;"Question: Vous avez  {question} 
Sur la base de la question, formulez une réponse numérique.  Réponse: ";"Question: Vous avez  {question} 
Sur la base de la question, formulez une réponse numérique.  Réponse:  Réfléchissons pas à pas. ";"Prémisse:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
D'après la prémisse, quelle cause est la plus probable? 
Choisissez entre les options A et B. 
Réponse:  {cot}";"Prémisse:  {premise} 
Option A:  {choice1} 
Option B: {choice2} 
D'après la prémisse, quel effet est le plus probable? 
Choisissez entre les options A et B. 
Réponse:  {cot}";Réfléchissons pas à pas. ;"Considérez le récit suivant:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Quelle fin de l'histoire est la plus probable? 
Choisissez entre les options A et B. 
Réponse:  {cot}"
17;hat_Latn;"Kesyon:  {question} 
Ki baze sou kesyon an, fòmile yon repons nimerik.  Repons: ";"Kesyon:  {question} 
Ki baze sou kesyon an, fòmile yon repons nimerik.  Repons:  Ann panse etap pa etap. ";"Premis:  {premise} 
Opsyon A:  {choice1} 
Opsyon B: {choice2} 
Ki sa ki pi posib ki te lakòz sa? 
Chwazi ant opsyon A ak B. 
Repons:  {cot}";"Premis:  {premise} 
Opsyon A:  {choice1} 
Opsyon B: {choice2} 
Ki efè ki pi posib, dapre sa nou di a? 
Chwazi ant opsyon A ak B. 
Repons:  {cot}";Ann panse etap pa etap. ;"Ann konsidere istwa sa a:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opsyon A:  {sentence_quiz1} 
Opsyon B: {sentence_quiz2} 
Ki fen istwa a gen plis chans? 
Chwazi ant opsyon A ak B. 
Repons:  {cot}"
18;heb_Hebr;"שאלה:  {question} 
בהתבסס על השאלה, תבצע תשובה מספרית.  תשובה: ";"שאלה:  {question} 
בהתבסס על השאלה, תבצע תשובה מספרית.  תשובה:  בואו נחשוב צעד אחר צעד. ";"הנחה:  {premise} 
אפשרות א':  {choice1} 
אפשרות ב': {choice2} 
בהתבסס על הנחת היסוד, איזו סיבה היא סבירה יותר? 
בחר בין אפשרויות א' ו-ב'. 
תשובה:  {cot}";"הנחה:  {premise} 
אפשרות א':  {choice1} 
אפשרות ב': {choice2} 
בהתבסס על הנחת היסוד, איזו השפעה היא סבירה יותר? 
בחר בין אפשרויות א' ו-ב'. 
תשובה:  {cot}";בואו נחשוב צעד אחר צעד. ;"ראה את הסיפור הבא:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
אפשרות א':  {sentence_quiz1} 
אפשרות ב': {sentence_quiz2} 
איזה סיום לסיפור הוא סביר ביותר? 
בחר בין אפשרויות א' ו-ב'. 
תשובה:  {cot}"
19;hin_Deva;"प्रश्न:  {question} 
प्रश्न के आधार पर, संख्यात्मक उत्तर तैयार करें।  उत्तर: ";"प्रश्न:  {question} 
प्रश्न के आधार पर, संख्यात्मक उत्तर तैयार करें।  उत्तर:  चलो कदम से कदम सोचो. ";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बी: {choice2} 
इस आधार पर, किस कारण की अधिक संभावना है? 
विकल्प ए और बी में से चुनें। 
उत्तर:  {cot}";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बी: {choice2} 
इस आधार पर, किस प्रभाव की अधिक संभावना है? 
विकल्प ए और बी में से चुनें। 
उत्तर:  {cot}";चलो कदम से कदम सोचो. ;"एक कहानी सुनिए:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बी: {sentence_quiz2} 
कहानी का कौन सा अंत सबसे अधिक संभावना है? 
विकल्प ए और बी में से चुनें। 
उत्तर:  {cot}"
20;hun_Latn;"Kérdés:  {question} 
A kérdés alapján számszerű válasszal válaszoljon.  Válasz: ";"Kérdés:  {question} 
A kérdés alapján számszerű válasszal válaszoljon.  Válasz:  Gondolkozzunk lépésről lépésre. ";"Előfeltétele:  {premise} 
A. opció:  {choice1} 
B. opció: {choice2} 
A feltételezés alapján melyik oka valószínűbb? 
Válasszon az A és B lehetőségek közül. 
Válasz:  {cot}";"Előfeltétele:  {premise} 
A. opció:  {choice1} 
B. opció: {choice2} 
A feltételezés alapján melyik hatás valószínűbb? 
Válasszon az A és B lehetőségek közül. 
Válasz:  {cot}";Gondolkozzunk lépésről lépésre. ;"Figyeljük meg a következő történetet:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
A. opció:  {sentence_quiz1} 
B. opció: {sentence_quiz2} 
Melyik a legvalószínűbb a történetnek? 
Válasszon az A és B lehetőségek közül. 
Válasz:  {cot}"
21;hrv_Latn;"Pitanje:  {question} 
Na temelju pitanja, formulirajte numerički odgovor.  Odgovor: ";"Pitanje:  {question} 
Na temelju pitanja, formulirajte numerički odgovor.  Odgovor:  Razmislimo korak po korak. ";"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na temelju pretpostavke, koji je uzrok vjerojatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}";"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na temelju pretpostavke, koji je učinak vjerojatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}";Razmislimo korak po korak. ;"Razmotri sljedeću priču:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opcija A:  {sentence_quiz1} 
Opcija B: {sentence_quiz2} 
Koji je kraj priče najvjerojatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}"
22;hye_Armn;"Հարց.  {question} 
Հարցի հիման վրա կազմեք թվային պատասխան:  Պատասխան. ";"Հարց.  {question} 
Հարցի հիման վրա կազմեք թվային պատասխան:  Պատասխան.  Եկեք քայլ առ քայլ մտածենք: ";"Նախադրյալ:  {premise} 
Ընտրություն A:  {choice1} 
B տարբերակ {choice2} 
Հիմնվելով այս նախադրյալի վրա, ո՞ր պատճառն է ավելի հավանական: 
Ընտրեք A եւ B տարբերակների միջեւ: 
Պատասխան.  {cot}";"Նախադրյալ:  {premise} 
Ընտրություն A:  {choice1} 
B տարբերակ {choice2} 
Հիմնվելով այս նախադրյալի վրա, ո՞ր ազդեցությունն է ավելի հավանական: 
Ընտրեք A եւ B տարբերակների միջեւ: 
Պատասխան.  {cot}";Եկեք քայլ առ քայլ մտածենք: ;"Հաշվի առնենք հետեւյալ պատմությունը.  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Ընտրություն A:  {sentence_quiz1} 
B տարբերակ {sentence_quiz2} 
Ո՞ր վերջն է ամենահավանականը: 
Ընտրեք A եւ B տարբերակների միջեւ: 
Պատասխան.  {cot}"
23;ind_Latn;"Pertanyaan:  {question} 
Berdasarkan pertanyaan, buatlah jawaban numerik.  Jawabannya: ";"Pertanyaan:  {question} 
Berdasarkan pertanyaan, buatlah jawaban numerik.  Jawabannya:  Mari kita berpikir langkah demi langkah. ";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Berdasarkan premis, penyebab mana yang lebih mungkin? 
Pilih antara pilihan A dan B. 
Jawabannya:  {cot}";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Berdasarkan premis, efek mana yang lebih mungkin? 
Pilih antara pilihan A dan B. 
Jawabannya:  {cot}";Mari kita berpikir langkah demi langkah. ;"Perhatikan kisah berikut ini:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Apa akhir dari cerita yang paling mungkin? 
Pilih antara pilihan A dan B. 
Jawabannya:  {cot}"
24;ita_Latn;"Domanda:  {question} 
Sulla base della domanda, formulare una risposta numerica.  Risposta: ";"Domanda:  {question} 
Sulla base della domanda, formulare una risposta numerica.  Risposta:  Pensiamo passo dopo passo. ";"Primo:  {premise} 
Opzione A:  {choice1} 
Opzione B: {choice2} 
Sulla base della premessa, quale causa e' piu' probabile? 
Scegli tra le opzioni A e B. 
Risposta:  {cot}";"Primo:  {premise} 
Opzione A:  {choice1} 
Opzione B: {choice2} 
Sulla base della premessa, quale effetto è più probabile? 
Scegli tra le opzioni A e B. 
Risposta:  {cot}";Pensiamo passo dopo passo. ;"Considerate la seguente storia:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opzione A:  {sentence_quiz1} 
Opzione B: {sentence_quiz2} 
Quale finale della storia e' piu' probabile? 
Scegli tra le opzioni A e B. 
Risposta:  {cot}"
25;jav_Latn;"Pitakonan:  {question} 
Adhedhasar pitakonan, formulasi jawaban numerik.  Wangsulan: ";"Pitakonan:  {question} 
Adhedhasar pitakonan, formulasi jawaban numerik.  Wangsulan:  Ayo dipikir langkah demi langkah. ";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Miturut premis, apa sebabé sing luwih mungkin? 
Pilih ing antarane opsi A lan B. 
Wangsulan:  {cot}";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Adhedhasar premis kasebut, efek endi sing luwih mungkin? 
Pilih ing antarane opsi A lan B. 
Wangsulan:  {cot}";Ayo dipikir langkah demi langkah. ;"Gatèkna crita iki:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Apa sing paling mungkin bakal kelakon ing crita iki? 
Pilih ing antarane opsi A lan B. 
Wangsulan:  {cot}"
26;jpn_Jpan;"質問: どこにいる?  {question} 
質問に基づいて,数値で答えを述べる.  答え: 答えは ";"質問: どこにいる?  {question} 
質問に基づいて,数値で答えを述べる.  答え: 答えは  段階的に考えましょう ";"仮説:  {premise} 
オプションA:  {choice1} 
オプションB: {choice2} 
仮説に基づいて,どちらの原因がより可能性が高いですか? 
選択肢AとBのどちらかを選択する. 
答え: 答えは  {cot}";"仮説:  {premise} 
オプションA:  {choice1} 
オプションB: {choice2} 
仮定に基づいて,どの効果がより可能性が高いですか? 
選択肢AとBのどちらかを選択する. 
答え: 答えは  {cot}";段階的に考えましょう ;"物語 を 考える  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
オプションA:  {sentence_quiz1} 
オプションB: {sentence_quiz2} 
物語のどちらの結末が 最もありそうか? 
選択肢AとBのどちらかを選択する. 
答え: 答えは  {cot}"
