language;bnli
ell_Grek;"Προκαταθήκη:  {premise} 
Υποθεσία:  {hypothesis} 
Η υπόθεση συνεπάγεται την υπόθεση;  
Επιλογή Α: Ναι.  
Επιλογή Β: Όχι.  
Διάλεξε ανάμεσα στην επιλογή Α και Β.  
Απάντηση: "
est_Latn;"Eeldus:  {premise} 
Hüpotees:  {hypothesis} 
Kas eeldus on seotud hüpoteesiga?  
Valimine A: Jah.  
Valimine B: Ei.  
Vali A ja B variandi vahel.  
Vastus: "
fin_Latn;"- Mitä?  {premise} 
Hypoteesi:  {hypothesis} 
Onko oletus hypoteesin mukainen?  
Vaihtoehto A: Kyllä.  
Vaihtoehto B: Ei.  
Valitse vaihtoehdon A ja B välillä.  
Vastaa: "
fra_Latn;"Prémisse:  {premise} 
Une hypothèse:  {hypothesis} 
La prémisse implique-t-elle l'hypothèse?  
Option A: Oui, le projet est déjà en cours.  
Option B: Non, ce n'est pas le cas.  
Choisissez entre les options A et B.  
Réponse: "
hat_Latn;"Premis:  {premise} 
Ipotèz:  {hypothesis} 
Èske premisi a enplike ipotèz la?  
Opsyon A: Wi.  
Opsyon B: Non.  
Chwazi ant opsyon A ak B.  
Repons: "
heb_Hebr;"הנחה:  {premise} 
השערה:  {hypothesis} 
האם הנחת היסוד כרוכה בהשערה?  
אפשרות א': כן.  
אפשרות ב': לא.  
בחר בין אפשרות א' ו-ב'.  
תשובה: "
hin_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
क्या प्रस्तावना परिकल्पना को शामिल करती है?  
विकल्प ए: हाँ।  
विकल्प बी: नहीं।  
विकल्प ए और बी में से चुनें।  
उत्तर: "
hun_Latn;"Előfeltétele:  {premise} 
Feltételezés:  {hypothesis} 
A premisszák a hipotézist is magukban foglalják?  
A. opció: Igen.  
B. lehetőség: Nem.  
Válasszon az A és a B lehetőség közül.  
Válasz: "
hrv_Latn;"Predpostavka:  {premise} 
Hipotetički:  {hypothesis} 
Da li pretpostavka podrazumijeva hipotezu?  
Mogućnost A: Da.  
B: Ne.  
Izaberite između opcije A i B.  
Odgovor: "
hye_Armn;"Նախադրյալ:  {premise} 
Ենթադրություն:  {hypothesis} 
Արդյո՞ք ենթադրությունը ենթադրություն է:  
Այո, կարող եք։  
Բ տարբերակ՝ ոչ։  
Ընտրեք A եւ B տարբերակների միջեւ:  
Պատասխան. "
ind_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Apakah premisnya melibatkan hipotesisnya?  
Pilihan A: Ya.  
Pilihan B: Tidak.  
Pilih antara pilihan A dan B.  
Jawabannya: "
ita_Latn;"Primo:  {premise} 
Ipotesi:  {hypothesis} 
La premessa implica l'ipotesi?  
Opzione A: Sì.  
Opzione B: No.  
Scegli tra l'opzione A e B.  
Risposta: "
jav_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Apa premis kasebut ndadékaké hipotesis?  
Pilihan A: Ya.  
Pilihan B: Ora.  
Pilih ing antarane opsi A lan B.  
Wangsulan: "
jpn_Jpan;"仮説:  {premise} 
仮説:  {hypothesis} 
仮説は前提に含まれているか?  
選択肢A:はい  
選択肢B: 違う  
選択肢AとBのどちらかを選択する  
答え: 答えは "
khm_Khmr;"ការសន្មត:  {premise} 
ការស្រមៃ:  {hypothesis} 
តើការលើកឡើងនេះមានន័យថាមានអត្ថន័យដូចការលើកឡើងនេះដែរឬទេ?  
ជម្រើស A: មែន។  
ជម្រើស B: ទេ  
ជ្រើសរើសពីចន្លោះជម្រើស A និង B  
ចម្លើយ: "
kor_Hang;"전제:  {premise} 
가설:  {hypothesis} 
전제는 가설을 포함하고 있나요?  
옵션 A: 네.  
옵션 B: 아니요.  
선택 A와 B 중에서 선택하세요.  
답: "
lao_Laoo;"ການຕັ້ງໃຈ:  {premise} 
ທິດສະດີ:  {hypothesis} 
ການຕັ້ງໃຈແມ່ນມີສ່ວນຮ່ວມກັບການຄາດຄະເນບໍ?  
ທາງເລືອກ A: ແມ່ນແລ້ວ.  
ທາງເລືອກ B: ບໍ່.  
ເລືອກລະຫວ່າງທາງເລືອກ A ແລະ B.  
ຄໍາຕອບ: "
mai_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
की प्रस्तावना परिकल्पना केँ अपना संग लैत अछि?  
विकल्प ए: हँ।  
विकल्प बी: नहि।  
विकल्प ए आ विकल्प बी मे सँ चुनू.  
उत्तर: "
mal_Mlym;"പ്രമേയം:  {premise} 
അനുമാനം:  {hypothesis} 
ആ പ്രമേയം ആ അനുമാനത്തെ ഉൾക്കൊള്ളുന്നുണ്ടോ?  
ഓപ്ഷൻ എ: അതെ.  
ഓപ്ഷൻ ബി: ഇല്ല  
ഓപ്ഷൻ എ, ബി എന്നിവയില് നിന്ന് തെരഞ്ഞെടുക്കുക.  
ഉത്തരം: "
mar_Deva;"आधार:  {premise} 
गृहीते:  {hypothesis} 
प्रमेय गृहीतेला सूचित करते का?  
पर्याय अ: होय.  
पर्याय ब: नाही.  
पर्याय अ आणि ब मधून निवडा.  
उत्तर: "
mya_Mymr;"အခြေခံသဘောတရား:  {premise} 
အဆိုကြမ်း:  {hypothesis} 
အဆိုကြမ်းဟာ အဆိုကြမ်းနဲ့ ကိုက်ညီလား။  
ရွေးချယ်စရာ A: ဟုတ်တယ်။  
B ရွေးချယ်မှု- မရပါ။  
ရွေးချယ်စရာ A နဲ့ B အကြားမှာ ရွေးပါ။  
အဖြေက "
nno_Latn;"Utgangspunktet:  {premise} 
Hypotese:  {hypothesis} 
Fører premissa med seg hypotesen?  
Alternativ A: Ja.  
Alternativ B: Nei.  
Velg mellom alternativ A og B.  
Svar: "
nld_Latn;"Voorwaarde:  {premise} 
Hypothese:  {hypothesis} 
Volgt de premisse de hypothese?  
Optie A: Ja.  
Optie B: Nee.  
Kies tussen optie A en B.  
Antwoord: "
npi_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
विकल्प ए: हो  
विकल्प बी: होइन।  
विकल्प ए र बी बीचमा छनौट गर्नुहोस्।  
उत्तर: "
pol_Latn;"Wniosek:  {premise} 
Hipoteza:  {hypothesis} 
Czy założenie zawiera hipotezę?  
Opcja A: Tak.  
Opcja B: Nie.  
Wybierz opcję A lub B.  
Odpowiedź: "
por_Latn;"A premissa:  {premise} 
Hipótese:  {hypothesis} 
A premissa implica a hipótese?  
Opção A: Sim.  
Opção B: Não.  
Escolhe entre a opção A e B.  
Resposta: "
slk_Latn;"Predpoklad:  {premise} 
Hypotéza:  {hypothesis} 
Predstavuje predpoklad hypotézu?  
Možnosť A: Áno.  
Možnosť B: Nie.  
Vyberte si medzi možnosťami A a B.  
Odpoveď: "
quy_Latn;"Imachus kasqanta:  {premise} 
Imaynatataq?  {hypothesis} 
¿Chay sutillatachu yuyanchik?  
A: Arí.  
B: Mana.  
A, B nisqamanta akllay.  
Rikun: "
ron_Latn;"Prezenta:  {premise} 
Ipoteza:  {hypothesis} 
Presupunerea implică ipoteza?  
Opțiunea A: Da.  
Opţiunea B: Nu.  
Alege între opţiunea A şi B.  
Răspuns: "
rus_Cyrl;"Предмет:  {premise} 
Гипотеза:  {hypothesis} 
Предположение влечет за собой гипотезу?  
Вариант А: Да.  
Вариант Б: Нет.  
Выбирай между вариантами А и В.  
Ответ: "
slv_Latn;"Predpostavka:  {premise} 
Hipoteza:  {hypothesis} 
Ali premisa vključuje hipotezo?  
Možnost A: Da.  
Možnost B: Ne.  
Izbiraj med možnostma A in B.  
Odgovor: "
spa_Latn;"El argumento:  {premise} 
¿ Qué es lo que está pasando?  {hypothesis} 
¿La premisa implica la hipótesis?  
Opción A: Sí.  
Opción B: No.  
Elige entre la opción A y B.  
La respuesta es: "
srp_Cyrl;"Предмет:  {premise} 
Хипотеза:  {hypothesis} 
Да ли претпоставка подразумева хипотезу?  
Опција А: Да.  
Опција Б: Не.  
Изаберите између опција А и Б.  
Одговор: "
swe_Latn;"Förutsättning:  {premise} 
Hypotesen:  {hypothesis} 
Innebär premissen hypotesen?  
Alternativ A: Ja.  
Alternativ B: Nej.  
Välj mellan alternativ A och B.  
Svar: "
swh_Latn;"Msingi:  {premise} 
Dhana:  {hypothesis} 
Je, dhana hiyo inatia ndani nadharia?  
Chaguo la A: Ndiyo.  
Chaguo la B: La.  
Chagua kati ya chaguo A na B.  
Jibu: "
tam_Taml;"முன்நிபந்தனை:  {premise} 
கருதுகோள்:  {hypothesis} 
முன்நிபந்தனை கருதுகோளை உள்ளடக்குகிறதா?  
விருப்பம் A: ஆம்.  
விருப்பம் B: இல்லை.  
A மற்றும் B விருப்பங்களில் ஒன்றைத் தேர்ந்தெடுங்கள்.  
விடை: "
tel_Telu;"ప్రమేయం:  {premise} 
పరికల్పన:  {hypothesis} 
ఆవరణలో పరికల్పన ఉందా?  
ఎంపిక A: అవును.  
ఎంపిక బి: లేదు.  
ఎంపిక A మరియు B మధ్య ఎంచుకోండి.  
జవాబు: "
tgl_Latn;"Ang premisa:  {premise} 
Ang hipotesis:  {hypothesis} 
Ang premisa ba ay sumasailalim sa hipotesis?  
Opsyon A: Oo.  
Pagpipilian B: Hindi.  
Pumili sa pagitan ng pagpipilian A at B.  
Sagot: "
tha_Thai;"ประเด็น:  {premise} 
สมมุติการณ์:  {hypothesis} 
หลักฐานนั้นมีผลต่อสมมุติฐานหรือไม่  
ตัวเลือก A: ใช่  
ตัวเลือก B: ไม่  
เลือกระหว่างทางเลือก A และ B  
ตอบ: "
tur_Latn;"Özet:  {premise} 
Hipotez:  {hypothesis} 
Önerge hipotezi gerektiriyor mu?  
Seçenek A: Evet.  
B seçeneği: Hayır.  
A ve B seçenekleri arasında seçim yap.  
Cevap: "
ukr_Cyrl;"Попередня:  {premise} 
Гіпотеза:  {hypothesis} 
Чи передбачає це гіпотезу?  
Вариант А: Так.  
Вариант Б: Ні.  
Вибирай між варіантами А і В.  
Відповідь: "
urd_Arab;"پیش گوئی:  {premise} 
مفروضہ:  {hypothesis} 
کیا فرض سے مفروضہ منسلک ہے؟  
آپشن اے: ہاں۔  
آپشن بی: نہیں  
آپشن A اور B میں سے انتخاب کریں۔  
جواب: "
vie_Latn;"Tiền đề:  {premise} 
Giả thuyết:  {hypothesis} 
Liệu tiền đề có liên quan đến giả thuyết?  
Tùy chọn A: Có.  
Tùy chọn B: Không.  
Chọn giữa lựa chọn A và B.  
Trả lời: "
yue_Hant;"基本原理:  {premise} 
假設:  {hypothesis} 
假設有冇同假設有關?  
答案:係  
另一個選擇:無  
喺選項A同B之間做決定  
答案: "
zho_Hant;"預設:  {premise} 
假設:  {hypothesis} 
這項假設是否包含假設?  
選擇A:是的.  
沒有.  
選擇在A和B兩個選項中.  
答案:沒有 "
zsm_Latn;"Asas:  {premise} 
Hipotesis:  {hypothesis} 
Adakah premis itu melibatkan hipotesis?  
Pilihan A: Ya.  
Pilihan B: Tidak.  
Pilih antara pilihan A dan B.  
Jawapan: "
zul_Latn;"Isisekelo:  {premise} 
Umbono:  {hypothesis} 
Ingabe isisekelo sihilela umbono?  
Okungukuthi: Yebo.  
Indlela Yesibili: Cha.  
Khetha phakathi kokukhethwa kukho okungu-A no-B.  
Impendulo: "
eus_Latn;"Helburua:  {premise} 
Hipotesi bat da:  {hypothesis} 
Premisa hipotesiarekin bat dator?  
A aukera: bai  
B aukera: ez.  
A eta B aukerak.  
Erantzuna: "
