khm_Khmr;"ការសន្មត:  {premise} 
ការស្រមៃ:  {hypothesis} 
តើការលើកឡើងនេះមានន័យថាមានអត្ថន័យដូចការលើកឡើងនេះដែរឬទេ?  
ជ្រើសរើសពីចន្លោះបាទ ឬទេ 
";បាទ;ទេ
kor_Hang;"전제:  {premise} 
가설:  {hypothesis} 
전제는 가설을 포함하고 있나요?  
네 또는 아니오 중 하나를 선택하세요. 
";네;아니오
lao_Laoo;"ການຕັ້ງໃຈ:  {premise} 
ທິດສະດີ:  {hypothesis} 
ການຕັ້ງໃຈແມ່ນມີສ່ວນຮ່ວມກັບການຄາດຄະເນບໍ?  
ເລືອກລະຫວ່າງແມ່ນ ຫຼື ບໍ່. 
";ແມ່ນ;ບໍ່
mai_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
की प्रस्तावना परिकल्पना केँ अपना संग लैत अछि?  
हाँ या ना मे सँ चुनू. 
";हाँ;ना
mal_Mlym;"പ്രമേയം:  {premise} 
അനുമാനം:  {hypothesis} 
ആ പ്രമേയം ആ അനുമാനത്തെ ഉൾക്കൊള്ളുന്നുണ്ടോ?  
അതെ അല്ല എന്നതിൽ നിന്ന് ഒന്ന് തിരഞ്ഞെടുക്കൂ. 
";അതെ;അല്ല 
mar_Deva;"आधार:  {premise} 
गृहीते:  {hypothesis} 
प्रमेय गृहीतेला सूचित करते का?  
हो किंवा नाही यापैकी एक निवडा. 
";हो;नाही
mya_Mymr;"အခြေခံသဘောတရား:  {premise} 
အဆိုကြမ်း:  {hypothesis} 
အဆိုကြမ်းဟာ အဆိုကြမ်းနဲ့ ကိုက်ညီလား။  
ဟုတ်၊ မဟုတ် ရွေးလိုက်ပါ။ 
";ဟုတ်၊;မဟုတ်
nno_Latn;"Utgangspunktet:  {premise} 
Hypotese:  {hypothesis} 
Fører premissa med seg hypotesen?  
Velg mellom ja eller nei. 
";ja;nei
nld_Latn;"Voorwaarde:  {premise} 
Hypothese:  {hypothesis} 
Volgt de premisse de hypothese?  
Kies tussen ja of nee. 
";ja;nee
npi_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
";हो;होइन
pol_Latn;"Wniosek:  {premise} 
Hipoteza:  {hypothesis} 
Czy założenie zawiera hipotezę?  
Wybierz między tak lub nie. 
";tak;nie
por_Latn;"A premissa:  {premise} 
Hipótese:  {hypothesis} 
A premissa implica a hipótese?  
Escolhe entre sim ou não. 
";sim;não
slk_Latn;"Predpoklad:  {premise} 
Hypotéza:  {hypothesis} 
Predstavuje predpoklad hypotézu?  
Vyber si medzi áno alebo nie. 
";áno;nie
quy_Latn;"Imachus kasqanta:  {premise} 
Imaynatataq?  {hypothesis} 
¿Chay sutillatachu yuyanchik?  
Chaypaqqa, ""arí"" chayri ""mana"" ninayki tiyan. 
";arí;mana
ron_Latn;"Prezenta:  {premise} 
Ipoteza:  {hypothesis} 
Presupunerea implică ipoteza?  
Alege între da sau nu. 
";da;nu
rus_Cyrl;"Предмет:  {premise} 
Гипотеза:  {hypothesis} 
Предположение влечет за собой гипотезу?  
Выбирай между да или нет. 
";да;нет
slv_Latn;"Predpostavka:  {premise} 
Hipoteza:  {hypothesis} 
Ali premisa vključuje hipotezo?  
Izbiraj med ja ali ne. 
";ja;ne
spa_Latn;"El argumento:  {premise} 
¿ Qué es lo que está pasando?  {hypothesis} 
¿La premisa implica la hipótesis?  
Elige entre sí o no. 
";sí;no
srp_Cyrl;"Предмет:  {premise} 
Хипотеза:  {hypothesis} 
Да ли претпоставка подразумева хипотезу?  
Изаберите између да или не. 
";да;не
swe_Latn;"Förutsättning:  {premise} 
Hypotesen:  {hypothesis} 
Innebär premissen hypotesen?  
Välj mellan ja eller nej. 
";ja;nej
swh_Latn;"Msingi:  {premise} 
Dhana:  {hypothesis} 
Je, dhana hiyo inatia ndani nadharia?  
Chagua kati ya ndiyo au hapana. 
";ndiyo;hapana
tam_Taml;"முன்நிபந்தனை:  {premise} 
கருதுகோள்:  {hypothesis} 
முன்நிபந்தனை கருதுகோளை உள்ளடக்குகிறதா?  
ஆம் அல்லது இல்லை இடையே தேர்வு. 
";ஆம்;இல்லை
tel_Telu;"ప్రమేయం:  {premise} 
పరికల్పన:  {hypothesis} 
ఆవరణలో పరికల్పన ఉందా?  
అవును లేదా కాదు మధ్య ఎంచుకోండి. 
";అవును;కాదు
tgl_Latn;"Ang premisa:  {premise} 
Ang hipotesis:  {hypothesis} 
Ang premisa ba ay sumasailalim sa hipotesis?  
Piliin sa pagitan ng oo o hindi. 
";oo;hindi
tha_Thai;"ประเด็น:  {premise} 
สมมุติการณ์:  {hypothesis} 
หลักฐานนั้นมีผลต่อสมมุติฐานหรือไม่  
เลือกระหว่างใช่หรือไม่ 
";ใช่;ไม่
tur_Latn;"Özet:  {premise} 
Hipotez:  {hypothesis} 
Önerge hipotezi gerektiriyor mu?  
Evet ya da hayır arasında bir seçim yap. 
";Evet;hayır
ukr_Cyrl;"Попередня:  {premise} 
Гіпотеза:  {hypothesis} 
Чи передбачає це гіпотезу?  
Вибирай між ""так"" або ""ні"". 
";так;ні
urd_Arab;"پیش گوئی:  {premise} 
مفروضہ:  {hypothesis} 
کیا فرض سے مفروضہ منسلک ہے؟  
ہاں یا نہیں کے درمیان منتخب کریں. 
";ہاں;نہیں
vie_Latn;"Tiền đề:  {premise} 
Giả thuyết:  {hypothesis} 
Liệu tiền đề có liên quan đến giả thuyết?  
Chọn giữa có hay không. 
";có;không
yue_Hant;"基本原理:  {premise} 
假設:  {hypothesis} 
假設有冇同假設有關?  
你可以揀""係""或者""唔係"". 
";係;唔係
zho_Hant;"預設:  {premise} 
假設:  {hypothesis} 
這項假設是否包含假設?  
選擇是或不是. 
";是;不是
zsm_Latn;"Asas:  {premise} 
Hipotesis:  {hypothesis} 
Adakah premis itu melibatkan hipotesis?  
Pilih antara ya atau tidak. 
";ya;tidak
zul_Latn;"Isisekelo:  {premise} 
Umbono:  {hypothesis} 
Ingabe isisekelo sihilela umbono?  
Khetha phakathi kokuthi yebo noma cha. 
";yebo;cha
eus_Latn;"Helburua:  {premise} 
Hipotesi bat da:  {hypothesis} 
Premisa hipotesiarekin bat dator?  
Bai edo ez? 
";bai;ez
