"Response:  Option B: มันเล็ก (It's small)
Explan"
"Response:  Option B: ฉันพบอาวุธ  
Response:  Option A: เพื่อนเขาขัดจังห
Response:  Option B: คนเก็บเงินลืมใ
Response:  Based on the information provided in the premise, it is more likely that Option A (she was
Response:  Option B: ประเทศกําลังเ�
Response:  Option B: พวกเขaoสร้างแรงบั
Response:  Option B: ฉันรู้สึกภูม
Response: เด็กชายล้มเหลวในข้
Response:  Option A: เกิดแऐนดินไหว�
"Response: 
Option A: เขาขอร้องเธอใ"
Response:  Option B: หัวของพวกมันชนกั
Response:  Option A: มีกระดาษในถั
"Response:  Option A:  มันถุก  
Explanation: According to"
Response:  Option A: เธอสูญเสียใบเส
Response:  Option B: มันทิ้งรอยแผลเ
Response:  Based on the premise provided, it is more likely that option A (เขาจ้
Response:  Option B: เด็กคนนั้นเก็บขน
Response:  Option B: น้องสาวของผู้ห
Response:  Option A: ริมฝีปากเขาแตก
Response:  Option A:  พวกเขaoคาดการณ์ว่
Response:  Option B: เพื่อนร่วมงานของ
Response:  Option A: เขาสนับสนุนเหตุก
Response:  Option B: เขาจําบทเพลงได
Response:  Option B: ฉันเปิดแผนที
"Response:  Option B: มันหดตัว  
Explanation: According to"
Response:  Option A:  ผมเปิดเครื่อง  
Response:  Option B: เขานอนหลับอยู่หล
Response:  Option B: มันหนาวในบ้าน  
Response:  Based on the premise provided, it is more likely that the woman has a urinary tract in
Response:  Option A: เพื่อนบ้านเชิญ��
Response:  Option A: สามีของเธอเข้า��
Response:  Option B: นักเรียนลังเลที่
Response:  Option B: เธอไปซุปเปอร์ม
"Response:  Option B: ฉันกอดเขา  
Explanation"
Response: เธอจับปลาได้ (Option A)
Response:  Option B: จักรยานของเขาถ
Response:  Option B: ผู้ใชุเคลื่อ
Response:  Option A: เกิดอุบัติเหตุบน
"Response:  Option B: ผ้าปูเปื้อน  
Ex"
Response:  Option A: แสงอาทิตย์สว่าง  
Response:  Based on the premise provided, it is more likely that the man thought it was a dream (
Response:  Option B: ฉันนอนไม่หลับท
Response:  Option B: ผมของเขาเริ่มย
Response: เด็กชายคนนั้นเล่นกลท
Response:  Based on the premise provided, option A (I want to eat something spicy) is more
Response:  Option B: คนขับขับขับรถก
Response:  Option B: ผมจอดรถอยู่�
"Response: 
Option A: เธอเป็นนักเขียน"
Response:  Option B: ผมให้หมายเลข
Response: กริ่งประตูดัng (Option A)
Response:  Option A: ฉันปลดสายไฟ  
Response: เขาพยุงกล้ามเนื้อของ
Response:  Option A: เขาเอาเครื่องคิด
"Response: 
Option A:  พ่อเปลี่ยนผ้า"
"Response: 
Option B: เด็กชายก็เปียกเ"
Response:  Option B: ทุกคนในรูป ไม่
Response:  Based on the premise provided, it is more likely that the cause of the employee's absence
Response:  Based on the premise provided, option A (I have a feeling of being watched) is more
"Response:  Option B: น้ําไหลออกมา  
"
"Response:  Option A: รีสอร์ทจองแล้ว  
"
"Response: เธอกลัวเข็ม (Option A)
Explanation:"
Response:  Option B: ฉันโทรหาตําร
Response:  Option A:  Holes in the ground can be a sign of underground water or an old
Response:  Option B: เขาหลีกเลี่ยงการ
Response: เธอสั่น (Option B)
Response:  Based on the premise provided, it is more likely that Option A (She has a boyfriend
Response:  Option A: ภูเขาไฟระเบิด  
Response:  Option B: เธออยากออกจากงาน
Response:  Option B: เธอขังฉันไว้ที
Response:  Option A: เขาขายหุ้นบริษัท
"Response:  Option A: หมอไปพักผ่อน  
"
Response:  Option A: บ้านมันกําลังเ
Response:  Option A: เขาอาบน้ํามานา
Response:  Option A: นมมันรสกรด (More likely)
"Response:  Based on the premise ""I failed my driving test,"" option B (I will go to work"
Response:  Option A:  รถกระบะเร่งข��
"Response:  Option A: พวกเขaoชนะ  
Explanation: According"
Response:  Option A: ฉันพลิกขวด (I am tired
Response:  Option B: เขาขึ้นไปบนหลั
Response:  Option B: ผู้หญิงดูผ่า
Response:  Option B: เขาแขวนมันไว้ใ
Response:  Option B: เด็กผู้หญิงนั่
Response:  Option B: นักสงบประชาชนจัด
"Response: เธอผูกเชือก (Option A)
Explan"
Response:  Option B: เขาดูอายุน้อยกว่
"Response:  Option A: ไข่มันหลุด  
Explanation:"
Response:  Option A: เขาตายแล้ว (He died)
"Response:  Option B: เขาตกจากบันได  
Ex"
"Response: เด็กนั่นก็รีบรีบ  
Explan"
"Response:  Option B: ฉันสั่น  
Explanation: According"
Response:  Option A: เพื่อนร่วมชั้นเค
"Response: 
Option A: เธออยู่ข้างๆเ"
Response:  Option A: เขากระตุ้นให้ม
Response:  Option B: ฉันรู้สึกเหง
"Response:  Option B: ฉันตบเขา  
Explanation:"
Response:  Option A:  ไฟฟ้าก็เปิดข
"Response: 
Option A: เธอเป็นห่วง (He/She"
Response:  Based on the premise provided, option A (I am opening a new store) is more likely
Response:  Option A: เขาไล่ทนายของเขา
"Response:  Option B: ลูกบอลส่องแสง  
Ex"
"Response: 
Option B: เธอลบคําตอบขอ"
Response:  Option A: ผู้ต่อสู้ของเข
"Response:  Option A:  มันชิมแล้ว  
Explanation:"
Response:  Option B: เขาซื้้อช็อกโก
Response:  Option A: ผมทิ้งเครื่องว
Response:  Option A: หลังคาของศาลถู
Response:  Option B: เขาโกงในข้อสอบ
Response:  Option B: ฉันห่อตัวใน�
"Response:  Option B: มันกลายเป็นเงา  
"
Response:  Option A: กาแฟมีกลิ่นรุน
Response:  Option B: เขาฉีกกระดาษเป
Response:  Option B: เสาปั้นเป็นสนิม  
Response:  Option A:  นักประมงได้ปลากร
"Response:  Option A: เธอมีอาการคัน  
Ex"
Response:  Option B: ฉันเสียความอดท
Response:  Option A: กระเป๋าเช็ดมือ
Response:  Option B: เขาเทสีลงบนเก้าอ
Response:  Option B: โค้ชของพวกเค้ายก
Response: ฉันเสียใจกับความ
Response:  Option B: เขาพูดคุยกัنอย่า
"Response:  Option A:  คางเธอแดง  
Explanation: According"
Response:  Option A:  มันผ่านผ่านเ
Response:  Option A: เขาเดินเข้าไปใ
Response:  Option B: พวกเขaoพบอาวุธที่
Response:  Option B: ฉันขอให้ขับร
Response:  Option B: คนจํานวนมากต้อ
Response:  Option A:  พวกเขากําลังจะ
Response:  Option A: เขาบอกความจริงกั
Response:  Option B: คนขับรถไปรับคน
Response:  Option B: ผู้หญิงคนนั้นม
Response:  Based on the premise, Option B (There is a tumor outside the brain) is more
"Response: 
Option A: เธอได้รับเชิญ
Ex"
Response:  Option B: แม่เขaoพาเขาไปสวน
Response:  Option A: เขาต้องการที่จะส
Response:  Option B: ฉันหยิบกระดาน  
Response:  Option A:  ลูกชายจบการศึก
Response:  Option A: เธอต้องการที่จะป
"Response: 
Option A: เครื่องนั่นก็ทิ"
"Response:  Option B: ฉันกอดเขา  
Explanation"
"Response:  Option B: เขาจ่ายเงินสด  
Ex"
Response:  Option A: เขาตัดเล็บ (He will be trapped
Response:  Option A:  พี่ชายเขาทะเลาะก
"Response:  Option B: เธอมองดาว  
Explanation: According"
Response:  Option B: ผมเอาเทปติดไว้
Response:  Option B: สถาปนิกปรับแ��
"Response: 
Option B: เขาเลียช้อน  
Explan"
Response:  Option B: คณะผู้บริหารได
Response:  Option B: ผมเดินเข้าสู่เ
Response:  Option A: ครอบครัวเขาจ่ายค
Response:  Option B: บ้านของพวกเธอถ
"Response:  Option B: ถังถูกบด  
Explan"
"Response: 
Option B: เธอได้เรียนรู้ท"
"Response:  Option A:  ฉันฟังเพลง  
"
"Response: 
Option B: พวกเขaoจัดประมูล"
Response:  Option B: ผู้โดยสารก็ร้อ
Response:  Option B: ฉันปิดประตูเมื
"Response:  Option B: เขาตื่นเช้า  
Explanation"
Response:  Option A:  ผมรีไซเคิลกร
Response:  Option A: ผู้นําของประ
Response: เขาขึ้นมาจากสระว่า
Response:  Option A: มันต้องถูกส่งก
Response:  Option A: เขาถูกโยนเข้าค
"Response:  Option B: ฉันเปิดประตู  
"
Response:  Option A: ผมขนของเธอหลุด
Response:  Option A: เขาพบว่าบทเขียนน
Response:  Based on the premise provided, it is more likely that Option A (เธอรู
Response:  Option B: พวกเขาแต่งงานกัน
Response:  Option B: ฉันแต่งเพลงเอง
Response:  Based on the premise provided, it is more likely that Option A (the girl's father
Response:  Based on the premise provided, option A (I will take revenge) is more likely to
Response:  Based on the premise, option A (I opened my eyes) is more likely to be the
Response:  Option B: ผมขอยืมซีดีจ
Response:  Option B: เขาได้เงินต่ํา
Response:  Option B: เขาได้มีงานอดิเร
"Response:  Option B: สีสีเขียว  
Explanation: According"
Response:  Based on the premise provided, option B (การสนทนาเร
Response:  Option B: ผมทําเขาไม่เ
Response:  Option B: นักแสดงในละครอ
Response:  Option A: ผู้ลักพาตัวขู่
Response:  Option A: นักดนตรีก็ตบเท้า
Response:  Option B: เด็กกลัวที่จะมอง
Response:  Option A: เธอเกิดก่อนกํา
"Response:  Option B: ผลไม้ตาย  
Explanation:"
"Response:  Option B: นกได้ตัวหนอน  
Explan"
Response:  Option A: โรงเรียนจะเลิกเร
"Response: 
Option B: พนักงานเริ่มท��"
Response:  Option A: พวกขุนนางได้มี��
Response:  Option A: ทรายติดกับเท้า��
Response:  Option B: ฉันดื่มน้ําแ
"Response:  Option A:  ลูกชายเธอยิ้ม  
Ex"
Response:  Based on the premise provided, it is more likely that Option A (I closed my eyes)
Response: เด็กชายใส่สายฟัน
Response:  Option B: วันนี้ผมตื่นมา
"Response: 
Option B: นักเรียนคนอื่� "
Response: เธอกระโดดขึ้นไปใ
Response:  Option B: ไปรษณีย์ส่งจดหมา
Response:  Option B: เขากลับบ้านจนหมด
"Response:  Option A:  ลมแรงขึ้น  
Explanation"
Response:  Option B: แม่เขาเอาผ้าพั
Response:  Option B: เขาได้รับการปลุก
Response:  Option B: ฉันเผาลิ้น��
"Response: 
Option A: ผู้เขียนหลieกเ"
Response:  Based on the premise provided, it is more likely that the speaker's lack of motivation
Response:  Option A: เธอได้ระบุอาการข
Response:  Option A: มันเหงื่อมาก (It's
Response:  Based on the premise provided, option B (เขาเป็นโรค
"Response: 
Option A: เขาพยุงแขน (He will definitely get"
Response:  Option A: เขาประหลาดใจ (He
Response:  Option B: ผมเชื่อว่าเขาร
Response:  Option B: เขาเริ่มตื่นขึ
Response:  Option B: ผู้โจมตีเริ่มเ
Response:  Option A:  คนที่ยิงไม่ได้��
Response:  Option A: เขาพบหนูในห้อง
Response:  Option B: แขกบ้านฉันมานา
Response:  Option B: เธอได้บันทึก��
"Response:  Option B: เธอลาออกจากงาน  
"
Response:  Option A: เขาแตะต้องเตาอบร
"Response: 
Option A:  พวกเขาให้ส่วน"
Response:  Option B: เด็กชายลากเก้าอี
Response:  Option A:  ศัตรูของฉันล้อ
Response:  Option A:  มันถุกกระแทกด้
Response:  Option A: ผลไม้จะหลั่งเม
"Response:  Option A: เธอชี้นิ้วเท้า  
"
Response:  Option A: เขาเรียนรู้วิธีก
Response:  Based on the premise, option B (I spend time watching movies) is more likely.
Response:  Option A: พ่อแม่เขามีอิทธิ
"Response:  Option B: คนขับหลับไป  
Explanation"
Response:  Option A: ไอศครีมหายรสชาติ
Response:  Option A: กระโปรงดูสกปรก (C
Response:  Based on the information provided in the premise, it is more likely that Option A (��
Response:  Option B: เจ้าของเลี้ยงหมา
Response:  Option B: เพื่อนฉันโกรธม
Response:  Based on the premise provided, option A (เขาพกกระเป
Response: เขาได้เสร็จสิ้นการ��
Response:  Based on the premise provided, it is more likely that the person wants to change their appearance (
Response:  Option B: พวกเขaoถูกไล่ออ
Response:  Option B: ผู้ชมยืนขึ้น
Response:  Option A: แสงอาทิตย์ทํา�
Response:  Option A: ฉันหูด (I am confused)
Response:  Option A:  มีดมันไม่ค่อยมีเ
Response:  Option A: เธอได้รับเงินเลี
Response:  Option B: ผมตัดสินใจไป
Response:  Option B: ฉันได้กลิ่นดอก
Response:  Option A:  เธอเจอเพื่อนสมัย
Response:  Option B: เขาส่งเอกสารไม่ส
"Response:  Option B: ฉันโทรหาช่าง  
"
Response:  Option A: มันไม่มีชื่อ (It doesn'
"Response:  Option A:  มันวางไข่  
Explanation: According"
"Response:  Option B: ที่จอดรถเต็ม  
"
Response:  Option B: เหยื่อยกมือขึ้
Response:  Based on the premise provided, it is more likely that the speaker will attend a job interview for
Response:  Based on the premise, option A (I have a headache) is more likely to be
Response: เครื่องพิมพ์หมดหมึ
Response:  Option B: แฟนบอลวิ่งเข้า
Response:  Option B: ผมใส่เกลือลง
Response:  Option B: ที่หลั่งทิ้งซา
Response:  Option B: เธออ่านหนังสืออี
Response:  Option B: ผู้ชายมองออกไป
Response: เด็กผู้หญิงนั่นกระ
"Response: 
Option A:  พวกเขาตัดขาของเ"
"Response: 
Option A:  เธอยกไหล่ไปหาเข"
Response:  Option A: ผมให้ความส��
"Response: 
Option B: น้ําปลาชนหน้า"
Response:  Option B: คนซ่อนตัวอยู่�
Response:  Option B: เขาขู่ว่าจะลาออก
Response:  Option A:  ต้นไม้ตกบนหลังคา
Response:  Option A:  ฉันวางไม้ไว้��
"Response: 
Option A:  คุ่รักประกาศว่า"
"Response: 
Option A: เธอชอบเขา (He likes her)"
"Response:  Option A: ฉันสับสน
Explanation: According"
Response:  Option A:  พวกเขaoต้องการที่
Response:  Option A:  ผู้ชายคนนั้น��
Response:  Option A: เธอผ่อนคลาย (He will
Response:  Option B: ลูกชายของเขาได้ม
"Response:  Option A:  ไฟก็ดับไป  
Explanation"
Response:  Option B: เธอประสบอุบัติเห
Response:  Option B: ฉันพลาดอาหารเช
Response:  Option B: ครอบครัวของเขาได
Response:  Option B: น้ําอาบน้ําไ
Response:  Option B: เขาเรียนวิศวกรรม
Response:  Based on the premise provided, it is more likely that the speaker will spend money (Option A
Response:  Option B: เด็กชายหยิบดอกไม
"Response: 
Option B: เธอถูกประหาร  "
"Response:  Option B: น้ําตาลละลาย  
"
Response:  Option A: เขาถูกเรียกเข้
Response:  Option A:  ตํารวจได้เข้าร
"Response:  Option A:  ฉันทิ้งมันลง  
"
Response:  Option A: เธอได้เสื้อผ้า
Response:  Option A: ภรรยาของเขาคลอดล
Response:  Option B: ข้อเสนองานของเขา
Response: เขาพูดเข้าไมโครโฟน
Response:  Option B: เหรียญแตกเป็นสอง
Response:  Option B: ลูกบอลถอยกลับไ
"Response:  Option B: ผมไอ (My heart is broken)
Explanation"
Response:  Option B: ลูกค้าทิ้งไฟไ�
Response:  Option B: ผมทิ้งรายการช้
Response:  Option A: เด็กๆชื่นชมสัต
Response:  Option B: ปอดของเขาอุดตัน  
Response:  Option B: ผมถามเพื่อน�
Response:  Option B: ฉันเปิดหน้าต่า
Response:  Option A: กระเป๋าเป้ของเ
Response:  Option B: มันเป็นวันเกิดขอ
"Response: 
Option A:  นกผึ้งกัดคน"
Response:  Option B: ไฟไฟที่เกิดจ
Response:  Option B: พวกเขaoต้องการที่
Response:  Option A: พ่อแม่ของพวกเขาก
Response:  Option A: เกิดสึนามิ (It will cause
Response:  Option A: เธอขาดน้ํา (He got lost
Response:  Option A:  I opened the bottle before.
"Response:  Option A:  มะนาวเป็นเห็ด  
Ex"
Response:  Option B: ประเทศนี้อาศัยอย
Response:  Option B: มันตกอยู่ในกอง
Response:  Option A: พื้นไม่ราบ (The earthquake did
Response:  Option A:  ลูกชายของเขาสารภ
"Response: เขากินแอสไพริน (Option B)
Ex"
Response:  Option A:  มันกําลังเข้า�
Response:  Option A: โรคจิตเป็นเชื้อส
Response:  Option A: เธอกลืนอาหารของเ
Response:  Option A: เสียงเธอฟังดูห
"Response:  Option B: มันวางลง (It will sink)
Explan"
"Response:  Option B: เธอร่ํารวย  
Explan"
"Response:  Option A: ระฆังดัง  
Explanation:"
Response:  Option B: คนรู้จักของเธอเก
Response:  Option B: เขาเกือบตายในเ
"Response:  Option A:  บอลลูนอากาศลด  
Ex"
Response:  Based on the premise provided, option B (he has a mental disorder) is more likely
Response:  Option B: เธอได้ยินเสียงเร
Response:  Option A:  ผู้ช่วยชีวิตก็
Response:  Option A: การติดเชื้อของ��
Response:  Option B: คนขับรถเป่าโ��
Response:  Option A:  ฉันทอดถังน้�
Response:  Option A:  คนขับชนเสาโทรศัพ
Response:  Option B: เขาผ่านการสอบ  
Response: เด็กชายหนุ่มแน่นอยู่
Response:  Option B: หัวใจฉันเต้น
Response:  Option B: ที่ทํางานฉัน
Response:  Option B: ครอบครัวนี้สัญญา
Response:  Option B: นักว่ายน้ําลอย
Response:  Option A: ผมพลาดกลืนเมล็
Response: เสื้้อแจ็คเก็ตของเขา
Response:  Option A:  เธอถูกรบกวนด้ว
Response:  Based on the premise provided, it is more likely that option A (I added water to my
"Response: 
Option A: มันมีคําพูดที"
Response:  Option B: ลูกเรือเจอโจรสลั
Response: เด็กชายรู้สึกสับสน
"Response:  Option A:  เขาวางสายแล้ว  
Ex"
Response:  Option B: ฉันรู้สึกไม่
Response:  Option A:  พวกเขาถ่ายรูปข
Response:  Based on the given premise, option B (เพื่อนฉั
Response:  Option B: ผมเปลี่ยนเกียร
"Response: 
Option B: พ่อของเธอสัมผ"
"Response:  Option A:  ผมใช้ดินสอ  
"
Response:  Based on the premise provided, it is more likely that Option A (he became poor) is
Response:  Option A: เธอเป็นโรคน้ํา
Response:  Option B: ฉันทิ้งมันลง��
Response:  Option A: เพื่อนร่วมห้อง��
Response:  Option B: เขาโยนเก้าอี้ข้า
"Response:  Option B: ไฟดับไปแล้ว  
Ex"
Response:  Option A:  น้ําร้อนหายไป  
Response:  Option B: พวกเขาให้กํา
"Response:  Option B: รองเท้ามันชรา  
Ex"
"Response:  Option B: เขาเก็บสูตรไว้  
"
Response:  Option B: ฉันทาโลชั่นซ
Response:  Option B: ผมได้ยินการสนท
Response:  Option B: ผมอ่านหนังสือพ
"Response:  Option B: หอยก็ยังคงอยู่  
"
Response:  Option A: เขากําลังจะตาย
Response:  Option B: เขาเร่งความเร็วข
Response:  Based on the given premise, option B (I think I have a solution) is more likely
Response: เขารู้สึกตื่นเต้น (
Response:  Option B: เขาวางเดิมพันกับ
"Response: เด็กชายไม่หลับได้  
Ex"
