premise;question;choice1;choice2;label
اسپیکر نے سیاسی طور پر غلط تبصرے کیے۔ ;effect;وہ سامعین کو بور کرتا تھا۔ ;اس نے سامعین کو ناراض کیا. ;1
میں پن کے ساتھ خود کو pricked. ;effect;میرے چہرے سے ایک قطرہ پسینہ ٹپکنے لگا۔ ;میری انگلی پر خون کا ایک قطرہ بن گیا۔ ;1
مچھلی ٹینک کی سطح پر تیرتی رہی۔ ;cause;یہ بھوکا تھا. ;یہ مر گیا تھا. ;1
اس آدمی کی آواز میں شور سا تھا ;cause;اسے سردی تھی ;اس نے سگریٹ نوشی چھوڑ دی۔ ;0
لفٹ کے دروازے کھل گئے۔ ;cause;لفٹ مقررہ منزل پر پہنچ گئی۔ ;لفٹ منزلوں کے درمیان پھنس گیا. ;0
نوجوان گھر سے باہر پھسل گیا. ;cause;اس نے اپنے والدین سے جھوٹ بولا۔ ;اس کے والدین نے اسے گھر سے نکال دیا. ;1
باتھ روم میں سیلاب آیا. ;cause;ٹوائلٹ بھر گیا. ;پانی کے ہیٹر ٹوٹ گیا. ;0
کتے اپنے مالک کے قریب ہی رہا۔ ;cause;مالک نے کتے کو کالر پہنا دیا. ;مالک نے کتے کو پٹی پر رکھا۔ ;1
آدمی نے اس کی عکاسی پکڑی. ;cause;وہ ایک بڑے درخت کے نیچے کھڑا تھا ;وہ پرسکون جھیل کے اوپر کھڑا تھا. ;1
میں نے اپنی گرل فرینڈ کی فون کال کو یاد کیا. ;effect;میں نے اسے واپس بلایا. ;میں نے اس سے رات کے کھانے پر ملاقات کی. ;0
خاندان نے پڑوس کی تلاشی لی۔ ;cause;ان کا کتا گھر سے بھاگ گیا. ;ان کے گھر سے قیمتی زیورات غائب تھے. ;0
میں نے اپنی سانس دیکھی جب میں نے سانس نکالی۔ ;cause;موسم ٹھنڈا تھا. ;میرا سینہ تنگ محسوس ہوا. ;0
ملازمین نے ایک یونین بنائی۔ ;cause;وہ بہتر کام کے حالات چاہتے تھے. ;ان کے آجر نے ان کی تنخواہ میں اضافہ کیا. ;0
میں نے سیب کا پائی پکایا۔ ;effect;ایک سڑنے والی بو نے باورچی خانے کو بھر دیا. ;ایک گرم خوشبو نے کچن کو بھر دیا. ;1
عورت نے چلنے کے لیے جدوجہد کی ;cause;اس نے اونچی ہیلس پہنی ہوئی تھیں۔ ;اس نے اپنے جوتے اتار لیے۔ ;0
پانی کے برتن سے بھاپ اٹھ گئی۔ ;cause;پانی ابل گیا. ;میں نے برتن کو ڈھانپ لیا. ;0
میرے تمام جرابوں کو لانڈری میں تھے. ;effect;میں سینڈل پہنے ہوئے تھے. ;میں نے جوتے پہنے تھے. ;0
سیاست دان کی دلیل کو بیکار سمجھا گیا۔ ;effect;اس نے ووٹروں کی حمایت کھو دی. ;اس پر بدعنوانی کا الزام تھا۔ ;0
ہر کوئی جوڑے کی منگنی کی مخالفت کرتا تھا۔ ;effect;جوڑے حاملہ ہو گئے. ;جوڑے فرار ہو گئے. ;1
یہ عمارت اس ارب پتی کے نام وقف کی گئی تھی۔ ;cause;اس ارب پتی نے عمارت کو گرانا چاہا۔ ;اس کو بنانے کے لیے اس ارب پتی نے فنڈز فراہم کیے۔ ;1
فروخت کے ساتھی نے لڑکی پر چوری کا الزام لگایا۔ ;cause;سیلز ایسوسی ایٹ نے دیکھا کہ لڑکی نے اپنے بیگ میں سامان رکھا ہوا ہے۔ ;سیلز ایسوسی ایٹ نے لڑکی کو پسند کی تھیلی تلاش کرنے میں مدد کی۔ ;0
ملک نے پڑوسی علاقے پر جنگ کا اعلان کیا. ;effect;فوجیوں کو لڑنے کے لیے بھیجا گیا تھا۔ ;فوجیوں کو ان کے خاندانوں کے ساتھ ملایا گیا. ;0
عدالت نے متنازعہ فیصلے کو برقرار رکھا۔ ;effect;عدالت کے سامنے ایک فساد برپا ہوا۔ ;ایک جوڑے نے عدالت کے سامنے ایک دوسرے سے عہد کیا. ;0
لڑکی کو کچھ جلتے ہوئے کی بو آئی۔ ;cause;اس نے کوکیز کو برتن سے نکال لیا۔ ;وہ بیسکٹیں تندور میں چھوڑ دیا. ;1
بارش کا زور تھا. ;effect;طوفان خراب ہو گیا. ;میں نے اندر جانے کی جلدی کی ;1
عمارت خالی کروائی گئی تھی. ;cause;لفٹ کام کرنا بند کر دی۔ ;آگ کا الارم بج گیا۔ ;1
باپ اپنے بیٹے کی شراب نوشی سے ناراض تھا۔ ;effect;باپ نے بیٹے کو بیئر پیش کیا۔ ;باپ نے اپنے بیٹے کو گھر سے باہر پھینک دیا۔ ;1
وکیل نے سیڑھیوں سے اپنے دفتر کی طرف بڑھایا۔ ;cause;سیکرٹری دن کے لئے گھر چلا گیا. ;لفٹ خراب تھی. ;1
وہ شخص اپنے دوست سے ناراض ہو گیا. ;cause;اس کے دوست نے اسے روک دیا. ;اس کے دوست نے اسے دوپہر کا کھانا دیا. ;0
لڑکی نے اپنا پیسہ کیشئیر کے ہاتھ میں دے دیا۔ ;effect;کیشئر نے لڑکی کو اس کا بدل دیا. ;کیشئر لڑکی کو ایک رسید دینے کے لئے بھول گیا. ;0
عورت کو وہیل چیئر میں بٹھایا گیا تھا۔ ;cause;وہ ایک حادثے میں مفلوج ہو گیا تھا. ;وہ ایک ٹرالی میں ہسپتال میں داخل ہوا. ;0
شہریوں نے اپنے گھروں کے باہر قومی پرچم لٹکا دیا. ;cause;ملک اپنی آزادی کی یاد منارہا تھا۔ ;ملک کو معاشی مشکلات کا سامنا تھا۔ ;0
ٹیم ٹورنامنٹ ہار گئی۔ ;effect;انہوں نے اپنے مداحوں کو مایوس کیا. ;انہوں نے اپنے مداحوں کو متاثر کیا. ;0
میرے دوست نے بتایا کہ میرے دانتوں میں کھانا پھنس گیا ہے۔ ;effect;میں شرمندہ محسوس کیا. ;مجھے فخر محسوس ہوا۔ ;0
لڑکا تاریخ کے امتحان میں فیل ہو گیا تھا۔ ;cause;وہ کلاس میں توجہ دیتا تھا۔ ;وہ پڑھنا بھول گیا. ;1
شہر کے مرکز میں عمارت گر گئی. ;cause;ایک زلزلہ شہر کو مارا. ;شہر میں جرائم کی شرح میں اضافہ ہوا۔ ;0
اس آدمی کی گرل فرینڈ اس کے ساتھ توڑ دیا. ;effect;اس نے اسے واپس لینے کی التجا کی. ;اس نے اسے اپنے والدین سے متعارف کرایا۔ ;0
دونوں بچوں نے بیک وقت گیند کو واپس لینے کے لئے نیچے تک پہنچایا. ;effect;گیند دور رولڈ. ;ان کے سر ٹکرا گئے. ;1
ریکون نے ردی کی ٹوکری کو لوٹ لیا۔ ;cause;گندے میں گتے تھے. ;ٹوکری کا ڈھکن اتار دیا گیا تھا. ;1
لڑکے نے پنسل کو تیز کیا۔ ;cause;یہ سستا تھا. ;یہ سست تھا. ;1
کیشئر نے عورت کو لباس کی رقم واپس کرنے سے انکار کر دیا۔ ;cause;وہ اس کی رسید کھو دیا. ;لباس فٹ نہیں تھا. ;0
میری جلد پر گہری کھینچ تھی ;effect;یہ جلدی سے ٹھیک ہو گیا. ;یہ ایک داغ چھوڑ دیا. ;1
ٹرین میں مسافروں کی طرف سے اس شخص کو عجیب نظارے ملے۔ ;cause;وہ زمین پر گھور رہا تھا. ;وہ خود سے بات کر رہا تھا. ;1
بچے نے فرش پر ٹکڑے ٹکڑے چھوڑ دیے. ;effect;موروں نے ٹکڑوں پر رینگنا شروع کر دیا ;بچے نے روٹی کو دور کر دیا. ;0
عورت نے اپنی بہن کو ایک ٹشو دیا. ;cause;عورت کی بہن نے اپنے ہاتھ جوڑ لیے۔ ;عورت کی بہن نے رونا شروع کر دیا. ;1
آدمی ایک ٹکسال لیا. ;cause;اس کے ہونٹ پھٹے ہوئے تھے. ;وہ بدبو کے بارے میں فکر مند تھا. ;1
جوڑے شو کے لئے جلدی روانہ ہو گئے. ;cause;انہوں نے تھیٹر کے ارد گرد ٹریفک کا اندازہ لگایا. ;وہ تھیٹر کے لئے ہدایات مل گیا. ;0
عورت کام سے گھر رہ گئی۔ ;effect;اس کے باس نے اس کی تعریف کی. ;اس کے ساتھی نے اس کی جگہ لی۔ ;1
اس شخص نے کارکنوں کی درخواست پر دستخط کیے۔ ;cause;اس نے ان کے مقصد کی حمایت کی. ;انہوں نے ان کو پاگل قرار دیا. ;0
اداکار کا دل اس کی کارکردگی سے پہلے دھڑک رہا تھا. ;cause;اس کو اسٹیج کا ڈر تھا. ;اس نے اپنی لائنز حفظ کیں۔ ;0
میں کھو گیا تھا. ;effect;میں نے اپنے نقد شمار کیا. ;میں نے ایک نقشہ کھول دیا. ;1
پکا پھل سورج میں کھڑا رہتا ہے۔ ;effect;اسے کھایا گیا تھا. ;یہ سکڑ گیا. ;1
گاڑی خراب ہو گئی۔ ;cause;میں نے اگنیشن کو آن کر دیا. ;انجن overheated. ;1
اس آدمی نے اپنی پیٹھ کو تکلیف دی. ;effect;وہ ایک ماہر نفسیات سے ملنے گیا تھا. ;وہ کئی دنوں تک بستر پر پڑا رہا۔ ;1
میں نے چمنی میں آگ لگائی۔ ;cause;میں آگ کے لئے لکڑی سے باہر تھا. ;گھر میں سردی تھی. ;1
عورت نے دوڑنا چھوڑ دیا ;cause;اس کی طرف میں ایک کرپ ہے. ;وہ ایک دوسری ہوا ہے. ;0
میں نے اپنے پڑوسی کے دروازے پر دستک دی۔ ;effect;میرے پڑوسی نے مجھے اندر بلایا. ;میرا پڑوسی اس کے گھر سے چلا گیا. ;0
عورت مایوسی سے چیخ چیخ کر بولی ;cause;اس کے شوہر نے اس کی پریشانیوں کو غلط سمجھا۔ ;اس کے شوہر نے اسے الوداعی بوسہ دیا۔ ;0
استاد نے طالب علم کی تعریف کی۔ ;cause;طالب علم نے سوال کا صحیح جواب دیا. ;طالب علم نے سوال کا جواب دینے میں ہچکچایا۔ ;0
عورت کے انڈے ختم ہو گئے۔ ;effect;وہ فارم کے پاس گیا. ;وہ سپر مارکیٹ گئی تھی. ;1
میں ایک پرانے دوست سے ملا۔ ;effect;میں نے اس کے سامنے ایک راز ظاہر کیا. ;میں نے اسے گلے لگایا۔ ;1
عورت جھیل میں جانے سے گریز کرتی تھی۔ ;cause;اس نے مچھلی پکڑی۔ ;یہ آلودہ لگ رہا تھا. ;1
طالب علم کلاس میں گیلے ہو کر پہنچا۔ ;cause;اس کی چھتری ٹوٹی ہوئی تھی۔ ;اس کی موٹر سائیکل چوری ہو گئی تھی. ;0
کمپیوٹر کی سکرین پر کرسر منتقل ہو گیا. ;cause;صارف نے ماؤس پر کلک کیا. ;صارف نے ماؤس کو منتقل کیا. ;1
ڈرائیور نے ایک راستہ لیا. ;cause;ایک حادثہ مرکزی سڑک پر پیش آیا. ;وہ اس کے سامنے ٹرک کے پیچھے. ;0
میں نے باہر کپڑوں کی لکیری پر گیلے کپڑے لٹکا دیئے۔ ;effect;کپڑے خشک ہو گئے۔ ;کپڑے داغدار. ;0
عورت نے اپنی شیشے پہنی۔ ;cause;سورج کی روشنی روشن تھی. ;اس نے ٹیکسی بلوائی۔ ;0
وہ شخص رات کے آسمان کی طرف دیکھ رہا تھا۔ ;cause;وہ چاہتا تھا کہ یہ موسم گرما ہو. ;وہ سوچا کہ یہ خوبصورت تھا. ;1
