"  
No";
"  
Yes, the premise entails the hypothesis. The premise states that you did not have children";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise suggests that people who reduce the amount";
"  
Yes, the premise entails the hypothesis because if people are more compact and throw away less waste";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker is sk";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The reason is that if you are away from the";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Og no har";
"  
Yes, the premise entails the hypothesis because if there is no sister in Germany, then it";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that this is not the first";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that this";
"  
Yes, the premise does entail the hypothesis. The premise states that going through the whole";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg g";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there is no money in the account, then";
"  
Yes, the premise entails the hypothesis. The two statements are logically connected and share a";
"  
Yes, the premise entails the hypothesis. The premise states that ""Det var frå";
"  
Yes, the premise entails the hypothesis. The information provided in the premise (Det var";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if everyone were to be police officers, there would";
"  
Yes, the premise entails the hypothesis. The premise states that having a cute kid";
"  
Yes, the premise does entail the hypothesis. The premise provides a clear and concise";
"  
Yes, the premise does entail the hypothesis. The premise provides a clear and concise";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it provides a reason why someone might think that B";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that it is possible to do";
"  
Yes, the premise does entail the hypothesis. The premise states that it is possible to";
"  
Yes, the premise does entail the hypothesis. The premise states that the current laws are";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Ja, vi har skatt på klede"" implies that there";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there were no puppies in the room";
"  
Yes, the premise entails the hypothesis because if one of the puppies is from a";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you don't have anything against clothing";
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker doesn'";
"  
Yes, I have visited several European museums.";
"  
Yes, I have visited several museums in Europe.
No, I do not know of any";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence in the premise states that there";
"  
Yes, the premise entails the hypothesis because if there were nothing sticky, then it would";
"  
Yes, the premise entails the hypothesis. The premise ""og det skrämte";
"  
Yes, the premise entails the hypothesis. The premise ""og det skrämte";
"  
Yes, the premise does entail the hypothesis. The premise states that if we could see";
"  
Yes, the premise does entail the hypothesis. The premise states that if we could see";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise describes a beautiful place to visit";
"  
Yes, the premise entails the hypothesis because if you put a Coke ad inside an issue";
"  
Yes, the premise does entail the hypothesis. The premise states that a Coca-";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there were six jud";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there is chaos in a system, it";
"  
Yes, the premise entails the hypothesis because if there is chaos and nothing else happens,";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg har";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Og du er i den mindretalen"" implies that the person";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that one is not satisfied with";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it was cozy";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there are many states that have UPS delivery";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the man is not satisfied";
"  
Yes, the premise entails the hypothesis. The premise states that he is not satisfied with";
"  
Yes, the premise does entail the hypothesis. The premise states that when they go over";
"  
Yes, the premise entails the hypothesis. The premise ""When they go over or something";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise provides information about a machine that runs";
"  
Yes, the premise does entail the hypothesis. The premise provides a general description of an";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides a general statement about the";
"  
Yes, the premise entails the hypothesis because it provides a basis for the conclusion that there is";
"  
Yes. The premise ""Og det var verkeleg moro"" implies that something sad";
"  
Yes. The premise ""Og det var verkeleg moro"" implies that something sad";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that ""Eg hadde fakt";
"  
Yes, the premise entails the hypothesis. The fact that there was an older language implies that";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that the film is similar";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the bonder has";
"  
Yes, the premise does entail the hypothesis. The premise states that the bonder has";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that we will be as likely to be successful in the long term as";
"  
Yes, the premise does entail the hypothesis. The premise states that being in a good";
"  
Yes, the premise entails the hypothesis. The premise states that being in a good place";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Vel, mesteparten av gongene når du ser";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg lik";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg lik";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that there has been a lack of progress in the sexual revolution over the";
"  
Yes, the premise entails the hypothesis because if the premise is true then it is likely";
"  
Yes, the premise entails the hypothesis because if it is true that you have been a member";
"  
Yes, the premise does entail the hypothesis because if you have more than five or six steps";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there is a need for one hundred pairs of";
"  
Yes, the premise entails the hypothesis because if it is true that ""Eg trur";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that someone has heard of a particular genre";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that there are alternatives to";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where visit";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that if you don'";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the company has a";
"  
Yes, the premise does entail the hypothesis. The premise states that the company has a";
"  
Yes, the premise entails the hypothesis. The premise ""Då eg var liten";
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";
"  
Yes, the premise entails the hypothesis. The premise states that people in Amarillo";
"  
Yes, the premise entails the hypothesis. The premise states that people in Amarillo";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that if the speaker knew";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the teacher is in";
"  
No, the premise does not entail the hypothesis. The premise only states that the speaker";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ho he";
"  
Yes, the premise entails the hypothesis because if ""Sam"" is an abbreviation of """;
"  
Yes";
"  
No";
"  
Yes";
"  
Yes. The premise ""Og om du vill gjere det sjølv"" implies";
"  
Yes, the premise entails the hypothesis because the first sentence ""Eg ser fram til det";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you can't remember doing something a thousand";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eg kan i";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise sets out a specific scenario where the";
"  
Yes, the premise entails the hypothesis. The premise states that there should be more restrictions";
"  
Yes. The premise does entail the hypothesis because if a country is selling technology and military";
"  
Yes. The premise does entail the hypothesis because if a country is selling military technology to";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
  The premise states that data science and cognitive science;
"  
Yes.  The premise and hypothesis are logically connected because they both relate to the same topic";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because the first sentence states that they will open a new";
"  
Yes, the premise does entail the hypothesis. The premise states that technology will open up";
"  
Yes";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While Daniel Yamins is a young and";
"  
Yes. The premise does entail the hypothesis because it provides a logical connection between two statements that";
"  
Yes";
"  
Yes";
"  
Yes. The premise implies that there is a continuous process of building up in our living system,";
"  
Yes. The premise ""Og det finst, trur eg, eit molek";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that it is difficult to teach children in preschool to pretend";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that this nation is founded";
"  
Yes, the premise entails the hypothesis because if all people are created equal, then it follows";
"  
Yes. The premise does entail the hypothesis because if a complex phenomenon cannot be reduced to";
"  
Yes. The premise does entail the hypothesis because if a language game cannot reduce complex phenomena";
"  
Yes, the premise entails the hypothesis because if you have to choose between giving up on love";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that spin networks can be constructed";
"  
Yes, the premise entails the hypothesis. The reason is that if spin networks can be built";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Han blei hengd offentleg den 19";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Ein heilt ny rettsorden ønskte";
"  
Yes, the premise does entail the hypothesis. The premise states that a healthy new";
 The premise states that the other dimensions are curled up on;
 The premise states that there are other dimensions beyond our familiar three;
"  
Yes, the premise entails the hypothesis. The premise states that higher-level thinking is";
"  
Yes, the premise entails the hypothesis. The premise states that higher-level thinking first";
"  
Yes, the premise entails the hypothesis because if we are capable of experiencing pleasure and pain";
"  
Yes, the premise entails the hypothesis because if we are all equal in having both pleasure and";
"  
Yes. The premise states that ""Nokre kvarter hadde rezadors orrez";
"  
Yes. The premise states that some neighborhoods had spiritual leaders who led the community in prayer for";
"  
Yes, the premise entails the hypothesis because if there is no character scale used in the exam";
"  
Yes, the premise entails the hypothesis because it provides a framework for evaluating the candidate'";
"  
Yes, the premise does entail the hypothesis. The premise states that all molecular components";
"  
Yes, the premise does entail the hypothesis. The premise states that all molecular components";
"  
Yes. The premise and hypothesis are related as they both deal with understanding human differences and similarities";
"  
Yes. The premise and hypothesis are related in that they both relate to children's learning ab";
"  
Yes. The premise and hypothesis are closely related as they both revolve around the idea that a";
"  
Yes. The premise and hypothesis are closely related as they both revolve around the idea that celebr";
"  
Yes, the premise entails the hypothesis. The premise states that it would take at least";
"  
Yes, the premise does entail the hypothesis. The premise states that it would take at";
"  
Yes, the premise entails the hypothesis. The premise states that the highest virtue of the";
"  
Yes, the premise entails the hypothesis because if the highest good of the German constitution after the";
"  
Yes, the premise does entail the hypothesis. The premise states that Sonja will try";
"  
Yes, the premise does entail the hypothesis. The premise states that Sonja is trying";
"  
Yes, the premise entails the hypothesis because if the kransane are sculpted or painted";
"  
Yes, the premise entails the hypothesis because it provides a logical explanation for why the decorations";
"  
Yes, the premise entails the hypothesis. The premise states that the court used this power";
"  
Yes, the premise entails the hypothesis. The premise states that the court used its power";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the simple machine is to produce a smooth";
"  
Yes, the premise does entail the hypothesis. The premise states that babies should";
"  
Yes, the premise does entail the hypothesis. The premise states that babies should";
"  
Yes, the premise entails the hypothesis. The premise states that ""Kva er ver";
"  
Yes, the premise entails the hypothesis because if there is no objective truth, then it follows";
"  
Yes, the premise entails the hypothesis. The premise states that a significant event occurred in";
"  
Yes, the premise entails the hypothesis. The premise states that a significant change in the";
"  
Yes, the premise does entail the hypothesis. The premise states that it is interesting that";
"  
Yes, the premise does entail the hypothesis. The premise states that something can happen in";
"  
No, the premise does not entail the hypothesis. The premise provides information about a small";
"  
Yes, the premise does entail the hypothesis. The premise states that the origin of the";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that autonomous agents in society have a system of knowledge that enables them";
"  
Yes. The premise and hypothesis are closely related in this case. The premise sets up a";
"  
Yes, the premise does entail the hypothesis. The premise suggests that there is a single";
"  
Yes, the premise entails the hypothesis because it suggests that there is a single person who can";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that some things cannot be";
"  
Yes, the premise does entail the hypothesis. The premise states that ""some things are";
"  
Yes, the premise entails the hypothesis. The premise states that if the Constitution allowed for";
"  
Yes, the premise entails the hypothesis. The premise states that when the home country'";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because it suggests that American salespeople are all on";
"  
Yes. The premise does entail the hypothesis because it provides a reason why it is difficult for";
"  
Yes, the premise entails the hypothesis. The premise states that Sonja is playing around";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence states that most people are not happy";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Dei and";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there is a characteristic large";
"  
Yes, the premise entails the hypothesis. The premise states that there is a characteristic large";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Om ein ser på borgarar som privilegium og imm";
"  The premise ""Om ein ser på borgar";
"  
Yes, the premise entails the hypothesis. The first sentence states that ""Ofte blei";
"  
Yes, the premise entails the hypothesis. The premise states that ""Ofte blei";
"  
Yes. The premise states that ""I know a girl who is particularly religious and has strong belief";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that pistols and";
"  
Yes, the premise does entail the hypothesis. The premise states that pistols and";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Tenk på rollen til lov og avtaler"" (Th";
"  
Yes. The premise does entail the hypothesis because if laws and agreements are in place to";
"  
Yes. The premise ""Men å vera lik er ikkje det same as å ver";
"  
Yes. The premise ""Men å vera lik er ikkje det same as å ver";
"  
Yes. The premise does entail the hypothesis because if the boolean idealization has problems in some";
"  
Yes. The premise does entail the hypothesis because if the Boolean idealization has problems, it";
"  
Yes. The premise suggests that people are spending less time interacting with their family members due";
"  
Yes. The premise does entail the hypothesis because it suggests that technology, particularly the internet,";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that men have created a new";
"  
Yes";
