question;A;B;C;answer;answer_abc
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul jòn, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul jòn ;boul vèt ;boul jòn ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul jòn, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul jòn ;boul vèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul mawon. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul nwa ;boul mawon ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul mawon. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul nwa ;boul mawon ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul mawon. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul nwa ;boul mawon ;boul mawon ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul ble, epi Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Alice gen ;boul ble ;boul jòn ;boul woz ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul ble, epi Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Bob gen ;boul ble ;boul jòn ;boul woz ;boul jòn ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul ble, epi Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Claire gen ;boul ble ;boul jòn ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul nwa ;boul vèt ;boul vèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul nwa ;boul vèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul nwa ;boul vèt ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul nwa ;boul vèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul nwa ;boul vèt ;boul vèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul nwa, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul nwa ;boul vèt ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul violèt, Bob gen yon boul ble, epi Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul nwa ;boul koulè violèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul violèt, Bob gen yon boul ble, epi Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul nwa ;boul koulè violèt ;boul koulè violèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul violèt, Bob gen yon boul ble, epi Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul nwa ;boul koulè violèt ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul mawon, ak Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul mawon ;boul jòn ;boul vèt ;boul vèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul mawon, ak Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul mawon ;boul jòn ;boul vèt ;boul mawon ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul mawon, ak Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul mawon ;boul jòn ;boul vèt ;boul jòn ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul jòn, epi Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Alice gen ;boul blan ;boul jòn ;boul woz ;boul blan ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul jòn, epi Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Bob gen ;boul blan ;boul jòn ;boul woz ;boul jòn ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul jòn, epi Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Claire gen ;boul blan ;boul jòn ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul violèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul nwa ;boul koulè violèt ;boul vèt ;boul vèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul violèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul nwa ;boul koulè violèt ;boul vèt ;boul koulè violèt ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul nwa, ak Claire gen yon boul violèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Alice chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul nwa ;boul koulè violèt ;boul vèt ;boul nwa ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul blan ;boul mawon ;boul woz ;boul mawon ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul blan ;boul mawon ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul blan ;boul mawon ;boul woz ;boul blan ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul koulè violèt ;boul vèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul koulè violèt ;boul vèt ;boul koulè violèt ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul vèt, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Alice chanje boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Bob ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul koulè violèt ;boul vèt ;boul vèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul blan ;boul woz ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul blan ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul zoranj ;boul blan ;boul woz ;boul blan ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul wouj ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul wouj ;boul woz ;boul wouj ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul woz. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Claire gen ;boul zoranj ;boul wouj ;boul woz ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul zoranj, epi Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul blan ;boul jòn ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul zoranj, epi Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul blan ;boul jòn ;boul jòn ;C
