question;A;B;C;answer;answer_abc
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola biru, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Claire memiliki ;bola biru ;bola kuning ;bola merah muda ;bola merah muda ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Alice dan Bob bertukar bola. Pada akhir permainan, Alice memiliki ;bola biru ;bola hitam ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Alice dan Bob bertukar bola. Pada akhir permainan, Bob memiliki ;bola biru ;bola hitam ;bola hijau ;bola biru ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Alice dan Bob bertukar bola. Pada akhir permainan, Claire memiliki ;bola biru ;bola hitam ;bola hijau ;bola hitam ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola biru, Bob memiliki bola hitam, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola biru ;bola hitam ;bola hijau ;bola biru ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola biru, Bob memiliki bola hitam, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola biru ;bola hitam ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola biru, Bob memiliki bola hitam, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola biru ;bola hitam ;bola hijau ;bola hitam ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola ungu, Bob memiliki bola biru, dan Claire memiliki bola hitam. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola biru ;bola hitam ;bola ungu ;bola biru ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola ungu, Bob memiliki bola biru, dan Claire memiliki bola hitam. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola biru ;bola hitam ;bola ungu ;bola ungu ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola ungu, Bob memiliki bola biru, dan Claire memiliki bola hitam. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola biru ;bola hitam ;bola ungu ;bola hitam ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola coklat, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Alice memiliki ;bola coklat ;bola kuning ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola coklat, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Bob memiliki ;bola coklat ;bola kuning ;bola hijau ;bola coklat ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola coklat, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Claire memiliki ;bola coklat ;bola kuning ;bola hijau ;bola kuning ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola kuning, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Alice memiliki ;bola putih ;bola kuning ;bola merah muda ;bola putih ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola kuning, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Bob memiliki ;bola putih ;bola kuning ;bola merah muda ;bola kuning ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola kuning, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Bob bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Claire memiliki ;bola putih ;bola kuning ;bola merah muda ;bola merah muda ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola ungu. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola hitam ;bola ungu ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola ungu. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola hitam ;bola ungu ;bola hijau ;bola ungu ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola hitam, dan Claire memiliki bola ungu. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Alice bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola hitam ;bola ungu ;bola hijau ;bola hitam ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola coklat, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Bob dan Claire bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola putih ;bola coklat ;bola merah muda ;bola coklat ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola coklat, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Bob dan Claire bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola putih ;bola coklat ;bola merah muda ;bola merah muda ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola merah muda, Bob memiliki bola coklat, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Alice dan Claire bertukar bola. Kemudian, Bob dan Claire bertukar bola. Akhirnya, Claire dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola putih ;bola coklat ;bola merah muda ;bola putih ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola ungu, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola biru ;bola ungu ;bola hijau ;bola biru ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola ungu, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola biru ;bola ungu ;bola hijau ;bola ungu ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola hijau, Bob memiliki bola ungu, dan Claire memiliki bola biru. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola biru ;bola ungu ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Alice dan Claire bertukar bola. Pada akhir permainan, Alice memiliki ;bola oranye ;bola putih ;bola merah muda ;bola oranye ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Alice dan Claire bertukar bola. Pada akhir permainan, Bob memiliki ;bola oranye ;bola putih ;bola merah muda ;bola merah muda ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Alice dan Claire bertukar bola. Pada akhir permainan, Claire memiliki ;bola oranye ;bola putih ;bola merah muda ;bola putih ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola merah, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Alice memiliki ;bola oranye ;bola merah ;bola merah muda ;bola merah muda ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola merah, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Bob memiliki ;bola oranye ;bola merah ;bola merah muda ;bola merah ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola merah, dan Claire memiliki bola merah muda. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Claire bertukar bola. Kemudian, Alice dan Bob bertukar bola. Akhirnya, Claire dan Bob bertukar bola. Pada akhir permainan, Claire memiliki ;bola oranye ;bola merah ;bola merah muda ;bola oranye ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola oranye, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Alice memiliki ;bola oranye ;bola putih ;bola kuning ;bola oranye ;A
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola oranye, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Bob memiliki ;bola oranye ;bola putih ;bola kuning ;bola kuning ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola kuning, Bob memiliki bola oranye, dan Claire memiliki bola putih. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Claire dan Alice bertukar bola. Kemudian, Bob dan Alice bertukar bola. Akhirnya, Bob dan Claire bertukar bola. Pada akhir permainan, Claire memiliki ;bola oranye ;bola putih ;bola kuning ;bola putih ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Alice memiliki ;bola oranye ;bola putih ;bola hijau ;bola hijau ;C
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Bob memiliki ;bola oranye ;bola putih ;bola hijau ;bola putih ;B
Alice, Bob, dan Claire sedang bermain. Pada awal permainan, mereka masing-masing memegang bola: Alice memiliki bola oranye, Bob memiliki bola putih, dan Claire memiliki bola hijau. Seiring permainan berlangsung, pasangan pemain bertukar bola. Pertama, Bob dan Alice bertukar bola. Kemudian, Claire dan Bob bertukar bola. Akhirnya, Bob dan Alice bertukar bola. Pada akhir permainan, Claire memiliki ;bola oranye ;bola putih ;bola hijau ;bola oranye ;A
