,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
14,Kira a toujours aimé la culture japonaise.,Beaucoup de ses films préférés étaient en japonais.,Elle a décidé qu'elle y voyagerait.,"Pendant des années, elle a économisé pour son voyage.",Elle a dépensé tout l'argent en chaussures.,C'était le meilleur voyage de sa vie.,2
15,Glen était d'humeur à se promener.,Il a mis sa veste et est sorti.,"Alors qu'il marchait sur le trottoir, il a trébuché et s'est cassé le genou.",Glen se releva et retourna boiteux chez lui.,Glen a fait son meilleur temps de marathon.,Glen a juré qu'il ne marcherait plus jamais.,2
16,Jésus a passé la journée à polir les meubles.,"À l'approche de la nuit, il a examiné le travail qu'il avait fait.",Tout était brillant et neuf.,Jésus a invité tous ses amis à une fête ce soir- là.,Ils ont dit que ses meubles étaient beaux.,Ses amis ont poli ses meubles.,1
17,Je me rendais récemment au magasin.,"En passant devant une sortie, j'ai senti un froid, un fer dur sur mon bras.",J'étais choqué d'être renversé par une voiture!,Le chauffeur s'est excusé après m'avoir percuté.,Je leur ai dit que c'était bon et je suis parti.,Le chauffeur de la voiture est devenu très en colère contre moi.,1
18,La sœur de Gina s'est coupée la cheville sur du verre brisé.,Le sang a coulé sur son pied et dans sa chaussure.,"Quand elle a vu le sang, elle est rentrée à la maison.","Gina courait derrière elle, mais ne pouvait pas suivre.","Quand ils sont rentrés, ils ont tous mangé de la glace.",La sœur de Gina est allée chez le médecin.,2
19,Un petit garçon était en troisième année.,Il était très intelligent mais avait du mal à lire.,"Chaque fois qu'il lisait à haute voix, ses camarades de classe se moquaient de lui.",Il a commencé à lire tous les jours.,Le petit garçon a accepté qu'il ne s'améliorerait jamais.,"À la fin de l'année, il a bien réussi son examen de lecture.",2
20,La classe de Rosie faisait une petite fête.,Elle a décidé de faire une salade de fruits pour tout le monde.,Elle a dépensé beaucoup d'argent pour les fruits et beaucoup de temps pour les préparer.,"Le jour de la fête, elle a ramassé un énorme bol de salade de fruits.",La classe de Rosie a partagé la salade de fruits.,Rosie gardait le bol de salade de fruits dans son réfrigérateur à la maison.,1
21,Kelly était heureuse d'avoir son nouveau téléphone.,Elle l'emportait partout.,Elle l'a malheureusement cassé.,"Heureusement, elle a réussi à le réparer.",Le magasin lui a donné un prix juste pour le réparer.,Kelly a acheté un nouveau téléphone.,1
22,"À l'université, j'avais rencontré un homme plus âgé.",J'avais 22 ans et lui 38.,Nous nous sommes bien entendus et nous avons passé un bon moment ensemble.,On est restés ensemble pendant tout le temps que j'y étais.,Je garde de bons souvenirs de cette époque.,J'ai des souvenirs négatifs de cette époque.,1
23,Bob voulait jouer dans la pièce de l'école.,Il a étudié le rôle avec soin.,Il répétait souvent ses répliques.,"Le jour de l'audition, il a fait du bon travail.",Bob était très fier.,Bob était très honteux.,1
24,Jackie a été nommée surveillante de classe de huitième.,Elle est l'objet de l'envie de toute la classe.,Ses camarades de classe menaçaient souvent son emploi.,Ils voleraient les laissez-passer de Jackie.,Le directeur a suspendu ses camarades de classe.,Ses camarades de classe ont reçu des prix pour leur comportement.,1
25,Mon père venait d'acheter une nouvelle voiture.,"Pour fêter ça, on est allés faire un tour.",Une autre voiture a dépassé un panneau d'arrêt et s'est écrasée sur nous.,J'ai frappé la vitre assez fort pour la casser.,Je suis sorti et mon père et moi étions bien.,On a été tous les deux écrasés par le véhicule.,1
26,Ma nièce adore le film Frozen.,Elle veut toujours le porter.,Elle chante dans la maison.,"Elle adore crier ""laisse tomber"".",Elle la chante encore et encore.,Elle aime le sport et déteste les princesses.,1
27,"Alex était en train de dribbler sur le terrain, avec son équipe en retard de deux points.",Il a regardé le tableau de bord et a vu qu'il ne restait plus que 5 secondes.,Il cherchait un homme ouvert.,Les défenseurs étaient collés à ses coéquipiers comme de la colle.,Le bouton a sonné et son équipe a gagné le match.,Il a tenté un trois-pointer et a raté.,2
28,Je suis entré dans la bibliothèque et je me suis assis.,"Quand j'ai regardé autour de moi, j'ai remarqué un enfant.",Il m'a regardé pendant un moment.,Je me suis sentie frustrée et je me suis levée de mon siège.,Je me moquais de ce que faisait le gamin.,Je lui ai demandé quel était son problème.,2
29,Iva et Brant essayaient de concevoir un enfant.,Ils avaient essayé pendant six mois sans succès.,"Lors de leur rendez-vous chez le médecin, ils ont exprimé leur découragement.",Mais ils ont vu le docteur sourire.,Brant annulera son plan pour enlever un enfant.,Le couple sera heureux d'apprendre qu'ils attendent un bébé.,2
30,Catherine a toujours été intriguée par le curling.,Catherine aime regarder les athlètes jouer à la télévision.,"Un jour, Catherine décida de se rendre à une séance d'entraînement de curling.","Au cours de l'entraînement, un des athlètes a invité Catherine à jouer.",Catherine s'est mise à s'entraîner tous les jours et elle est devenue bonne.,Catherine trouvait le curling ennuyeux.,1
31,Francis a toujours été impatient d'apprendre à conduire.,Il est enfin assez vieux pour avoir son permis de conduire.,Francis étudie très dur pour obtenir une licence.,Il passe son examen de conduite facilement.,Francis est très fier de son accomplissement.,Francis décide qu'il préfère prendre les transports en commun.,1
32,"Hier, j'ai passé un bon moment à voir Le Casse-Noisette.",J'ai vraiment adoré.,Les danseurs décoraient la scène. C'était magnifique.,J'étais honoré d'avoir vu le spectacle.,J'ai juré de ne plus jamais le revoir.,Je voulais le revoir.,2
33,Je me suis réveillé pour mon cours à 8h30 du matin.,"Je me suis endormie, je me suis levée et j'ai pris une douche.",J'ai pris mon petit déjeuner rapidement et j'ai commencé à marcher vers la classe.,"Après 50 minutes de cours, je suis retourné à mon dortoir.",J'ai décidé de retourner en classe.,"Quand je suis arrivé là-bas, j'ai fait une sieste.",2
34,Gary voulait attirer l'attention de Lisa.,"Un jour, il décide d'écrire un poème à Lisa.","Le lendemain à l'école, Gary voit Lisa dans le couloir.",Gary sourit à Lisa et lui tend le poème.,Gary donne une forte gifle à Lisa et s'en va.,Lisa avoue qu'elle est aussi amoureuse de Gary.,2
35,Carlos a toujours voulu visiter la France.,Il décide qu'il devrait apprendre à parler français avant de partir.,Il s'inscrit à un cours du soir et étudie très dur.,Carlos parle enfin assez bien français.,Carlos a réservé un vol pour l'Australie.,Carlos profite au maximum de son français lors de son voyage à Paris.,2
36,Lars avait toujours voulu essayer la photographie.,"Son ami était un excellent photographe, mais il n'avait jamais essayé.","Un jour, il a acheté un appareil photo simple mais de grande qualité.","Depuis ce jour, Lars a pris des images de la nature chaque jour.",Lars est tombé amoureux de la photographie.,Lars détestait la photographie.,1
37,J'ai acheté une télévision dans un magasin d'électronique.,C'est un grand écran plat avec une image de haute définition.,"L'employé m'a convaincu d'acheter une garantie pour ça, au cas où.","Une semaine plus tard, la télévision est tombée du mur et s'est cassée.",J'ai pu le faire réparer avec la garantie.,L'employé a été retrouvé mort.,1
38,Ryan était dans un parc.,Et il a vu une petite fille tenant un ballon.,"En quittant le parc, il a vu le même ballon coincé dans un arbre.",Il a grimpé à l'arbre pour récupérer le ballon.,Ryan a fait éclater le ballon exprès.,Ryan a ensuite retrouvé la fille et lui a donné le ballon qu'elle avait perdu.,2
39,Le manager de Jen lui a dit qu'elle devait télécharger son CV.,Elle a réalisé que son CV n'était pas correctement formaté.,Elle a transféré tout le contenu sur le modèle approprié.,"Elle a ajouté des informations sur son dernier emploi, et elle a mis à jour son CV.",Puis elle l'a envoyé à son manager.,Jen détestait faire la vaisselle.,1
40,Neil faisait un tour de la ville de Fez.,Il a goûté leur cuisine ethnique.,Puis il est allé faire des courses pour des souvenirs.,Il a noté que Fez avait aussi de grands artistes de rue.,Neil s'est bien amusé.,Neil et Fez sont devenus les meilleurs amis.,1
41,Je devais sortir mon chien.,Mon quartier exige une laisse.,J'ai cherché dans ma maison pour la laisse.,Je n'ai pas pu le trouver.,J'ai décidé d'emmener mon chien dans la cour arrière.,J'ai laissé mon chien entrer dans la maison.,1
42,C'était une journée chaude et lumineuse.,Joe a pensé que ce serait bien de faire une promenade.,Il a décidé de marcher jusqu'à son café.,"Mais à mi-chemin, il a commencé à se fatiguer.",Il est allé au café.,Joe regrette d'être sorti.,2
43,Jen attendait un paquet toute la journée.,"Finalement, elle a vu le vendeur de courrier arriver à la porte.",Il a livré le paquet et elle l'a apporté à l'intérieur.,Elle a ouvert le paquet avec un couteau.,Dans la boîte était un nouveau-né.,Jen a trouvé son nouveau manteau dans le paquet.,2
44,Frank ne voulait pas faire ses devoirs.,Il voulait jouer aux jeux vidéo.,Les parents de Frank lui ont dit de faire ses devoirs en premier.,Frank a fait une crise de colère et a été puni.,Frank a perdu ses jeux vidéo pendant une semaine.,Frank a un tout nouveau jeu.,1
45,Timmy participait à la compétition de 3 points à son école.,Le gagnant aurait une chance de gagner une bourse de 1000 dollars.,Timmy s'est entraîné à tirer des 3 points tout le week-end.,Il était prêt le jour de la compétition.,Timmy a gagné la compétition.,Timmy est allé au driving range le jour de la compétition.,1
46,Drake a assisté à une fête vendredi.,Il découvrit que son portefeuille avait été volé de son manteau.,"Drake a immédiatement appelé la police, mais le portefeuille n'a pas été retrouvé.",Drake a confronté l'animateur de la fête à ce sujet.,Et l'hôte lui a dit qu'il ne savait pas non plus.,Drake a dit à l'animateur qu'il voulait assister à ses fêtes à nouveau.,1
47,Bob a découvert que son camion avait un pneu crevé.,Il n'avait jamais changé de pneu.,Il a sorti le tire-bouchon et le fer à repasser.,Il n'a pas pu enlever les boulons.,Bob a appelé quelqu'un pour réparer son pneu crevé.,Bob a conduit son camion au marché.,1
48,Jack est fatigué d'écrire des courriels sur son ordinateur.,Il décide qu'il doit investir dans un ordinateur portable.,Il recherche différents ordinateurs portables jusqu'à ce qu'il trouve le parfait.,Il l'a finalement acheté.,Maintenant Jack aime vraiment répondre aux emails.,Jack utilise maintenant le service postal au lieu du courrier électronique.,1
49,Les cheveux de Jake devenaient un peu longs.,Il avait un entretien d'embauche à venir.,Il a demandé à sa mère de lui couper les cheveux.,"Sa mère lui a fait une coupe de cheveux bien faite, qui lui a donné un aspect professionnel.",Jake s'est lavé les mains.,Jake a obtenu le poste.,2
50,Sean est venu aujourd'hui.,"Sam, Sean et moi avons joué à des jeux.",Ils ont commencé à se fâcher contre moi à propos de la façon dont je suis mauvais.,Ils m'ont dit que je ne pouvais plus jouer jusqu'à ce que je sois guérie.,J'étais vraiment blessé.,J'étais vraiment content.,1
51,Sarah voulait envoyer une carte.,Elle est allée à la poste.,Elle a payé pour les timbres.,Elle a mis la lettre dans une enveloppe.,Sarah a livré sa lettre elle-même.,La lettre de Sarah allait bientôt arriver à destination.,2
52,Chuck était fatigué du travail.,Il a fermé son travail pendant un moment.,Il a ouvert le forum pour discuter avec ses collègues.,"Après ces mauvais coups de Zoltar, il avait besoin de cette pause.",Chuck a décidé de quitter son travail.,Il se sentit alors obligé de retourner au travail.,2
53,Bob utilisait des sacs en plastique pour faire ses courses.,"Puis, son ami lui a dit que le plastique est mauvais pour l'environnement.",Bob a décidé de renoncer à ses sacs en plastique.,Bob a investi dans des sacs à provisions réutilisables.,Bob utilisait ses sacs à provisions réutilisables pour faire ses courses.,Bob continuait à utiliser ses sacs en plastique pour faire ses courses.,1
54,Joe avait besoin d'un portrait de lui-même pour un projet.,Il a appelé des artistes locaux et leur a demandé leurs tarifs.,Un des artistes avait des tarifs raisonnables.,Joe a pris rendez-vous avec cet artiste pour faire le portrait.,Joe était très satisfait des résultats.,L'artiste a peint un chat de Joe.,1
55,Ann essayait d'arrêter de fumer.,Elle a fait plusieurs tentatives mais a toujours échoué.,Puis elle a appliqué un timbre à la nicotine pour l'aider.,Et l'a aidée à le faire!,Ann a doublé la quantité de cigarettes qu'elle fumait chaque jour.,Ann a réussi à arrêter de fumer.,2
56,Jen a été envoyée chez sa tante pour l'été.,Elle détestait l'idée d'être loin de sa bibliothèque locale tout l'été.,"Elle avait pris quelques livres avec elle, mais elle les lisait rapidement.","Quand elle est arrivée, sa tante l'a emmenée dans une pièce spéciale de sa maison.",Jen a vu ses livres brûler dans la cheminée.,La salle était pleine de rayons de livres qui plaisaient aux filles.,2
57,"Hier, c'était le nettoyage des dents de Rob.",Il a normalement peur des dentistes.,Mais il y a une nouvelle infirmière mignonne au bureau.,Il était très excité.,Rob s'est senti rafraîchi après sa coloscopie.,Rob était déçu quand l'infirmière mignonne n'était pas là ce jour-là.,2
58,Joe aimait manger de la terre.,Il faisait des tartes de boue à chaque occasion.,Il mangeait une tarte quand il a senti quelque chose de très dur dans sa bouche.,Joe avait mordu sur un rocher et s'était cassé une dent.,Joe voulait mâcher plus de pierres.,Joe a décidé de ne plus manger de terre.,2
59,Rob n'a jamais été dans une montagne russe.,Les amis de Rob lui ont offert un billet gratuit pour Six Flags.,Rob a décidé qu'il pourrait aussi bien se joindre à nous.,Ils sont tous allés et ont fait la queue.,Rob avait des amis généreux.,Les amis de Rob étaient inconsidérés.,1
60,Carly attendait que Sam l'appelle.,Il a promis de le faire vendredi.,Il était maintenant tard samedi et elle n'avait rien entendu.,"Finalement, elle a décidé de l'appeler.",Sam a répondu au téléphone.,Carly a commandé à emporter au téléphone.,1
61,Amy est rentrée de l'école le jour de son anniversaire et a trouvé la maison vide.,Elle était contrariée que tout le monde ait oublié son jour spécial.,Elle entra tristement dans le salon.,"Soudain, ses amis et sa famille ont sauté de leurs cachettes.",Amy sourit avec plaisir.,Amy est sortie de la chambre et a quitté la maison.,1
62,Pan a essayé de me frapper sans raison apparente.,"J'étais furieux, j'ai juste défendu son coup.",Elle a continué à me frapper.,"Pour l'arrêter, je l'ai jetée par terre.",Pan s'est finalement arrêté.,Je lui ai donné un gros câlin.,1
63,Becky a une cousine qui s'appelle Ashley.,Becky et Ashley étaient amies quand elles étaient petites.,Ashley a commencé à être stupide quand elle a grandi.,Elle est allée en prison pour avoir volé des tampons dans un magasin à un dollar.,Becky a perdu le contact avec elle.,Becky est fière d'Ashley.,1
64,Le bébé de Pam et Tom dormait peu.,Leur voisin insensé laissait souvent son chien dehors aboyer toute la journée.,"Chaque fois que Pam faisait dormir son bébé, le chien commençait à aboyer.",Pam fantasmait de libérer le chien pour qu'il s'enfuie.,"Un soir, Pam a laissé ses chats entrer chez elle.","Un soir, Pam a décidé de libérer les chiens.",2
65,May a été acceptée à la fac de Fredonia.,Elle a pris le bus pour sa nouvelle école.,Elle a exploré le campus.,Elle aimait tout ce qu'elle voyait.,Elle a abandonné l'école.,Elle aimait même tous ses professeurs.,2
66,Mary avait besoin de se faire retirer des dents.,Elle voulait que le dentiste l'endorme.,Il a juste anesthésié la zone avec de la Novocaïne.,Mary le regarda avec horreur.,"Après avoir vu son expression, le dentiste a pu aider Mary.",Mary est sortie du dentiste de bonne humeur.,1
67,Ford était fier de sa moyenne élevée.,Il travaillait tous les soirs sur des devoirs pour l'améliorer.,Les amis de Ford l'avaient prévenu qu'il perdait du plaisir.,"Plus tard dans sa vie, Ford est devenu un avocat à succès.",Ford était triste d'avoir tant accompli.,Ford était fier de ses réalisations.,2
68,Ma femme dit que je manque de passion.,Que je n'ai pas beaucoup de passe-temps ou d'intérêts.,J'ai essayé de discuter mais je n'ai pas pu.,J'ai réalisé qu'elle avait raison.,J'ai décidé de changer.,Je suis célibataire.,1
69,Nina voulait un joli costume d'Halloween.,Mais elle ne pouvait pas se permettre quelque chose de luxueux.,Elle a fouillé sa maison pour trouver des idées.,Puis elle a trouvé un super costume gratuit.,Nina a acheté un jouet.,Nina était excitée.,2
70,Véronique aimait faire des randonnées dans les bois.,"Un jour, elle était sur un sentier et a trouvé une cabane dans un arbre.",Elle a grimpé l'échelle et a été étonnée de toutes les choses dans la maison.,Il était entièrement meublé avec un meuble et des couvertures.,Véronique n'aimait pas beaucoup la cabane dans l'arbre.,Veronika décide de visiter la cabane dans l'arbre plus souvent.,2
71,C'était une belle journée de printemps au début de mars.,Tracey a décidé de faire une promenade dans les bois derrière sa maison.,Elle entendit un piquet et commença à le chercher dans les arbres.,Elle a trébuché sur une racine et est tombée sur le chemin.,Tracey est rentrée à la maison.,Tracey a surmonté sa chute.,2
72,Bob avait très soif et voulait un soda.,"Malheureusement, il n'avait pas d'argent.",Bob est entré dans une station-service et a demandé s'il pouvait avoir un soda.,Le caissier lui a demandé s'il avait de l'argent.,Il a dit non et a quitté la station-service.,Il a décidé d'aller courir.,1
73,Jim attendait à l'aéroport.,Sa femme serait là dans une heure.,Il s'ennuyait beaucoup.,Il décida alors de rattraper son retard sur son livre.,Jim a vu sa femme après une heure.,Jim est parti avant que sa femme ne se présente.,1
74,Joe voulait vraiment aller à l'université de Columbia.,"Il travaillait dur à l'école, il était dans l'équipe de foot.",Il a été mis sur la liste d'attente.,"Bien que déçu, il a fait de son mieux jusqu'à la fin.",Joe était toujours très fier de son travail.,Joe a décidé qu'il ne voulait pas aller à l'université.,1
75,"Tami, l'amie de Gina, avait un dossier qu'elle ne voulait pas que personne ait.",Gina en voulait un mais ne savait pas où en acheter un.,"Tami avait une nouvelle Lisa Frank, le gardien du trappeur.","Gina était jalouse, elle en voulait un aussi.",Gina a vérifié sur eBay et en a trouvé un qu'elle pouvait se permettre.,Gina a tondu toute la cour et n'a eu l'aide de personne.,1
76,Leah avait un magnifique sapin de Noël chez elle.,"Un jour, elle est partie faire du shopping.","Quand elle est revenue, l'arbre avait été renversé.",Son chat l'avait escaladé et l'avait tiré vers le bas!,Leah a décidé qu'elle préférait l'arbre sur le sol plutôt que debout.,Leah a réprimandé son chat.,2
77,Peter avait utilisé la même chaise pendant des années.,Il était en train de s'user.,Il décida d'acheter une nouvelle chaise plus confortable.,"Quand il est arrivé, Peter était très heureux.",Peter pensait que ça pourrait être plus confortable que l'ancien.,Peter a laissé son chien utiliser la chaise pour lui-même.,1
78,Rex se prépare pour une fête ce soir.,Il se rend compte qu'il n'a rien préparé pour les invités à manger avec du fromage.,Rex est sorti pour prendre une baguette.,Il le coupe en tranches fines et uniformes pour le manger facilement.,Rex est parti en voyage à travers l'océan.,Tout le monde a apprécié le fromage et le pain.,2
79,Ali prend toujours le train pour aller au travail chaque jour.,"Un jour, elle était très malade, mais elle est quand même allée travailler.",Elle a travaillé dur toute la journée et a même pris le travail à la maison.,Elle est montée dans le train et s'est endormie.,Elle était une employée paresseuse.,Elle a raté son arrêt et a dû prendre un bus pour rentrer chez elle.,2
80,L'équipe de football avait travaillé dur toute la saison.,Ils avaient gagné tous les matchs et étaient entrés dans le championnat.,Il ne restait plus que quelques secondes à l'horloge et le match était nul.,Le quarterback passe une longue passe et le receveur marque.,La foule a hué l'équipe à haute voix.,La foule s'est levée de ses sièges et a applaudi avec enthousiasme.,2
81,Nous vivons dans un immeuble de grande hauteur.,"Un jour, le vent était fort, en partie à cause de la hauteur du bâtiment.",Le vent a tellement soufflé les branches que ma femme n'a pas pu dormir.,Le vent a aussi fait tomber le câble internet.,Ma femme et moi étions très malheureux de perdre notre connexion Internet.,Nous aimions le vent fort et le manque de sommeil.,1
82,Kate voulait acheter un nouveau clavier pour son ordinateur.,Elle a économisé pendant des mois pour se payer un bon clavier.,Kate est enfin allée sur Internet et a commandé son clavier!,Elle a attendu avec impatience son arrivée pendant des jours.,Puis elle a annulé sa commande.,Puis son clavier est arrivé par la poste.,2
83,Jon est diplômé de l'université et a commencé à chercher un emploi.,Il postulait tous les jours pour un emploi dans son domaine.,"Trois semaines après son entrée, il a reçu un appel.",La personne qui a appelé a demandé s'il était intéressé par une entrevue.,Jon a accepté le projet.,Jon a rejeté l'offre.,1
84,Julie aimait lire tout ce qu'elle pouvait trouver.,Elle passait la plupart de son temps à la bibliothèque.,Sa bibliothèque préférée était tenue par Mlle Watson.,Mlle Watson a vu l'amour de Julie pour les livres et lui a offert un emploi.,Julie a accepté avec joie!,Julie a frappé son amie dans l'œil.,1
85,La famille d'Amy allait au Six Flags.,Elle s'assit patiemment dans la voiture en attendant d'arriver.,"Quand ils sont arrivés, elle s'est assise sur ses genoux pour surveiller le parc.",Elle a fait la queue pendant une heure pour monter dans la plus grande montagne russe.,Amy était vraiment excitée d'être au parc.,Amy trouvait le parc ennuyeux.,1
86,Steve était pressé d'aller au match de football.,"Sur l'autoroute, Steve a conduit sa voiture très vite.",La patrouille routière a arrêté la voiture de Steve.,L'agent a écrit à Steve une contravention pour excès de vitesse.,Steve était content.,Steve était contrarié.,2
87,Ma fille est allée à sa première fête d'anniversaire pour un ami.,Elle était si excitée à l'idée de la fête.,Elle n'a parlé d'autre chose pendant une semaine.,Elle est allée à la fête et s'est bien amusée.,Elle a décidé de ne plus jamais aller à une fête.,"Quand elle est rentrée à la maison, elle s'est endormie immédiatement, épuisée.",2
88,Bob avait besoin d'argent pour acheter de la nourriture.,Il était triste de ne pas pouvoir manger parce qu'il n'avait pas d'argent.,Il a décidé d'écrire un livre sur sa vie difficile.,Les gens ont immédiatement fait l'éloge du livre et en ont acheté des milliers!,Les profits de la vente de livres ont donné à Bob assez d'argent pour manger.,La réaction du public au livre signifie que Bob a encore faim.,1
89,Je viens de terminer mon premier marathon aujourd'hui.,C'était à environ 10 km et j'ai travaillé très dur.,Je me suis entraîné pendant trois mois.,Ça a toujours été sur ma liste de choses à faire dans la vie.,Je n'ai jamais été aussi heureux.,Je suis vraiment déçue de moi-même.,1
90,Bobby a plié son rouleau de fruits en forme d'avion.,Il a blessé son bras et a lancé l'avion aussi fort qu'il le pouvait.,Mais il était beaucoup trop lourd et est tombé comme une brique.,Bobby a décidé que les avions devraient être faits de papier.,Bobby avait cinq ans.,Bobby avait trente-cinq ans.,1
91,Sam regardait les étoiles une nuit.,"Soudain, il s'est assis tout droit.",Il a vu une étoile scintillante et mouvante!,Il a couru le montrer à son père.,Son père a ri parce que la star était vraiment un jet avec des lumières.,Le père de Sam était content que son fils s'intéresse à la géologie.,1
92,John et Meg étaient ensemble depuis cinq ans.,John aimait Meg et voulait l'épouser.,"Il a décidé de lui demander en mariage ce soir, après un rendez-vous au cinéma.","Quand ils sont sortis du cinéma, il s'est soudainement mis à genoux.",Il a commencé à crier des obscénités à Meg.,Il lui a demandé en mariage.,2
93,Une belle grappe de bananes pendue juste à l'extérieur de la portée.,"Bobby a essayé de lancer sa chaussure, mais elle s'est coincée.","Il a essayé de grimper à l'arbre, mais il est tombé.","Puis il a frappé furieusement avec une houe, mais elle était trop courte pour atteindre.",Bobby était contrarié d'avoir eu les bananes.,Bobby est allé chercher une échelle pour les bananes.,2
94,Beth était en convalescence.,Elle a finalement pu manger après 4 jours.,"Bien qu'elle se sente mieux, elle ne se sent pas bien.",Elle a décidé de prendre congé vendredi de l'école et de prendre le temps de guérir.,Beth avait besoin de repos.,Beth a joué au football le vendredi.,1
95,Rhonda a acheté des chaussettes roses à porter.,Elle les adorait.,"Mais quand elle les a enlevés, ils se sont mélangés à d'autres vêtements.","Le jour de la lessive, elle lavait ses vêtements sans les trier.",Rhonda a alors décidé de déjeuner et de répondre aux e-mails.,"Malheureusement, elles ont été détruites et Rhonda a dû en acheter de nouvelles.",2
96,La mer était effrayante pendant une tempête.,Marcus détestait la façon dont le bateau s'élevait et s'écrasait.,Ça lui a fait mal au ventre.,"Il s'est caché dans sa cabine et a fermé les yeux, mais ça n'a pas aidé.",Marcus était tellement excité qu'il a commencé à danser.,Marcus a ensuite vomi du mal de mer.,2
97,"Hier, Anna a décidé de faire une sieste.",Elle s'est assise confortablement dans son fauteuil et a fermé les yeux.,"Alors qu'elle s'était endormie, le chiot de sa fille lui est sauté sur les genoux!",Elle était très surprise.,"Elle s'est serrée dans ses bras avec le adorable chiot, heureuse de le voir.",Le chaton était très mignon.,1
98,Chuck adore ce bar près de chez lui.,Il y va tout le temps avec des amis.,Il était en route un jour et a remarqué qu'il était fermé.,Elle avait été mise hors service.,Chuck était contrarié.,Chuck était content que cet endroit ait finalement fermé.,1
