,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
10,밥은 생선 식당에서 일한 첫날을 두려워했습니다.,그는 그의 화려한 해양 군복을 입기 위해 기다려야 할 계획이었습니다.,밥은 군복을 입고 생선버거를 만들게 됐어요,"너무 바빴고, 거리의 옷을 다시 입는 것도 잊었지",밥은 그 옷을 너무 좋아해서 친구들에게 보여주었습니다.,밥은 일 후에 선원복을 입고 나갔다.,2
11,친구가 방문했어요,내 개가 물었다고 말했지,그녀는 듣지 않았습니다.,애정과 놀이를 하려고 했지,내 개가 물었어,내 개가 도망쳤어.,1
12,레스터는 항상 예술적이 되고 싶어했어요,그는 언젠가 꽃을 그리려고 결심합니다.,그는 아름다운 오키디 앞에 앉아 그림을 그리기 시작합니다.,레스터의 그림이 아주 잘 나오네요,그는 자신의 거실 벽에 그림을 매달아 놓았습니다.,그는 다시는 그림을 그리지 않기로 결심합니다.,1
13,파블로는 벌레를 좋아해요,학교에서는 어떻게 해야 하는지 책에서 읽었습니다.,올리브 오일에 튀겨요,그는 적어도 한 달에 한 번은 이런 일을 하는 걸 좋아해요.,파블로는 벌레를 즐기고 맛있게 먹습니다.,파블로는 벌레를 먹는 걸 좋아하지 않아요.,1
14,키라는 항상 일본 문화를 좋아했지,그녀가 좋아하는 영화들은 일본어로 많이 만들어졌어요.,그녀는 그곳으로 여행을 떠나기로 결심했다.,몇 년 동안 그녀는 여행을 위해 돈을 저축했습니다.,신발에 돈을 다 썼어,그녀의 인생 최고의 여행이었어,2
15,글렌은 산책할 기분이었어,그는 재킷을 입고 밖으로 나갔다.,"길거리에서 걸어가던 중, 그는 걸려 넘어져서 무릎이 부러졌습니다.",글렌은 다시 일어서서 걸어서 집으로 돌아갔다.,글렌은 역대 최고 마라톤을 달렸다,글렌은 다시는 걷지 않을 거라고 맹세했지,2
16,예수께서는 하루 종일 가구를 닦아주셨습니다.,밤이 다가오자 그는 그가 한 일을 조사했다.,모든 것이 새롭고 빛나고 있었습니다.,예수께서는 그날 저녁에 모든 친구들을 파티에 초대하셨습니다.,그들은 그의 가구가 멋있다고 했어요.,그의 친구들은 그의 가구를 닦아줬습니다.,1
17,최근에 가게로 걸어갔어요.,"출구에서 지나가면서, 제 팔에 차가운 강철이 붙어있음을 느꼈습니다.",차에 치여서 충격에 빠졌어요!,운전자는 내가 부딪혔다는 걸 보고 정말 미안해해 했어요,괜찮다고 말했고 그냥 떠났어요,차 운전사는 내게 매우 화가 나게 되었습니다.,1
18,지나의 누나가 유리 부스러기에 발목을 다쳤어,피가 발 아래로 흘러 들어 신발에 들어갔어요,피를 보고 집으로 달려갔어요,지나는 그 여자 뒤에 달려갔지만 따라가지 못했어요.,집에 도착했을 때 그들은 모두 아이스크림을 먹었습니다.,지나의 동생이 의사에게 갔어요,2
19,한 소년이 3학년이었죠.,그는 매우 똑똑했지만 읽기에는 어려움을 겪었습니다.,그가 소리 내어 읽었을 때마다 그의 동급생들은 그를 비웃었습니다.,그는 매일 독서를 연습하기 시작했습니다.,그 작은 소년은 그가 결코 나아지지 않을거라는 걸 받아들였다.,"그 해가 끝나고, 그는 읽기 시험에서 좋은 성적을 거뒀습니다.",2
20,로지 수업이 작은 파티를 하고 있었어요,그녀는 모두에게 과일 샐러드를 만들기로 결정했습니다.,"그녀는 과일을 사는데 많은 돈을 쓰고, 그것을 준비하는데 많은 시간을 보냈습니다.",파티의 날에 그녀는 과일 샐러드를 큰 그릇에 scooped.,로지 수업은 과일 샐러드를 함께 먹었습니다.,로지는 집에서 과자 샐러드를 냉장고에 보관했습니다.,1
21,켈리는 새 핸드폰을 갖게 되어 행복했어요.,그녀는 그걸 어디서나 가지고 다녔어요.,불행히도 그녀는 그것을 부.,다행히도 그녀는 그것을 고칠 수 있었습니다.,가게에서 정비에 공정한 가격을 줬어요,켈리는 새 핸드폰을 샀어,1
22,"대학에 있을 때, 저는 나이 많은 남자를 만났습니다.","저는 22살이었고, 아버지는 38살이었습니다.",우리는 좋은 이해가 있었고 함께 좋은 시간을 보냈습니다.,내가 거기 있는 동안 우린 함께 지냈어,그 시절에 대한 좋은 기억이 있습니다.,그 시절에 대한 부정적인 기억이 있습니다.,1
23,밥은 학교 연극에 출연하고 싶어했어요,그는 그 역할을 신중하게 공부했습니다.,그는 종종 자신의 대사를 연습했습니다.,"오디션날, 그는 훌륭한 일을 했습니다.",밥은 매우 자랑스러워했습니다.,밥은 매우 부끄러워했습니다.,1
24,제키가 8학년 초등학교 교실 감시자로 임명됐어요,그녀는 수업 전체에서 부러워집니다.,학교 친구 들 은 종종 그 의 직장을 위험 에 빠뜨리곤 했다.,그들은 잭키의 홀 패스를 훔쳐갔을 겁니다.,교장님이 소란쟁이 동급생들을 해고했어요,그녀의 동급생들은 그들의 행동에 대해 상을 받았습니다.,1
25,아버지는 방금 새 차를 샀어요.,축하하기 위해 우리는 모두 차를 타고 갔습니다.,다른 차가 스톱 표지판을 지나가 우리를 치고,창문을 뚫을 정도로 강하게 쳤어요,"난 밖으로 올라왔고, 나랑 아빠는 괜찮았어.",우리 둘 다 차에 겨 쓰러졌어요,1
26,내 조카는 '냉면' 영화를 좋아해요,항상 입으라고 하잖아,노래 부르며 집 주위를 돌아다니고,그녀는 소리 지르는 걸 좋아해,그녀는 그것을 반복해서 노래합니다.,그녀는 스포츠를 좋아하고 공주같은 걸 싫어해요,1
27,알렉스는 2점으로 팀의 지점을 잃으면서 코트에서 뛰고 있었습니다.,"그는 점수판을 한눈에 보았고, 남은 시간은 5초밖에 남지 않았다는 것을 알았습니다.",그의 마음은 열릴 사람을 찾으려고 노력하면서 달려갔습니다.,수비수들은 그의 팀 동료들에게 붙어 있었다.,그 소리가 울려서 그의 팀이 경기를 이겼습니다.,3점포를 시도했지만 어,2
28,도서관에 와서 앉았다.,"주변을 둘러보았을 때, 한 아이를 봤어요.",그는 잠시 동안 나를 쳐다보았다.,저는 좌절을 느끼고 좌석에서 일어났습니다.,그 아이가 뭘 하고 있는지 신경 쓰지 않았어,난 그에게 무슨 문제가 있는지 물었어요.,2
29,이바와 브랜트는 아이를 낳으려고 했어요,그들은 6개월 동안 시도했지만 성공하지 못했습니다.,"의사 의 진료 에 참석 한 후 에, 그 들 은 낙담 을 표명 하였다.",하지만 그 의사의 얼굴에는 큰 미소가 돋아나 있었습니다.,브랜트는 아이를 납치할 계획을 취소할 거야,부부는 그들이 아이를 낳았다는 것을 알고 기뻐할 것입니다.,2
30,캐서린은 항상 컬링에 흥미를 가지고 있었습니다.,캐서린은 TV에서 운동선수들이 경기를 하는 것을 보는 것을 좋아합니다.,어느 날 캐서린은 컬링 연습을 방문하기로 결심했습니다.,"연습 중에, 한 운동선수가 캐서린을 놀러오라고 초대했습니다.","캐서린은 매일 연습을 시작했고, 아주 잘 해냈어요.",캐서린은 컬링이 지루하다고 생각했어요,1
31,프란시스는 운전을 배우기를 항상 고대했습니다.,마침내 그는 운전 면허증을 받을 수 있을 만큼 나이가 들어갔다.,프란시스는 면허를 받기 위해 열심히 공부합니다.,그는 운전 시험에 쉽게 합격했다.,프란시스는 그의 업적을 자랑스럽게 생각합니다.,프란시스는 대중교통을 이용하기로 결정했습니다.,1
32,어제 난 '나트크래커'를 보고 정말 즐거웠어,정말 좋아했어요,무대에 춤추는 사람들이 무대를 장식하는 모습은 아름다웠습니다.,공연을 보고 영광스럽게 느꼈습니다.,다시는 보지 않겠다고 맹세했지,다시 보고 싶었어요,2
33,저는 아침 8시 30분에 수업을 하기 위해 일어났습니다.,나는 졸음으로 침대에서 일어나 샤워를 했다.,"나는 급히 아침을 먹었고, 수업으로 걸어갔다.",50분간의 수업이 끝나고 저는 다시 숙소로 걸어갔습니다.,다시 수업에 가기로 결심했습니다.,"거기 도착했을 때, 저는 낮잠을 잤습니다.",2
34,게리는 리사의 관심을 끌고 싶어했어요,어느 날 리사에게 시를 쓰기로 결심합니다.,다음날 학교로 가리 가 왔을 때 리사는 복도에서,게리는 리사에게 아주 큰 미소를 짓고 시를 건네줍니다.,"게리는 리사를 강하게 치고, 그리고 떠났다.",리사는 게리한테도 애착이 있다고 고백했어요,2
35,카를로스는 항상 프랑스를 방문하고 싶어했습니다.,그는 떠나기 전에 프랑스어를 배워야 한다고 결정한다.,그는 야간 수업에 등록하고 열심히 공부합니다.,마침내 카를로스는 프랑스어를 꽤 잘 할 수 있게 됐어.,카를로스는 호주로 가는 비행기를 예약했어,카를로스는 파리 여행에서 프랑스어를 최대한 활용한다.,2
36,라르스는 항상 사진 촬영을 해보고 싶었어요.,그의 친구는 훌륭한 사진작가였지만 그는 시도 한 적이 없었다.,어느 날 그는 단순하지만 고품질의 카메라를 샀습니다.,그 날부터 라르스는 매일 자연의 사진을 찍었습니다.,라르스는 사진에 빠져들었습니다.,라르스는 사진 찍는 걸 싫어했지,1
37,전자기기 가게에서 텔레비전을 샀어요.,고화질의 화면을 보여주는 대형 플래트스크린입니다.,직원이 보증금을 사달라고 설득했어요,일주일 후 텔레비전 이 벽 에서 떨어지고 부서졌습니다.,보증금으로 고쳐줄 수 있었습니다.,그 직원은 나중에 죽은 채로 발견되었습니다.,1
38,라이언은 공원에서 있었어요,그리고 그는 작은 소녀가 풍선을 들고 있는 것을 보았습니다.,공원을 떠나면서 나무에 붙어있는 똑같은 풍선을 봤습니다.,그는 풍선을 되찾기 위해 나무에 올라갔다.,라이언이 의도적으로 풍선을 터뜨렸어요,라이언은 그 여자를 찾아서 그녀가 잃어버린 풍선을 줬어요.,2
39,제인의 매니저는 그녀가 자기소개서를 올려야 한다고 말했습니다.,그녀는 자기소개서가 제대로 포맷되지 않았다는 걸 깨달았어요.,그녀는 모든 내용을 적절한 템플릿으로 옮겼습니다.,그녀는 자기소개서를 업데이트하면서 최근 직장에 대한 정보를 추가했습니다.,그리고는 매니저에게 보냈습니다.,제인은 식기 세척을 싫어했어요.,1
40,닐은 페즈 시를 둘러보고 있었습니다.,그는 그들의 민족 요리를 맛봤습니다.,그리고는 기념품 사러 갔어요,페즈에는 훌륭한 거리 공연자도 있었다고 그는 언급했습니다.,닐은 정말 재밌었어요,닐과 페즈는 절친이 됐어요,1
41,내 개를 산책시켜야 했어,내 동네는 리스를 필요로 해요,집 안을 뒤져봤는데,찾을 수 없었어요,저는 제 개를 뒷마당으로 데리고 가기로 했습니다.,나는 내 개가 집에 들어가도록 내버려 두었다.,1
42,밝고 따뜻한 날이었죠.,그래서 조는 산책하는 게 좋을 것 같았어요,그는 그의 지역 커피숍으로 걸어 가기로 결정했습니다.,하지만 중간쯤에 그는 피곤해지기 시작했습니다.,그래서 그는 커피숍으로 달려갔습니다.,조가 밖에 나간 걸 후회하고,2
43,젠은 하루종일 패키지를 기다리고 있었어요,마침내 그녀는 UPS 직원이 문으로 걸어오는 것을 보았습니다.,그가 패키지를 배달하고 그녀가 그것을 안으로 가져왔다.,그녀는 칼로 패키지를 열었습니다.,그 상자 안에는 신생아 한 아이가 있었습니다.,젠은 새 코트를 패키지 안에 발견했어요,2
44,프랭크는 숙제를 하고 싶지 않았다.,비디오 게임을 하고 싶어서요,프랭크의 부모님은 먼저 숙제를 하라고 했어요.,프랭크는 분노를 일으켰고 처벌받았어요,프랭크는 일주일 동안 비디오 게임을 잃었습니다.,프랭크는 완전히 새로운 게임을 얻었다,1
45,티미는 학교에서 3점대회에 참가하고 있었습니다.,우승자는 대학 장학금 1천 달러를 받을 수 있습니다.,티미는 주말 내내 3포인터 샷 연습을 했지,그는 대회가 시작될 때 준비가 되어 있었다.,티미가 우승을 했다,티미는 대회날 경기장에 갔어,1
46,드레이크는 금요일 파티에 참석했어요,그는 그의 지갑이 그의 코트에서 도난 당한 것을 발견했다.,드레이크는 즉시 경찰을 불렀지만 지갑은 발견되지 않았습니다.,드레이크는 파티의 호스트에게 이 문제에 대해 이야기했습니다.,그리고 호스트는 그에게도 몰랐다고 말했습니다.,드레이크는 호스트에게 다시 파티에 참석하고 싶다고 말했죠,1
47,밥은 트럭 타이어가 펑크된 것을 발견했다.,그는 이전에는 타이어를 바꾸지 않았습니다.,그는 타이어 잭과 철을 꺼냈어.,볼트를 빼내지 못했어요,밥은 누군가에게 고장난 타이어를 고쳐줄 사람을 불렀습니다.,밥은 트럭을 타고 시장으로 갔다.,1
48,잭은 태블릿 컴퓨터로 이메일을 쓰는 것에 지쳤다.,그는 노트북에 투자해야 한다고 결정했습니다.,그는 완벽한 노트북을 찾을 때까지 여러 노트북을 연구합니다.,마침내 그는 그것을 샀습니다.,이제 잭은 이메일을 답장하는 걸 좋아해요,잭은 이제 이메일 대신 우편 서비스를 이용한다.,1
49,제이크의 머리카락이 너무 길어졌어요,그는 곧 취업 면접을 할 예정이었죠.,그는 어머니에게 머리를 자르라고 부탁했다.,그의 어머니는 그에게 잘 잘라낸 전문적인 헤어스타일을 줬습니다.,제이크는 손을 씻었다.,제이크가 일을 받았어,2
50,이 오늘 왔어,"샘,, 그리고 난 게임을 했지",그들은 내가 얼마나 나쁜지 화가 나기 시작했습니다.,더 나아질 때까지는 더 이상 놀 수 없다고 했어요,정말 상처받았어요,정말 기뻤어요,1
51,사라가 카드를 보내고 싶어서,우체국에 갔어요,우표에 돈을 지불했어요,그녀는 편지를 봉투에 넣었다.,사라가 직접 편지를 배달했어,사라의 편지는 곧 목적지에 도착했습니다.,2
52,척은 일하다가 피곤했어요,그는 잠시 동안 그의 일을 닫았습니다.,그는 동료들과 대화하기 위해 포럼을 열었습니다.,그 나쁜 조르타르 공격들 후에 그는 이 휴식을 필요로 했다.,척은 직장을 그만두기로 결정했습니다.,그 후 그는 다시 일하러 가야 한다고 느꼈습니다.,2
53,밥은 쇼핑을 하기 위해 플라스틱 식료품 가방을 사용했습니다.,그러다 친구한테 플라스틱이 환경에 해롭다고 말했어요.,밥은 플라스틱 봉지를 포기하기로 결정했습니다.,밥은 재사용 가능한 식료품 가방에 투자했습니다.,밥은 재사용 가능한 식료품 가방으로 쇼핑을 했습니다.,밥은 계속 플라스틱 가방을 이용해 쇼핑을 했습니다.,1
54,조는 프로젝트를 위해 자기 초상화를 찍어야 했어요,그는 몇 명의 지역 예술가에게 전화해서 그들의 가격을 물었습니다.,한 아티스트가 합리적인 가격을 내줬어요,조가 그 예술가와 초상화를 찍을 약속을 했지,조는 그 결과에 매우 만족했습니다.,그 예술가 는 조 의 고양이 를 그렸다.,1
55,앤은 담배를 끊으려고 했어요.,그녀는 여러 번 시도했지만 항상 실패했습니다.,그러다 니코틴 패치를 쓰게 됐어요,그리고 그녀가 그렇게 하도록 도와줬어요!,'앤'은 매일 담배를 두 배로 피웠다.,안 은 담배 를 끊는 데 성공 하였다.,2
56,제인은 여름 동안 이모 집에 보내졌어,그녀는 여름 내내 지역 도서관에서 멀리 떨어져 있다는 생각을 싫어했습니다.,"그녀는 몇 권의 책을 가지고 갔지만, 그 책들을 빨리 다 읽었습니다.",그녀가 도착했을 때 그녀의 이모는 그녀를 그녀의 집에서 특별한 방으로 데려갔습니다.,제인은 책들이 벽난로에서 불타는 걸 봤어요,방은 소녀들에게 매력적인 책들로 가득 차 있었습니다.,2
57,어제 롭이 치아 청소를 했지,그는 보통 치과 의사들을 정말 무서워해요.,하지만 사무실에 새 귀여운 간호사가 있어요,그래서 그는 갈 수 있다는 것에 흥분했습니다.,롭은 대장경 검사를 받은 후 기분이 좋아졌어요,로브는 그 날 귀여운 간호사가 없어서 실망했어요,2
58,조는 흙을 먹는 걸 좋아했지,그는 기회가 있을 때마다 진흙 파이를 만들곤 했어요.,그는 입에 매우 단단한 무언가를 느꼈을 때 그는 파이를 먹고 있었다.,조는 돌을 물어서 치아를 뜯어냈어요,조는 더 많은 돌을 씹고 싶어했다.,조는 더 이상 흙을 먹지 않기로 결심했습니다.,2
59,롭은 롤러코스터에 올라본 적 없어,롭의 친구들은 그에게 6대 국기 공연의 무료 티켓을 제공했습니다.,롭은 합류해도 되겠다고 결정했어요,모두 가서 긴 줄을 서서 기다렸어요.,롭은 관대한 친구들을 가지고 있었어요.,롭의 친구들은 무분별했어요,1
60,카리는 샘이 전화할 때까지 기다렸어요,금요일 약속했지,그것은 이제 토요일 늦었고 그녀는 아무것도 듣지 않았다.,마침내 그녀는 그에게 전화하기로 결정했습니다.,샘이 전화를 들어줬어요,카리는 전화로 외식을 주문했어요,1
61,에이미는 생일날 학교에서 집에 왔는데 빈집이 있었어요.,그녀는 모든 사람들이 그녀의 특별한 날을 잊었기 때문에 화가 나있었습니다.,그녀는 슬프게 거실에 들어갔다.,갑자기 그녀의 친구들과 가족들이 숨은 곳에서 뛰어 나왔어요.,에이미는 기뻐서 미소 짓고,에이미는 방을 나와서 집을 떠났다.,1
62,이 아무 이유 없이 날 때려봤어,"화가 난 채로, 저는 그저 그녀의 펀치를 옹호했습니다.",그녀는 계속 저를 주먹으로 때렸습니다.,"그녀를 막기 위해, 나는 그녀를 땅에 던졌다.",마침내 판이 멈췄어요.,팬을 크게 안아줬어요,1
63,베키의 사촌은 애슐리라고 합니다.,베키와 애슐리는 어렸을 때 친구였어,애슐리는 자라면서 바보가 되기 시작했어요.,한 달러짜리 가게에서 탐폰을 훔친 죄로 감옥에 갔어요,베키가 연락을 끊었지,베키는 애슐리를 자랑스러워해요,1
64,팸과 톰의 아이는 가벼운 잠이 잤습니다.,그들의 무분별한 이웃은 종종 하루 종일 짖는 개를 밖에 두고 나갔다.,팸이 아기를 잠들게 할 때마다 개는 짖기 시작했어요.,팸은 개에게 을 놓아주며 도망가도록 꾸미고 있었어요.,"어느 날 밤, 팸은 고양이들을 집에 들여놓았습니다.","어느 날 밤, 팸은 개들을 풀어보기로 결심했습니다.",2
65,메이는 프레도니아의 대학에 입학했어요,그녀는 새 학교에 버스를 타고 갔다.,그녀는 캠퍼스를 탐험했습니다.,그녀는 본 모든 것을 사랑했습니다.,학교를 중퇴했어요,그녀는 심지어 모든 교수들을 좋아했습니다.,2
66,메리는 치아를 뽑아야 했다.,그녀는 치과의사가 그녀를 잠들게 해달라고 원했습니다.,그는 노보카인을 투여해서 그 부위를 마비시켰을 뿐이에요.,메리는 공포로 그를 쳐다 보았다.,그 치과 의사는 그 여자 의 표정 을 보고 그 여자 를 도울 수 있었습니다.,메리는 치과의사를 아주 좋은 기분으로 떠났다.,1
67,포드는 그의 높은 GPA를 자랑스러워했습니다.,그는 그것을 개선하기 위해 매일 저녁에 과제를 수행했습니다.,포드의 친구들은 그가 재미를 놓치고 있다고 경고했습니다.,나중에 포드는 성공적인 변호사가 되었습니다.,포드는 그가 많은 것을 이룬 것에 대해 슬퍼했습니다.,포드는 그의 업적을 자랑스러워했습니다.,2
68,내 아내는 내가 열정이 없다고 말한다.,제가 취미나 관심사가 별로 없다는 것,논쟁을 하려고 했지만 못했어요,그녀가 옳았다는 걸 깨달았어요.,저는 변하기로 결심했습니다.,난 미혼이야,1
69,니나는 좋은 할로윈 의상을 원했어요,하지만 그녀는 고급스러운 것을 살 수 없었습니다.,그녀는 아이디어를 위해 그녀의 집을 뒤져 보았다.,그리고는 멋진 의상을 무료로 샀어요.,니나는 장난감을 샀어,니나는 흥분했어요,2
70,베로니카는 숲에서 산책을 좋아했다.,어느 날 그녀는 길을 따라 나무집을 발견했어요.,그녀는 사다리를 올라와 집에 있는 모든 물건에 놀랐다.,그것은 가구와 담요로 완전히 꾸며져 있었다.,베로니카는 나무집을 별로 좋아하지 않았어.,베로니카는 나무집을 더 자주 방문하기로 결심합니다.,2
71,3월 초에 봄의 아름다운 날이었습니다.,트레이시는 집 뒤의 숲으로 산책하기로 결심했습니다.,그녀는 나무에 나무를 찾아하기 시작했다.,그녀는 뿌리에 걸려서 길 위에 떨어졌다.,트레이시는 집으로 돌아갔습니다.,트레이시는 추락을 무시했습니다.,2
72,밥은 정말 목이 목마르고 소다를 원했어요.,"불행하게도, 그는 돈이 없었습니다.","밥은 주유소에 들어갔고, 소다를 마실 수 있는지 물었다.",현금관리자는 그에게 돈이 있는지 물었다.,그는 거절하고 주유소를 떠났습니다.,그는 달리기로 결심했다.,1
73,짐이 공항에서 기다리고 있었어요.,그의 아내는 한 시간 안에 거기 있을거야,그는 매우 지루했습니다.,그는 그 책을 다시 읽기로 결심했습니다.,짐은 한 시간 후에 아내를 보았다.,짐은 아내가 오기 전에 차로 가버렸어,1
74,조는 정말 컬럼비아 대학에 가고 싶어했어요,학교에서 열심히 공부했고 축구팀에 참가했지,대기 명단에 올랐어요,실망했음에도 불구하고 끝까지 최선을 다했습니다.,조는 여전히 열심히 일한 것에 매우 자랑스러워했습니다.,조는 대학에 가고 싶지 않다고 결정했습니다.,1
75,지나의 친구 타미는 다른 사람이 가져가기를 원하지 않는 폴더를 가지고 있었습니다.,지나는 하나 원했지만 어디서 살지 몰랐어요.,이제 타미는 새로운 리사 프랭크 트래퍼 키퍼를 갖게 됐어요,지나도 한 개를 원해서 질투했지,지나는 이베이에서 구매할 수 있는 것을 찾아냈어요.,지나는 마당을 다 자르고 아무도 도와주지 않았어,1
76,레아는 집에서 아름다운 크리스마스 트리를 가지고 있었다.,"어느 날, 그녀는 가게로 갔어요.","그녀가 돌아왔을 때, 그 나무는 쓰러졌습니다.",그녀의 고양이가 올라와서 내려왔어요!,레아는 바닥에 있는 나무가 서 있는 것보다 더 좋아한다고 생각했어요.,레아는 고양이를 징벌했다.,2
77,피터는 몇 년 동안 같은 의자를 사용했습니다.,점점 낡아지고 있었습니다.,그는 새롭고 더 편안한 의자를 사기로 결심했다.,"그 물건이 도착했을 때, 피터는 매우 행복했습니다.",피터는 이 차는 옛날 차보다 더 편안할 것 같다고 생각했어요.,피터는 개에게 의자를 사용하게 해줬어요.,1
78,렉스는 오늘 밤 파티를 준비하고 있어,그는 손님들이 치즈와 함께 먹을 수 있는 것을 준비하지 않았다는 것을 깨달았습니다.,렉스는 바게트를 가져오러 나갔어,그는 그것을 얇은 썰매로 잘라서 쉽게 먹을 수 있게 합니다.,렉스는 바다를 건너 긴 여정을 떠났어,모두가 치즈와 빵을 즐겼다.,2
79,알리는 매일 기차로 일하러 간다.,"어느 날, 그녀는 매우 아프지만 여전히 일하러 갔습니다.",하루종일 열심히 일했고 심지어는 일을 집에 가져갔어요.,그녀는 기차에 올라 잠들었다.,그녀는 게으른 직원이었습니다.,그녀는 정차를 놓쳤고 집으로 버스를 타야 했습니다.,2
80,축구팀은 시즌 내내 열심히 일했습니다.,그들은 모든 경기에서 승리하고 챔피언십에 진출했습니다.,"시계가 몇 초밖에 남지 않았는데, 경기는 동률이 됐어요.",쿼터백이 긴 패스를 하고 리시버가 득점을 했다.,군중들은 팀에 큰 소리를 내며 호소했다.,청중 들 은 모두 의자 에서 일어나서 격렬 한 박수 를 치렀다.,2
81,우리는 고층 건물에 살고 있습니다.,"어느 날, 건물의 높이에 따라 바람이 강했습니다.",바람이 나무 가지들을 날려 내 아내는 잠을 잘 수 없었다.,바람이 인터넷 케이블을 부수기도 했습니다.,제 아내와 저는 인터넷 연결이 끊어졌다는 것에 매우 불행했습니다.,우리는 강한 바람과 수면 부족을 좋아했습니다.,1
82,케이트는 컴퓨터에 새로운 키보드를 사려고 했다.,그녀는 좋은 키보드를 살 수 있도록 몇 달 동안 돈을 저축했습니다.,케이트가 드디어 온라인에 접속해서 키보드를 주문했어요!,그 여인은 그 의 도착 을 며칠 동안 흥분 하게 기다렸다.,그리고 그녀는 주문을 취소했습니다.,그 다음엔 그녀의 키보드가 우편으로 도착했습니다.,2
83,존은 대학을 졸업하고 일자리를 찾기 시작했습니다.,그는 매일 자신의 분야에서 일자리를 신청했습니다.,"그가 일을 시작한지 3주 후에, 그는 전화를 받았습니다.",전화한 사람은 인터뷰에 관심이 있는지 물었다.,존은 받아들였다,존은 제안을 거절했습니다.,1
