,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
19,Mali dječak je bio u trećem razredu.,"Bio je vrlo pametan, ali se borio s čitanjem.","Kad god bi glasno čitao, njegovi su mu se školski drugovi smijali.",Počeo je vježbati čitanje svaki dan.,Mali dječak je prihvatio da se nikada neće poboljšati.,"Na kraju godine, dobro je prošao test čitanja.",2
20,Rosie je u razredu ima malu zabavu.,Odlučila je napraviti voćnu salatu za sve.,Potrošila je puno novca na voće i puno vremena na njegovu pripremu.,Na dan zabave je pokupila veliku zdjelu voćne salate.,Rosie je u razredu dijelila voćnu salatu.,Rosie je držala zdjelu voćne salate u svom frižideru kod kuće.,1
21,Kelly je bila sretna što ima novi telefon.,Svuda je nosila.,"Nažalost, ona ga je razbila.","Srećom, ipak je uspjela da je popravi.",Prodavaonica joj je dala poštenu cijenu da je popravi.,Kelly je kupila novi telefon.,1
22,"Dok sam bila na faksu, upoznala sam starijeg čovjeka.","Ja sam imala 22 godine, a on 38.",Imali smo dobro razumijevanje i imali dobar provod zajedno.,Bili smo zajedno sve vrijeme dok sam bio tamo.,Imam lijepa sjećanja na to vrijeme.,Imam negativne uspomene iz tog vremena.,1
23,Bob je htio biti u školskoj predstavi.,Pažljivo je proučavao ulogu.,Često je vježbao svoje rečenice.,"Na dan audicije, on je napravio veliki posao.",Bob je bio vrlo ponosan.,Bob se jako stidilo.,1
24,Jackie je imenovana za čuvarku u osmom razredu.,Ona je zavidna u cijelom razredu.,Kolege iz razreda često su joj ugrožavali posao.,Ukrali bi Jackiejeve propusnice.,Ravnatelj je suspendirao njene bučne kolege.,Njeni su školski drugovi dobili nagrade za svoje ponašanje.,1
25,Moj tata je upravo dobio novi auto.,"Da proslavimo, svi smo otišli u vožnju.","Drugi auto je prošao znak ""stop"" i udario u nas.",Udario sam dovoljno jako da ga razbijem.,Izašao sam i ja i moj tata bili smo u redu.,Oboje smo bili sravnjeni sa vozilom.,1
26,"Moja nećakinja voli film ""Zamrznut"".",Uvijek želi da je obuče.,Ona ide okolo po kući pjevajući.,Ona voli vikati pusti to.,Ona je pjeva opet i opet.,Ona voli sport i mrzi princeze stvari.,1
27,"Alex je dribljao na terenu, a njegov tim je izgubio dva boda.",Pogledao je na tablu rezultata i vidio da je ostalo samo 5 sekundi.,Um mu je trčao dok je pokušavao pronaći otvorenog čovjeka.,Branili su se za njegove kolege kao ljepilo.,Zvonilo je zazvonilo i njegov tim je pobijedio.,Pokušao je treći bod i promašio.,2
28,Ušao sam u knjižnicu i sjedio.,"Kada sam pogledao okolo, primijetio sam dijete.",Neko vrijeme je buljio u mene.,Postao sam frustriran i ustao s mjesta.,Nije me bilo briga što je klinac radio.,Pitao sam ga što mu je problem.,2
29,Iva i Brant su pokušavali zatrudnjeti.,Pokušavali su šest mjeseci bez uspjeha.,Na posjetu liječniku izrazili su obeshrabrenje.,Ali onda su vidjeli da se doktor široko smije.,Brant će otkazati svoje planove otmice djeteta.,Par će biti sretan kad sazna da čekaju bebu.,2
30,Catherine je oduvijek bila zainteresirana za sport karling.,Catherine voli gledati sportaše kako igraju na televiziji.,"Jednog dana, Catherine je odlučila da posjeti trening za curling.","Na treningu, jedan od sportaša pozvao je Catherine da igra.",Catherine je tada počela vježbati svaki dan i postala je dobra u tome.,Catherine je mislila da je curling dosadan.,1
31,Francis je oduvijek jedva čekao da nauči voziti.,Konačno je dovoljno star da dobije vozačku dozvolu.,Francis se jako uči da bi dobio dozvolu.,Lako je položio vozački ispit.,Francis je stvarno ponosan na svoje postignuće.,Francis odluči da bi radije koristio javni prijevoz.,1
32,Jučer sam se super zabavio gledajući Krčkača oraha.,Apsolutno mi se svidjelo.,Dok su plesači ukrašili pozornicu bilo je prekrasno.,Čast mi je što sam vidjela predstavu.,Zakleo sam se da ga više nikad neću vidjeti.,Htjela sam ga opet vidjeti.,2
33,Probudio sam se za svoj sat u 8:30 ujutro.,Sanjarno sam ustao iz kreveta i uzeo tuš.,Brzo sam doručkovala i krenula u nastavu.,"Nakon 50 minuta nastave, počeo sam hodati natrag u svoj dom.",Odlučio sam se vratiti u razred.,"Kad sam stigao, malo sam odspavao.",2
34,Gary je htio privući Lisinu pozornost.,Jednog dana odluči napisati Lisama pjesmu.,"Sljedećeg dana u školi, Gary vidi Lisu u hodniku.",Gary se nasmije Lizi i predaje joj pjesmu.,Gary je napao Lisu i otišao.,Lisa priznaje da je i ona zaljubljena u Garyja.,2
35,Carlos je oduvijek želio posjetiti Francusku.,Odlučio je da prije nego ode treba naučiti francuski.,Prijavljuje se na večernju nastavu i naporno uči.,Carlos konačno govori francuski prilično dobro.,Carlos je rezervirao let za Australiju.,Carlos najbolje koristi svoj francuski na putovanju u Pariz.,2
36,Lars je oduvijek želio probati fotografiju.,"Njegov prijatelj je bio izvrstan fotograf, ali nikada nije pokušao.","Jednog dana kupio je jednostavnu, ali visokokvalitetnu kameru.","Od tog dana, Lars je snimao prirodu svaki dan.",Lars se zaljubio u fotografiju.,Lars je mrzio fotografiju.,1
37,Kupio sam televiziju u trgovini elektronike.,To je veliki ravni ekran s slikom visoke kvalitete.,Zaposlenik me uvjerio da kupim garanciju za njega za svaki slučaj.,"Tjedan dana kasnije, televizor mi je pao s zida i pokvario se.",Uspio sam da ga popravim uz garanciju.,Zaposlenik je kasnije pronađen mrtav.,1
38,Ryan je bio u parku.,I vidio je djevojčicu koja je držala balon.,"Kad je napuštao park, vidio je isti balon zaglavljen u drvetu.",Popeo se na drvo da bi uzeo balon.,Ryan je onda namjerno popnuo balon.,Ryan je onda pronašao djevojku i dao joj balon koji je izgubila.,2
39,Jenin menadžer joj je rekao da mora da pošalje svoj životopis.,Shvatila je da njen životopis nije pravilno oblikovan.,Prebacila je sav sadržaj na pravi šablon.,"Dodala je informacije o svom posljednjem poslu, ažurirala je životopis.",Onda je poslala menadžeru.,Jen je mrzila pranje posuđa.,1
40,Neil je obilazio grad Fez.,Probao je njihovu etničku kuhinju.,Onda je otišao u kupovinu suvenira.,"Fez je također imao sjajne ulične izvođače, primjetio je.",Neil se sjajno zabavio.,Neil i Fez su postali najbolji prijatelji.,1
41,Morao sam psu da se prošetam.,Moj susjed zahtijeva uzorak.,Tražio sam u kući uže.,Nisam ga mogao naći.,Odlučio sam odvesti psa u dvorište.,Pustio sam psa u kuću.,1
42,"Bio je to svijetli, topli dan.",Joe je mislio da bi bilo lijepo da se prošetamo.,Odlučio je da ode do lokalne kafiće.,"Ali na pola puta, počeo je biti umoran.",Pa je pobjegao u kafić.,Joe žali što je izašao.,2
43,Jen je čekala paket cijeli dan.,Konačno je vidjela UPS čovjeka kako prilazi vratima.,"On je dostavio paket, a ona ga je donijela unutra.",Otvorila je paket nožem.,U kutiji je bila novorođena beba.,Jen je našla svoj novi kaput u paketu.,2
44,Frank nije htio raditi domaći.,Htio je igrati video igre umjesto toga.,Frankovi roditelji su mu rekli da prvo uradi domaći.,Frank je imao napad bijesa i kažnjen je.,Frank je izgubio svoje video igre na tjedan dana.,Frank je dobio potpuno novu igru.,1
45,Timmy se natjecao u trostrukom natjecanju u svojoj školi.,Pobjednik će dobiti šansu za stipendiju od 1000 dolara.,Timmy je vježbao pucanje 3 pokazatelja cijeli vikend.,Bio je spreman kad je došao dan natjecanja.,Timmy je pobijedio na natjecanju.,Timmy je otišao na teren za vožnju na dan natjecanja.,1
46,Drake je bio na zabavi u petak.,Otkrio je da mu je novčanik ukraden iz jakne.,"Drake je odmah pozvao policiju, ali novčanik nije pronađen.",Drake se suočio sa domaćinom zabave oko tog pitanja.,I domaćin mu je rekao da ni on ne zna.,Drake je rekao domaćinu da želi opet prisustvovati njegovim zabavama.,1
47,Bob je otkrio da mu je kamion imao puklu gumu.,Nikad prije nije mijenjao gumu.,Izvukao je krak i gume.,Nije mogao da skine vijke.,Bob je pozvao nekoga da mu popravi puklu gumu.,Bob je vozio svoj kamion na tržnicu.,1
48,Jack je umoran od pisanja e-mailova na svom tabletu.,Odlučio je da treba uložiti u laptop.,Pretražuje različite laptopove dok ne nađe savršenog.,Konačno ga kupi.,Sada Jack zapravo uživa u odgovaranju na e-mailove.,Jack sada koristi poštansku uslugu umjesto e-pošte.,1
49,Jakeova kosa je postala malo preduga.,Imao je razgovor za posao.,Zamolio je majku da mu skine kosu.,"Majka mu je dala lijepu frizuru, profesionalnu frizuru.",Jake je oprao ruke.,Jake je dobio posao.,2
50,Sean je danas došao.,"Sam, Sean i ja smo se igrali.",Poceli su se ljutiti na mene kako sam loša.,Rekli su da ne mogu više igrati dok mi ne bude bolje.,Bio sam stvarno povrijeđen.,Bio sam stvarno zadovoljan.,1
51,Sarah je htjela poslati čestitku.,Otišla je na poštu.,Platila je marke.,Stavila je pismo u kovertu.,Sarah je dostavljao pismo sama.,Sarahino pismo je uskoro krenulo na odredište.,2
52,Chuck je bio umoran od posla.,Zatvorio je rad na neko vrijeme.,Otvorio je forum da bi razgovarao sa kolegama.,"Nakon tih Zoltarovih napada, trebao je odmor.",Chuck je odlučio dati otkaz.,Onda je osjetio potrebu da se vrati na posao.,2
53,Bob je koristio plastične vreće za kupovinu.,Onda mu je prijatelj rekao da je plastika loša za okoliš.,Bob je odlučio odustati od svojih plastičnih vrećica.,Bob je uložio u neke torbe za ponovni korištenje.,Bob je koristio svoje torbe za kupovinu da bi otišao u kupovinu.,Bob je nastavio koristiti svoje plastične vreće za kupovinu hrane.,1
54,Joe je trebao dobiti portret sebe za projekt.,Nazvao je neke lokalne umjetnike i pitao ih cijene.,Jedan od umjetnika je imao razumne cijene.,Joe je dogovorio sastanak s tim umjetnikom da napravi portret.,Joe je bio vrlo zadovoljan rezultatima.,Umjetnik je naslikao Joeovu mačku.,1
55,Ann je pokušavala prestati pušiti.,"Pokušala je nekoliko puta, ali uvijek je propala.",Onda je primijenila nikotinski flaster da joj pomogne.,I pomogli joj je!,Ann je udvostručila količinu cigareta koje je pušila svaki dan.,Ann je uspješno prestala pušiti.,2
56,Jen je poslana u tetkin dom na ljeto.,Mrzila je pomisao da bude odsutna od svoje lokalne knjižnice cijelo ljeto.,"Uzela je nekoliko knjiga sa sobom, ali ih je brzo prošla.","Kad je stigla, njena je tetka odvela u posebnu sobu u svojoj kući.",Jen je vidjela kako joj knjige gori u kaminu.,Soba je bila puna polica s knjigama koje su privlačile djevojke.,2
57,Jučer je bilo čišćenje Robovih zuba.,On se obično boji zubara.,Ali ima slatka nova sestra u uredu.,Bio je uzbuđen što ide.,Rob se osjecao osveženim nakon kolonoskopije.,Rob je bio razočaran kad slatka sestra nije bila tu.,2
58,Joe je volio jesti zemlju.,On bi napravio blato pite svaki put kad je dobio.,Jeo je pitu kad je osjetio nešto jako teško u ustima.,Joe je ugrizao kamen i izbio zub.,Joe je htio žvakati još kamenja.,Joe je odlučio da više ne jede zemlju.,2
59,Rob nikad nije bio na rollercoasteru.,Robovi prijatelji su mu ponudili besplatnu kartu za Six Flags.,Rob je odlučio da se može pridružiti.,Svi su otišli i čekali u dugom redu.,Rob je imao velikodušne prijatelje.,Robovi prijatelji su bili bezobzirni.,1
60,Carly je čekala Sam da je nazove.,Obećao je u petak.,Sada je kasno u subotu i ona nije ništa čuo.,Konačno je odlučila da ga nazove.,Sam se javio na telefon.,Carly je naručila hranu preko telefona.,1
61,Amy se vratila iz škole na svoj rođendan u praznu kuću.,Bila je uznemirena što su svi zaboravili njen poseban dan.,Ona je ušla u dnevnu sobu.,Odjednom su joj prijatelji i obitelj iskočili iz skrivenih mjesta.,Amy se nasmijala od zadovoljstva.,Amy je izašla iz sobe i napustila kuću.,1
62,Pan me pokušao udariti bez razloga.,"Kako sam bio ljut, jednostavno sam branio njen udarac.",Nastavila je bacati šaku na mene.,"Pokušavši je zaustaviti, bacio sam je na zemlju.",Pan je konačno stao.,Dao sam Pan velik zagrljaj.,1
63,Becky ima rođakinju po imenu Ashley.,Becky i Ashley su bile prijateljice kad su bile klinke.,Ashley je počela biti glupa kad je odrasla.,Otišla je u zatvor jer je ukrala tampone iz trgovine.,Becky je izgubila kontakt s njom.,Becky je ponosna na Ashley.,1
64,Pam i Tomova beba je bila lagana.,Njihov nepromišljeni susjed često je cijeli dan na ulici ostavljao psa da laje.,"Svaki put kad je Pam uspavala bebu, pas je počeo lajati.",Pam je sanjala o oslobađanju psa da bi pobjegao.,"Jedne noći, Pam je pustila svoje mačke u svoj dom.","Jedne noći, Pam je odlučila pustiti pse.",2
65,May je primljena na koledž u Fredoniji.,Otišla je autobusom u novu školu.,Istraživala je kampus.,Volela je sve što je vidjela.,Odustala je od škole.,Čak je voljela sve svoje profesore.,2
66,Mary je morala da izvadi zube.,Htjela je da je zubar uspava.,Sve što je mogao učiniti je da omamljuje područje novokainom.,Mary ga je uplašeno pogledala.,"Nakon što je vidio njen izraz lica, zubar je mogao pomoći Mary.",Mary je otišla od zubara u dobrom raspoloženju.,1
67,Ford je bio ponosan na svoj visok prosjek.,Svaki dan je radio na zadatcima kako bi ga poboljšao.,Fordovi prijatelji su ga upozorili da propušta zabavu.,"Kasnije u životu, Ford je postao uspješan odvjetnik.",Ford je bio tužan što je postigao toliko.,Ford je bio ponosan na svoja postignuća.,2
68,Moja žena kaže da mi nedostaje strast.,Da nemam mnogo hobija ili interesa.,"Pokušao sam raspravljati, ali nisam mogao.",Shvatio sam da je u pravu.,Odlučio sam se promijeniti.,Ja sam neudana.,1
69,Nina je htjela lijep kostim za Noć vještica.,Ali nije mogla priuštiti ništa otmjeno.,Gledao je kroz svoju kuću za ideje.,Onda je našla sjajan kostim besplatno.,Nina je kupila igračku.,Nina je bila uzbuđena.,2
70,Veronika je voljela planinarenje u šumi.,Jednog dana je bila na stazi i našla kuću na drvetu.,Popela se na ljestve i bila je zapanjena svim stvarima u kući.,Bila je potpuno namještena sa namještajem i pokrivačima.,Veroniki se baš i nije svidjela kuća na drvetu.,Veronika odlučuje češće posjećivati kuću na drvetu.,2
71,Bio je prekrasan proljetni dan početkom ožujka.,Tracey je odlučila da ide u šumu iza svoje kuće.,Čula je štakora i počela ga tražiti na drveću.,Sklopila se o korijen i pala na stazu.,Tracey se vratila kući.,Tracey je ignorirala pad.,2
72,Bob je bio jako žedan i htio sok.,"Nažalost, nije imao novca.",Bob je ušao u benzinsku pumpu i pitao može li popiti sok.,Kasijer ga je pitao ima li novca.,Rekao je ne i napustio benzinsku pumpu.,Odlučio je otići trčati.,1
73,Jim je čekao na aerodromu.,Njegova žena će biti tamo za sat vremena.,Bio je jako dosadan.,Onda je odlučio da se vrati svojoj knjizi.,Jim je vidio svoju ženu nakon sat vremena.,Jim je otišao prije nego što se njegova žena pojavila.,1
74,Joe je stvarno želio pohađati Columbia University.,"Bio je naporan u školi, bio je u nogometnoj momčadi.",Stavio sam ga na listu čekanja.,"Iako je bio razočaran, dao je sve od sebe do kraja.",Joe je još uvijek bio ponosan na svoj naporan rad.,Joe je odlučio da ne želi ići na koledž.,1
75,Gina prijateljica Tami je imala fasciklu koju nije htjela da itko drugi ima.,"Gina je htjela jednu, ali nije znala gdje je kupiti.",Sada Tami ima novu Lisa Frank Trapper Keeper.,Gina je bila ljubomorna jer je i ona htjela.,Gina je provjerila na eBay-u i našla jednu koju si može priuštiti.,Gina je kosila cijeli dvorište i nije imala ničije pomoći.,1
76,Leah je imala prekrasno božićno drvce u kući.,Jednog dana je otišla u dućan.,"Kad se vratila, drvo je bilo srušeno.",Njezina mačka je popela na njega i povukla ga dolje!,Leah je odlučila da joj se više sviđa drvo na podu nego stojeći.,Leah je kaznila svoju mačku.,2
77,Peter je godinama koristio istu stolicu.,Postajao je iscrpljen.,"Odlučio je kupiti novu, udobniju stolicu.","Kad je stigao, Peter je bio vrlo sretan.",Peter je mislio da bi mogao biti udobniji od starog.,Peter je dopustio svom psu da koristi stolicu.,1
78,Rex se sprema za zabavu večeras.,Shvaća da nije pripremio ništa za goste da jedu sa sirom.,Rex je otišao po bagetu.,"On ga nareže na tanke, ravne komade kako bi ga bilo lako pojesti.",Rex je otišao na dugo putovanje preko oceana.,Svi su uživali u siru i kruhu.,2
79,Ali uvijek vozi vlak na posao svaki dan.,"Jednog dana bila je jako bolesna, ali ipak je otišla na posao.","Cijeli dan je naporno radila, a čak je i posao ponio kući.",Ušla je u vlak i zaspala.,Bila je lijena zaposlenika.,Propustila je stanicu i morala je da se vrati kući autobusom.,2
80,Nogometni tim je naporno radio cijelu sezonu.,Pobijedili su u svakoj utakmici i došli do prvenstva.,Ostale su samo sekunde na satu i igra je bila izjednačena.,Quarterback je dao dug pas i prijemnik je postigao.,Publika je glasno zavijala ekipi.,Publika je ustala na svoja mjesta i divlje pljesnulo.,2
81,Živimo u visokom zgradi.,"Jednog dana je bio jak vjetar, djelomično zbog visine zgrade.",Vjetar je toliko odvijao grane da moja žena nije mogla spavati.,Vjetar je također srušio internet kabl.,Moja žena i ja smo bili vrlo nesretni što smo izgubili internet vezu.,Voljeli smo jak vjetar i nedostatak sna.,1
82,Kate je htjela kupiti novu tastaturu za svoj kompjuter.,Spakovala je mjesecima da si priušti dobru tastaturu.,Kate je konačno otišla na internet i naručila svoju tastaturu!,Danima je uzbuđeno čekala njegov dolazak.,Onda je otkazala narudžbu.,Onda je njena tastatura stigla poštom.,2
83,Jon je diplomirao na fakultetu i počeo tražiti posao.,Svaki dan je tražio posao u svom području.,"Tri tjedna nakon što je počeo, dobio je poziv.",Osoba koja je zvala pitala je da li bi bio zainteresiran za intervju.,Jon je prihvatio.,Jon je odbio ponudu.,1
84,Julie je voljela čitati sve što je mogla dobiti u ruke.,Većinu vremena provodi u knjižnici.,Njezina omiljena knjižnica je bila u posjedu gđice Watson.,Gđica Watson je vidjela Julienu ljubav prema knjigama i ponudila joj posao.,Julie je rado prihvatila!,Julie je udarila prijatelja u oko.,1
85,Amyina obitelj je išla u Six Flags.,Ona je strpljivo sjedila u autu čekajući da stigne.,"Kad su stigli, ona je sjedila na koljenima i promatrala park.",Čekala je sat vremena u redu da bi se vozila na najvećem roller coasteru.,Amy je bila uzbuđena što je u parku.,Amy je mislila da je park dosadan.,1
86,Steve je žurio na utakmicu.,"Na autocesti, Steve je vozio svoj auto vrlo brzo.",Patrola je zaustavila Steveov auto.,Policajac je Steveu napisao kaznu zbog brze vožnje.,Steve je bio zadovoljan.,Steve je bio uznemiren.,2
87,Moja kći je otišla na prvu rođendansku zabavu za prijatelja.,Bila je tako uzbuđena što je vodila na zabavu.,Cijeli tjedan nije pričala o ničemu drugom.,Otišla je na zabavu i uživala.,Odlučila je da više nikad ne ide na zabave.,"Kad je došla kući, odmah je zaspala, iscrpljena.",2
88,Bob je trebao novac za hranu.,Bio je tužan što nije mogao jesti jer nije imao novca.,Odlučio je napisati knjigu o svom teškom životu.,Ljudi su odmah pohvalili knjigu i kupili tisuće primjeraka!,Dobit od prodaje knjiga dala je Bobu dovoljno novca za hranu.,Reakcija javnosti na knjigu znači da Bob i dalje gladuje.,1
89,Danas sam završio svoj prvi maraton.,Bilo je oko šest milja i ja sam radio stvarno teško.,Trenirao sam za to oko tri mjeseca.,To je uvijek bio na mojoj listi za učiniti u životu,Nikad nisam bio sretniji.,Stvarno sam razočaran u sebe.,1
90,Bobby je savili svoj voćni kolač u oblik aviona.,Povukao je ruku i bacio avion što je jače mogao.,"Ali, bilo je previše teško i palo je kao cigla.",Bobby je odlučio da avioni moraju biti od papira.,Bobby je imao pet godina.,Bobby je imao 35 godina.,1
91,Sam je gledao zvijezde jedne noći.,Odjednom je sjedio u uspravnom položaju.,Vidio je blještavu zvijezdu u pokretu!,Trčao je da to pokaže svom ocu.,Njegov otac se smijao jer je zvijezda bila zapravo mlažnjak s svjetlima.,Samov otac je bio sretan što se njegov sin zanima za geologiju.,1
92,John i Meg su se viđali pet godina.,John je volio Meg i htio ju je oženiti.,"Odlučio je da je zaprosi večeras, nakon izlaska u kino.","Kad su izašli iz kina, on je odjednom pao na koljena.",Počeo je vikati opscenosti na Meg.,Zamolio ju je da se uda za njega.,2
93,Lijepa hrpa banana koja visi izvan dosega.,"Bobby je pokušao baciti cipela, ali se zaglavila.","Pokušao se popeti na drvo, ali je pao.","Zatim je bijesno udario koplom, ali je bio prekratak da bi ga dosegnuo.",Bobby je bio uzrujan što je dobio banane.,Bobby je otišao u šupu po ljestve da donese banane.,2
94,Beth se oporavljala od bolesti.,Nakon 4 dana konačno je mogla jesti.,"Iako je bila bolja, nije bila dobro.",Odlučila je uzeti petak slobodan od škole i uzeti vremena za iscjeljivanje.,Beth je trebala odmoriti.,Beth je igrala nogomet u svoj slobodni petak.,1
95,Rhonda je kupila nove ružičaste čarape.,Voljela ih je.,"Kad ih je skinuo, međutim, pomiješali su se s drugim rubljem.","Na dan pranja, ona je prala odjeću bez razvrstavanja.",Rhonda je odlučila da ruča i da odgovara na e-mailove.,"Nažalost, oni su uništeni i Rhonda je morala kupiti novi par.",2
96,More je bilo zastrašujuće za vrijeme oluje.,Marcus je mrzio način na koji je brod digao i srušio.,Bilo mu je muka od njega.,"Zakrcao se u svoju kabinu i zatvorio oči, ali to nije pomoglo.",Marcus je bio toliko uzbuđen da je počeo plesati.,Marcus je povratio od morske bolesti.,2
97,Jučer je Anna odlučila odspavati.,Udobno je sjedila u stolicu i zatvorila oči.,"Baš kad je zaspala, njenom je ćerku u krilu skočio štene!",Bila je vrlo iznenađena.,"Zagrlila se sa slatkim štenećem, sretna što ga vidi.",Mačić je bio jako sladak.,1
98,Chuck voli ovaj bar kod kuće.,On tamo ide cijelo vrijeme s prijateljima.,Jednog dana je bio na putu tamo i primijetio da je zatvoreno.,Izgubili su ga.,Chuck je bio uznemiren.,Chuck je bio sretan da je to mjesto konačno zatvoreno.,1
99,Steve je sjedio u kafiću.,"Dok je bio u kafiću, obično je čitao knjigu.",Danas je zaboravio knjigu.,Nije imao izbora nego da puno razmišlja.,Steve je završio svoju križaljku u rekordnom vremenu.,"Dok je razmišljao, Steve je došao na ideju za roman.",2
100,John je vozio do trgovine kad je shvatio da je zaboravio novčanik.,Vozačka mu je bila u novčaniku.,Policija svjetla počela treptanje iza njega.,"Nakon što je stao, rekao je policajcu da je zaboravio novčanik kod kuće.",John je onda nastavio da napada policajca.,Policajac je bio razumijevanja.,2
