,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
20,Lớp của Rosie đang tổ chức một bữa tiệc nhỏ.,Cô ấy quyết định làm một món salad trái cây cho mọi người.,Bà đã bỏ ra rất nhiều tiền để mua trái cây và rất nhiều thời gian để chuẩn bị nó.,Vào ngày của bữa tiệc cô scooped một bát lớn của salad trái cây lên.,Lớp học của Rosie ăn cùng món salad trái cây.,Rosie giữ cái bát salad trái cây trong tủ lạnh ở nhà.,1
21,Kelly rất vui khi có chiếc điện thoại mới.,Cô ấy mang nó theo mình đi khắp nơi.,Thật không may là cô ấy đã đập vỡ nó.,Nhưng may là cô ấy đã sửa được nó.,Cửa hàng đã trả giá hợp lý để sửa nó.,Kelly mua một chiếc điện thoại mới.,1
22,"Khi còn học đại học, tôi đã gặp một người đàn ông lớn tuổi hơn.",Tôi 22 tuổi và anh ấy 38 tuổi.,Chúng tôi đã có một sự hiểu biết tốt và đã có một thời gian tốt đẹp với nhau.,Chúng tôi ở bên nhau suốt thời gian tôi ở đó.,Tôi có những kỷ niệm đẹp về thời gian đó.,Tôi có những kỷ niệm tiêu cực về thời gian đó.,1
23,Bob muốn tham gia vào vở kịch của trường.,Anh ấy đã nghiên cứu kỹ phần đó.,Anh ta thường tập bài của mình.,"Vào ngày thử giọng, anh ấy đã làm rất tốt.",Bob rất tự hào.,Bob rất xấu hổ.,1
24,Jackie đã được chỉ định làm giám sát lớp tám.,Cả lớp đều ghen tị với cô ấy.,Các bạn cùng lớp thường làm cô mất việc.,Họ sẽ lấy trộm thẻ của Jackie.,Tiến sĩ Sloan đã bị trục xuất.,Các bạn cùng lớp của cô được trao giải thưởng vì hành vi của họ.,1
25,Bố tôi vừa mua một chiếc xe mới.,"Để ăn mừng, chúng tôi đi xe hơi.",Một chiếc xe khác chạy qua biển báo dừng và đâm vào chúng tôi.,Tôi đập vào cửa sổ đủ mạnh để phá vỡ nó.,Tôi leo ra và tôi và bố tôi đã ổn.,Cả hai chúng tôi đều bị xe đâm trúng.,1
26,Cháu gái tôi thích bộ phim Frozen.,Cô ấy luôn muốn mặc nó.,Cô ấy đi vòng quanh nhà hát.,"Cô ấy thích la hét, bỏ đi.",Cô ấy hát nó nhiều lần.,Cô ấy yêu thể thao và ghét những thứ của công chúa.,1
27,"Alex đang chạy lên sân, đội của anh ta thua 2 điểm.","Anh ta liếc vào bảng điểm, và thấy chỉ còn 5 giây nữa.",Tâm trí anh ta chạy vội vã khi cố gắng tìm một người đàn ông cởi mở.,Các hậu vệ gắn bó với các đồng đội của anh như keo.,Chuông báo đã reo và đội của anh ấy đã thắng trận.,Anh ta cố bắn 3 điểm và trượt.,2
28,Tôi đi vào thư viện và ngồi xuống.,"Khi tôi nhìn xung quanh, tôi nhận thấy một đứa trẻ.",Anh ta nhìn chằm chằm vào tôi một lúc.,Tôi trở nên thất vọng và đứng dậy từ chỗ ngồi.,Tôi không quan tâm cậu bé làm gì.,Tôi hỏi anh ta vấn đề là gì.,2
29,Iva và Brant đang cố gắng để có con.,Họ đã cố gắng trong sáu tháng mà không thành công.,"Khi đến gặp bác sĩ, họ tỏ ra nản lòng.",Nhưng rồi họ thấy bác sĩ mỉm cười.,Brant sẽ hủy kế hoạch bắt cóc một đứa trẻ.,Cặp đôi sẽ rất vui khi biết họ đang có một đứa con trên đường.,2
30,Catherine luôn bị cuốn hút bởi môn thể thao Curling.,Catherine thích xem các vận động viên thi đấu trên truyền hình.,"Một ngày nọ, Catherine quyết định sẽ đến một buổi tập Curling.","Trong buổi tập, một trong những vận động viên mời Catherine chơi.",Catherine bắt đầu tập luyện mỗi ngày và trở nên giỏi.,Catherine nghĩ việc cuộn tóc trông nhàm chán.,1
31,Francis luôn mong muốn học lái xe.,Cuối cùng anh ta đủ lớn để có bằng lái xe.,Francis học rất chăm chỉ để có được bằng lái xe.,Anh ta vượt qua bài kiểm tra lái xe một cách dễ dàng.,Francis thực sự tự hào về thành tựu của mình.,Francis quyết định ông sẽ đi xe công cộng.,1
32,Hôm qua tôi đã có một thời gian tuyệt vời khi xem The Nutcracker.,Tôi rất thích nó.,"Khi các vũ công trang trí sân khấu, nó thật đẹp.",Tôi cảm thấy vinh dự khi được xem chương trình.,Tôi thề sẽ không bao giờ gặp lại nó.,Tôi muốn xem lại.,2
33,Tôi thức dậy lúc 8:30 sáng để đi học.,Tôi buồn ngủ dậy khỏi giường và tắm.,Tôi ăn sáng nhanh chóng và bắt đầu đi bộ đến lớp.,"Sau 50 phút học, tôi bắt đầu đi bộ trở lại ký túc xá.",Tôi quyết định trở lại lớp học.,"Khi tôi đến đó, tôi ngủ một chút.",2
34,Gary muốn thu hút sự chú ý của Lisa.,"Một ngày nọ, anh ấy quyết định viết một bài thơ cho Lisa.","Ngày hôm sau, Gary thấy Lisa ở hành lang trường.",Gary mỉm cười thật lớn và đưa cho Lisa bài thơ.,"Gary tát Lisa mạnh, và bỏ đi.",Lisa thú nhận cô ấy cũng có một cú ngã vào Gary.,2
35,Carlos luôn muốn đến thăm Pháp.,Anh ấy quyết định rằng anh ấy nên học nói tiếng Pháp trước khi đi.,Anh ta đăng ký vào một lớp học ban đêm và học rất chăm chỉ.,Cuối cùng Carlos cũng nói được tiếng Pháp khá tốt.,Carlos đã đặt vé máy bay tới Úc.,Carlos tận dụng hết tiếng Pháp của mình trong chuyến đi đến Paris.,2
36,Lars luôn muốn thử chụp ảnh.,"Bạn của anh ta là một nhiếp ảnh gia xuất sắc, nhưng anh ta chưa bao giờ thử.","Một ngày nọ, ông mua một chiếc máy ảnh đơn giản nhưng chất lượng cao.","Từ ngày đó, Lars chụp ảnh thiên nhiên mỗi ngày.",Lars đã yêu nhiếp ảnh.,Lars ghét nhiếp ảnh.,1
37,Tôi mua một chiếc tivi từ một cửa hàng đồ điện tử.,Nó là một màn hình phẳng lớn với chất lượng hình ảnh độ nét cao.,"Nhân viên đã thuyết phục tôi mua bảo hành cho nó, chỉ trong trường hợp.","Một tuần sau, chiếc tivi rơi khỏi tường và bị hỏng.",Tôi đã sửa được nó với bảo hành.,Người nhân viên sau đó được tìm thấy đã chết.,1
38,Ryan ở trong công viên.,Và anh ta thấy một cô bé cầm một quả bóng bay.,"Khi rời công viên, anh ta thấy cùng một quả bóng bị mắc kẹt trong một cái cây.",Anh ta trèo lên cây để lấy quả bóng.,Ryan cố tình làm vỡ quả bóng.,Ryan tìm thấy cô gái và đưa cô ấy quả bóng đã mất.,2
39,Người quản lý của Jen nói cô ấy cần phải tải lên hồ sơ của mình.,Cô ấy nhận ra bản lý lịch của cô ấy không được định dạng đúng.,Cô ấy chuyển tất cả nội dung sang mẫu thích hợp.,"Thêm thông tin về công việc mới nhất của cô, cô cập nhật sơ yếu lý lịch.",Rồi cô ấy gửi nó cho người quản lý của cô ấy.,Jen ghét rửa chén.,1
40,Neil đang đi thăm thành phố Fez.,Anh ta nếm thử món ăn dân tộc của họ.,Rồi anh ta đi mua quà lưu niệm.,"Fez cũng có những nghệ sĩ đường phố tuyệt vời, ông lưu ý.",Neil đã có một thời gian tuyệt vời.,Neil và Fez trở thành bạn thân.,1
41,Tôi cần dắt chó đi dạo.,Xung quanh tôi cần có dây xích.,Tôi đã tìm kiếm dây xích trong nhà.,Tôi không thể tìm thấy nó.,Tôi quyết định đưa con chó của mình ra sân sau.,Tôi để chó của tôi vào trong nhà.,1
42,"Đó là một ngày tươi sáng, ấm áp.",Joe nghĩ sẽ tốt hơn nếu đi dạo.,Anh ta quyết định đi bộ đến quán cà phê địa phương.,"Nhưng nửa đường đi, anh ấy bắt đầu mệt mỏi.",Vì thế anh ta chạy đến quán cà phê.,Joe hối hận vì đã ra ngoài.,2
43,Jen đã chờ một gói hàng cả ngày.,Cuối cùng cô ấy thấy người của UPS đi đến cửa.,Anh ta giao gói hàng và cô ta mang nó vào trong.,Cô ấy mở gói hàng bằng dao.,Trong hộp có một đứa trẻ sơ sinh.,Jen tìm thấy cái áo khoác mới trong gói hàng.,2
44,Frank không muốn làm bài tập về nhà.,"Thay vào đó, hắn muốn chơi trò chơi điện tử.",Cha mẹ Frank bảo cậu ấy phải làm bài tập về nhà trước.,Frank đã nổi giận và bị trừng phạt.,Frank mất video game trong một tuần.,Frank có một trò chơi hoàn toàn mới.,1
45,Timmy đã tham gia cuộc thi 3 điểm ở trường của anh ta.,Người chiến thắng sẽ có cơ hội giành được học bổng đại học trị giá 1000 đô la.,Timmy tập bắn 3 cú cả cuối tuần.,Anh ấy đã sẵn sàng khi ngày thi đấu đến.,Timmy đã thắng cuộc thi.,Timmy đã đi đến sân đua vào ngày thi đấu.,1
46,Drake đã tham dự một bữa tiệc vào thứ Sáu.,Anh ta phát hiện ra rằng ví của anh ta đã bị đánh cắp từ áo khoác của anh ta.,"Drake lập tức gọi cảnh sát, nhưng ví không được tìm thấy.",Drake đã đối đầu với chủ nhà của bữa tiệc về vấn đề này.,Và người chủ nhà nói với anh ta rằng anh ta cũng không biết.,Drake nói với chủ nhà rằng anh ta muốn tham dự các bữa tiệc của anh ta một lần nữa.,1
47,Bob phát hiện ra chiếc xe tải của anh ta bị hỏng lốp.,Anh ta chưa bao giờ thay lốp xe trước đây.,Hắn lấy ra cái cục và cái sắt.,Hắn không thể tháo được các cái vít.,Bob gọi ai đó sửa lốp xe bị hỏng.,Bob lái xe tải của mình đến chợ.,1
48,Jack mệt mỏi vì phải viết email trên máy tính bảng của mình.,Anh ta quyết định cần đầu tư vào một chiếc laptop.,Anh ta nghiên cứu nhiều máy tính xách tay khác nhau cho đến khi tìm được cái hoàn hảo.,Cuối cùng anh ta đã mua nó.,Giờ Jack thực sự thích trả lời email.,Jack giờ dùng dịch vụ bưu điện thay vì email.,1
49,Tóc Jake đã dài quá.,Anh ấy sắp có một cuộc phỏng vấn xin việc.,Anh ta đã nhờ mẹ cắt tóc cho anh ta.,Mẹ cậu ấy đã cắt tóc cho cậu ấy trông chuyên nghiệp.,Jake đã rửa tay.,Jake đã nhận được công việc.,2
50,Sean đã đến đây hôm nay.,"Sam, Sean và tôi chơi trò chơi.",Họ bắt đầu giận tôi vì tôi xấu xa thế nào.,Họ nói tôi không thể chơi nữa cho đến khi tôi khỏe lại.,Tôi đã bị tổn thương.,Tôi rất vui.,1
51,Sarah muốn gửi một tấm thiệp.,Cô ấy đi đến bưu điện.,Cô ấy trả tiền cho tem.,Cô ấy để lá thư trong một phong bì.,Sarah tự mình giao thư.,Lá thư của Sarah đã sớm đến đích.,2
52,Chuck mệt mỏi vì làm việc.,Anh ta đã đóng cửa công ty một thời gian.,Anh ta mở diễn đàn để trò chuyện với đồng nghiệp.,"Sau những vụ Zoltar kinh khủng, hắn cần một khoảng thời gian nghỉ ngơi.",Chuck quyết định nghỉ việc.,Rồi anh cảm thấy buộc phải trở lại làm việc.,2
53,Bob dùng túi nhựa để đi mua sắm.,"Rồi, bạn anh ấy nói với anh ấy rằng nhựa có hại cho môi trường.",Bob quyết định không dùng túi nhựa.,Bob đã đầu tư vào một số túi tạp hóa có thể tái sử dụng.,Bob dùng túi tạp hóa tái sử dụng để đi mua sắm.,Bob tiếp tục dùng túi nhựa để đi mua sắm.,1
54,Joe cần một bức chân dung của chính mình cho một dự án.,Anh ta gọi cho một số nghệ sĩ địa phương và hỏi giá của họ.,Một trong những nghệ sĩ có mức giá hợp lý.,Joe đã hẹn với họa sĩ đó để vẽ bức chân dung.,Joe rất hài lòng với kết quả.,Nghệ sĩ vẽ một con mèo của Joe.,1
55,Ann đang cố bỏ thuốc lá.,Cô ấy đã cố gắng nhiều lần nhưng luôn thất bại.,Rồi cô ấy dùng miếng dán nicotine để giúp cô ấy.,Và giúp cô ấy làm được!,Ann đã tăng gấp đôi số lượng thuốc lá cô hút mỗi ngày.,Ann đã có thể bỏ hút thuốc thành công.,2
56,Jen được gửi đến nhà dì cô ấy trong mùa hè.,Cô ấy ghét ý nghĩ phải rời xa thư viện địa phương suốt mùa hè.,Cô ấy mang theo một vài cuốn sách nhưng cô ấy sẽ đọc chúng nhanh chóng.,"Khi đến, dì cô đưa cô vào một căn phòng đặc biệt trong nhà.",Jen thấy sách của cô ấy cháy trong lò sưởi.,Phòng đầy những kệ sách hấp dẫn các cô gái.,2
57,Hôm qua là ngày Rob làm sạch răng.,Thường thì anh ấy rất sợ nha sĩ.,Nhưng có một y tá mới dễ thương ở văn phòng.,"Vì vậy, ông rất vui mừng khi đi.",Rob cảm thấy tươi mới sau khi khám đại tràng.,Rob đã thất vọng khi y tá dễ thương không có mặt vào ngày đó.,2
58,Joe thích ăn đất.,Anh ta sẽ làm bánh bùn bất cứ khi nào có cơ hội.,Anh ấy đang ăn một chiếc bánh khi anh ấy cảm thấy một cái gì đó rất cứng trong miệng của mình.,Joe đã cắn vào một tảng đá và đánh mất răng của mình.,Joe muốn nhai thêm đá.,Joe quyết định không ăn đất nữa.,2
59,Rob chưa bao giờ đi tàu lượn siêu tốc.,Bạn của Rob đã tặng anh ta một tấm vé miễn phí cho Six Flags.,Rob quyết định anh ta cũng có thể tham gia.,Họ đều đi và xếp hàng dài chờ.,Rob có những người bạn hào phóng.,Bạn của Rob đã vô tư.,1
60,Carly đang chờ Sam gọi cho cô ấy.,Ông ấy hứa vào thứ Sáu.,Bây giờ là cuối ngày thứ Bảy và cô đã không nghe thấy bất cứ điều gì.,Cuối cùng cô ấy quyết định gọi cho anh ta.,Sam trả lời điện thoại.,Carly gọi đồ ăn đi kèm qua điện thoại.,1
61,Amy về nhà từ trường vào ngày sinh nhật của cô ấy đến một ngôi nhà trống rỗng.,Cô ấy buồn vì mọi người đã quên ngày đặc biệt của cô ấy.,Cô ấy bước đi buồn bã vào phòng khách.,"Đột nhiên, bạn bè và gia đình cô nhảy ra khỏi nơi ẩn náu.",Amy cười vui vẻ.,Amy bước ra khỏi phòng và rời khỏi nhà.,1
62,Pan đã cố đánh tôi mà không có lý do rõ ràng.,"Tôi đã giận dữ, tôi chỉ đơn giản là bảo vệ cú đấm của cô ấy.",Cô ấy tiếp tục ném nắm đấm vào tôi.,"Để ngăn cô ấy lại, tôi ném cô ấy xuống đất.",Pan cuối cùng cũng dừng lại.,Tôi ôm Pan thật lớn.,1
63,Becky có một người em họ tên là Ashley.,Becky và Ashley từng là bạn khi còn nhỏ.,Ashley bắt đầu ngu ngốc khi lớn lên.,Cô ấy đã vào tù vì ăn cắp tampon từ một cửa hàng bán lẻ.,Becky mất liên lạc với cô ấy.,Becky tự hào về Ashley.,1
64,Con của Pam và Tom ngủ nhẹ.,Người hàng xóm vô tư của họ thường để chó của mình bên ngoài sủa cả ngày.,"Mỗi khi Pam đưa con bé đi ngủ, con chó bắt đầu sủa.",Pam tưởng tượng về việc thả chó để nó chạy trốn.,"Một đêm nọ, Pam cho mèo vào nhà.","Một đêm nọ, Pam quyết định thả chó ra.",2
65,May được nhận vào đại học ở Fredonia.,Cô ấy đi xe buýt đến trường mới của mình.,Cô ấy khám phá khuôn viên trường.,Cô ấy yêu mọi thứ cô ấy thấy.,Cô ấy bỏ học.,Thậm chí cô ấy còn thích tất cả các giáo sư của mình.,2
66,Mary cần phải rút răng.,Cô ấy muốn nha sĩ ngủ cho cô ấy.,Tất cả những gì anh ta có thể làm là làm tê vùng đó bằng Novocaine.,Mary nhìn chằm chằm vào anh ta trong kinh hoàng.,"Sau khi nhìn thấy vẻ mặt của Mary, bác sĩ nha sĩ đã có thể giúp Mary.",Mary rời khỏi nha sĩ trong tâm trạng tuyệt vời.,1
67,Ford tự hào về điểm trung bình cao của mình.,Anh ấy làm việc mỗi tối để cải thiện nó.,Bạn bè của Ford cảnh báo ông rằng ông đã bỏ lỡ niềm vui.,"Sau này, Ford trở thành một luật sư thành công.",Ford buồn vì đã đạt được nhiều điều.,Ford tự hào về những thành tựu của mình.,2
68,Vợ tôi nói tôi thiếu đam mê.,Tôi không có nhiều sở thích hay sở thích.,Tôi cố tranh luận nhưng không thể.,Tôi nhận ra cô ấy đã đúng.,Tôi quyết định thay đổi.,Tôi chưa kết hôn.,1
69,Nina muốn một bộ trang phục Halloween đẹp.,Nhưng bà không thể mua được bất cứ thứ gì xa xỉ.,Cô ấy đã tìm kiếm trong nhà để có ý tưởng.,Rồi cô ấy tìm được một bộ trang phục tuyệt vời miễn phí.,Nina mua một món đồ chơi.,Nina rất phấn khích.,2
70,Veronika thích đi bộ đường dài trong rừng.,"Một ngày nọ, cô ấy đi trên một con đường và tìm thấy một ngôi nhà trên cây.",Cô leo lên thang và ngạc nhiên trước tất cả những thứ trong nhà.,Nó đã được trang bị đầy đủ với một đồ nội thất và chăn.,Veronika không thích ngôi nhà trên cây lắm.,Veronika quyết định ghé thăm ngôi nhà trên cây thường xuyên hơn.,2
71,Đó là một ngày mùa xuân đẹp vào đầu tháng Ba.,Tracey quyết định đi dạo trong rừng phía sau nhà cô ấy.,Cô đã nghe thấy một con đinh và bắt đầu tìm kiếm nó trong cây.,Cô ấy vấp ngã trên một gốc và rơi xuống con đường.,Tracey chạy về nhà.,Tracey đã không để ý đến cái ngã của cô ấy.,2
72,Bob rất khát và muốn một ly nước ngọt.,"Thật không may, anh ta không có tiền.",Bob bước vào một trạm xăng và hỏi anh ta có thể có một loại soda không.,Người thu ngân hỏi anh ta có tiền không.,Anh ta nói không và rời khỏi trạm xăng.,Anh ta quyết định đi chạy bộ.,1
73,Jim đang đợi ở sân bay.,Vợ anh ta sẽ đến trong một tiếng.,Anh ấy rất chán.,Rồi anh ấy quyết định bắt kịp với cuốn sách của mình.,Jim gặp vợ sau một giờ.,Jim lái xe đi trước khi vợ anh ta xuất hiện.,1
74,Joe thực sự muốn học Đại học Columbia.,"Anh ấy làm việc chăm chỉ ở trường, chơi bóng đá.",Anh ta đã được đưa vào danh sách chờ đợi.,"Dù thất vọng, ông vẫn cố gắng hết sức cho đến cuối cùng.",Joe vẫn rất tự hào về công việc chăm chỉ của mình.,Joe quyết định không muốn học đại học.,1
75,"Tami, bạn của Gina, có một thư mục mà cô ấy không muốn ai khác có.",Gina muốn một cái nhưng không biết mua ở đâu.,Giờ Tami có một Lisa Frank mới.,Gina ghen tị vì cô ấy cũng muốn có một cái.,Gina đã kiểm tra trên eBay và tìm thấy một cái mà cô ấy có thể mua được.,Gina đã cắt cỏ cả sân và không có sự giúp đỡ của bất cứ ai.,1
76,Leah có một cái cây Giáng sinh đẹp trong nhà.,"Một ngày nọ, cô ấy đi mua sắm.","Khi bà trở về, cây đã bị lật đổ.",Con mèo của cô ấy đã trèo lên nó và kéo nó xuống!,Leah quyết định cô ấy thích cây trên sàn nhà hơn là đứng.,Leah quở trách con mèo của mình.,2
77,Peter đã sử dụng cùng một chiếc ghế trong nhiều năm.,Nó đã trở nên mỏng.,"Anh ấy quyết định mua một chiếc ghế mới, thoải mái hơn.","Khi nó đến, Peter rất vui mừng.",Peter nghĩ nó thậm chí còn thoải mái hơn cái cũ.,Peter để cho con chó của anh ta sử dụng ghế cho riêng mình.,1
78,Rex đang chuẩn bị cho một bữa tiệc tối nay.,Anh ta nhận ra mình chưa chuẩn bị gì cho khách ăn với pho mát.,Rex chạy ra để lấy bánh mì.,Anh ta cắt nó thành những miếng mỏng để dễ dàng ăn.,Rex đã đi một chuyến đi dài qua đại dương.,Mọi người đều thích pho mát và bánh mì.,2
79,Ali luôn đi tàu để đi làm mỗi ngày.,"Một ngày nọ, bà bị bệnh nặng nhưng vẫn đi làm.",Cô ấy làm việc chăm chỉ cả ngày và thậm chí còn mang công việc về nhà.,Cô ấy lên tàu và ngủ thiếp đi.,Cô ấy là một nhân viên lười biếng.,Cô ấy đã bỏ lỡ điểm dừng và phải đi xe buýt về nhà.,2
80,Đội bóng đã làm việc chăm chỉ cả mùa.,Họ đã thắng mọi trận và giành chức vô địch.,Chỉ còn vài giây nữa và trận đấu đã bị hòa.,Quarterback qua một đường chuyền dài và người nhận ghi bàn.,Khán giả vỗ tay đội bóng to tiếng.,Toàn bộ đám đông đứng dậy và vỗ tay một cách điên cuồng.,2
