,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
15,Glen mal chuť na prechádzku.,Obliekol si bundu a vyšiel von.,"Keď kráčal po chodníku, zakopl a rozbil si koleno.",Glen sa opäť postavil a kulcal sa späť do svojho domu.,Glen dosiahol svoj najlepší maratónsky čas.,"Glen prisahal, že už nikdy nebude chodiť.",2
16,Ježiš strávil deň vyleštením nábytku.,"Ako sa blížil večer, prehľadal prácu, ktorú vykonal.",Všetko bolo lesklé a nové.,Ježiš pozval všetkých svojich priateľov na večeru.,"Povedali, že jeho nábytok vyzerá dobre.",Jeho priatelia mu leštili nábytok.,1
17,Nedávno som šla do obchodu.,"Keď som prechádzal cez východ, cítil som na ruke chladnú, tvrdú oceľ.","Bol som v šoku, že ma zrazilo auto!","Šofér sa veľmi ospravedlňoval, keď videl, že ma zrazilo.","Povedal som im, že je to v poriadku a potom som odišiel.",Šofér sa na mňa veľmi nahneval.,1
18,Ginina sestra si porezala členok na rozbitom sklade.,Krv jej prebiehala po chodidlách až do topánky.,"Keď videla krv, ušla domov.","Gina za ňou behala, ale nedokázal ju držať.","Keď sa vrátili domov, všetci mali zmrzlinu.",Gina sestra šla k doktorovi.,2
19,Malý chlapec bol v tretej triede.,"Bol veľmi múdry, ale s čítaním mal problémy.","Vždy, keď nahlas čítal, jeho spolužiaci sa mu vysmievali.",Začal cvičiť čítanie každý deň.,"Chlapec prijal, že sa nikdy nezlepší.",Na konci roka sa mu podarilo dobre prečítať si test.,2
20,Rosieina trieda mala malú párty.,"Rozhodla sa, že pre všetkých urobí ovocný šalát.",Na ovocie utratila veľa peňazí a veľa času na jej prípravu.,"V deň párty, ona vytiahla obrovskú misku ovocného šalátu.",Rosieho trieda si podelila ovocný šalát.,Rosie mala misku ovocného šalátu v chladničke doma.,1
21,"Kelly bola šťastná, že má nový telefón.",Vzala ho so sebou všade.,Nanešťastie ju rozbila.,Našťastie sa jej podarilo opraviť to.,Obchod jej dal férovú cenu za opravu.,Kelly si kúpila nový telefón.,1
22,"Keď som bola na vysokej, stretla som staršieho muža.",Mala som 22 a on 38.,Mali sme dobré porozumenie a mali sme spolu pekný čas.,"Boli sme spolu po celý čas, čo som tam bol.",Mám na to čas pekné spomienky.,Mám z toho času negatívne spomienky.,1
23,Bob chcel hrať v školskej hre.,Starostlivo si preštudoval tú rolu.,Často si cvičil svoje repliky.,V deň konkurzu odviedol skvelú prácu.,Bob bol veľmi hrdý.,Bob sa veľmi hanbil.,1
24,Jackie bola menovaná za strážcu chodby v ôsmej triede.,Celá trieda jej závidí.,Jej spolužiaci často ohrozujú jej prácu.,Ukradli Jackieho vstupenky.,Riaditeľka suspendovala jej hlučných spolužiakov.,Jej spolužiakovia dostali za svoje správanie ocenenia.,1
25,Môj otec práve kúpil nové auto.,Na oslavu sme sa všetci vydali na prechádzku.,Ďalšie auto prešlo stopačku a narazilo do nás.,"Udelil som okno dosť silno, aby sa rozbilo.",Vystúpil som a ja a môj otec sme boli v poriadku.,Obaja sme boli zrovnaní s vozidlom.,1
26,Moja neter miluje film Zmrazený.,Vždy si ju chce obliecť.,Chodí okolo domu a spieva.,"Miluje kričať, ""nechaj to tak"".",Spieva to stále znova a znova.,Miluje šport a nenávidí princeznské veci.,1
27,"Alex sa dríbal na ihrisku, jeho tím bol o dva body v podstate v háji.","Pozrel sa na tabuľku a videl, že zostalo len 5 sekúnd.","Jeho myseľ sa rozbehla, keď sa snažil nájsť otvoreného muža.",Obrancovia sa k jeho spoluhráčom pripútali ako lepidlo.,Zvonil zvonček a jeho tím vyhral zápas.,Pokúsil sa o trojbodovú a zmeškal.,2
28,Prišiel som do knižnice a posadil sa.,"Keď som sa obzrel, všimol som si dieťa.",Chvíľu na mňa zízal.,Bola som frustrovaná a vstala som z sedadla.,"Nevadilo mi, čo ten chlapec robil.","Spýtal som sa ho, čo je jeho problém.",2
29,Iva a Brant sa snažili otehotnieť.,Snažili sa to šesť mesiacov bez úspechu.,Pri stretnutí s lekárom vyjadrili skľúčenosť.,"Ale potom videli, že sa doktor rozširene usmieva.",Brant zruší plány na únos dieťaťa.,"Pár bude rád, keď sa dozvie, že čaká dieťa.",2
30,Catherine vždy zaujímal šport curling.,Catherine miluje sledovať športovcov v televízii.,Jedného dňa sa Catherine rozhodla navštíviť tréning curlingu.,"Na tréningu jeden z atlétov pozval Catherine, aby sa zahrala.",Catherine potom začala cvičiť každý deň a stala sa v tom dobrá.,"Catherine si myslela, že curling vyzerá nudne.",1
31,"Francis sa vždy tešil, že sa naučí šoférovať.",Konečne je dosť starý na vodičský preukaz.,"Francis sa veľmi usilovne učí, aby získal licenciu.",Bez problémov prešiel skúškou na vodiča.,Francis je na svoj úspech naozaj hrdý.,"Francis sa rozhodol, že by radšej išiel verejnou dopravou.",1
32,"Včera som sa veľmi dobre bavil pri ""Šnúrkovate"".",Naozaj sa mi páčilo.,"Ako tanečníci zdobili pódium, bolo to nádherné.","Cítil som sa poctený, že som videl tú show.","Sľúbil som, že ho už nikdy neuvidím.",Chcel som to vidieť znova.,2
33,Prebudila som sa na hodinu o 8:30 ráno.,Ospalý som sa zobudil z postele a dal som si sprchu.,Rýchlo som sa nasnídala a začala som chodiť do triedy.,Po 50 minútach vyučovania som sa začal vracať do svojej izby.,Rozhodol som sa vrátiť späť do triedy.,"Keď som tam prišiel, zdriemol som si.",2
34,Gary chcel získať Lisin pozornosť.,Jedného dňa sa rozhodol napísať Lisinej básne.,Nasledujúci deň v škole Gary uvidí Lisu na chodbe.,Gary sa usmieva na Lisu a podáva jej báseň.,Gary dá Lisie poriadny facku a odíde.,"Lisa priznáva, že sa tiež zamilovala do Garyho.",2
35,Carlos vždy chcel navštíviť Francúzsko.,"Rozhodol sa, že sa bude musieť naučiť hovoriť po francúzsky, než odíde.",Zapíše sa do večerných tried a veľmi tvrdo sa učí.,Konečne Carlos hovorí po francúzsky celkom dobre.,Carlos si zarezervuje let do Austrálie.,Carlos využil svoju francúzštinu na výlet do Paríža.,2
36,Lars vždy chcel skúsiť fotografovanie.,"Jeho priateľ bol vynikajúci fotograf, ale nikdy to neskúšal.","Jedného dňa si kúpil jednoduchý, ale kvalitný fotoaparát.",Od toho dňa Lars natáčal obrazy prírody každý deň.,Lars sa zamiloval do fotografovania.,Lars nenávidel fotografovanie.,1
37,Kúpil som televízor v obchode s elektronikou.,Je to veľký plochý displej s vysokou kvalitou obrazu.,"Zamestnanec ma presvedčil, aby som na to kúpil záruku, len pre istotu.",O týždeň neskôr mi z steny spadla televízia a pokazila sa.,Dokázal som to opraviť s zárukou.,Zamestnanec bol neskôr nájdený mŕtvy.,1
38,Ryan bol v parku.,"A videl malé dievča, ktoré držalo balón.","Keď opúšťal park, videl ten istý balón uviaznutý v strome.","Vylezol na strom, aby si zobral balón.",Ryan potom balón roztrhol zámerne.,"Ryan potom našiel dievča a dal jej balón, ktorý stratila.",2
39,"Jenin manažér jej povedal, že musí nahrať svoj životopis.","Uvedomila si, že jej životopis nebol správne formátovaný.",Prenesla všetok obsah do správnej šablóny.,Pridali informácie o jej poslednej práci a aktualizovali životopis.,Potom to poslala svojmu manažérovi.,Jen nenávidela umývanie riadu.,1
40,Neil bol na prehliadke mesta Fez.,Ochutnal ich etnickú kuchyňu.,Potom šiel nakupovať suvenír.,"Fez mal tiež skvelých pouličných umelcov, poznamenal.",Neil sa dobre bavil.,Neil a Fez sa stali najlepšími priateľmi.,1
41,Musel som si vydať psa na prechádzku.,Moja štvrť vyžaduje vodítko.,Hľadal som v dome vodítko.,Nemohol som to nájsť.,Rozhodol som sa vziať svojho psa na záhradu.,Pustil som svojho psa do domu.,1
42,"Bol to jasný, teplý deň.","Takže Joe si myslel, že by bolo pekné ísť na prechádzku.",Rozhodol sa ísť pešo do miestnej kaviarne.,Ale v polovici cesty začal byť unavený.,Tak bežal do kaviarne.,"Joe ľutuje, že išiel von.",2
43,Jen čakala celý deň na balík.,"Nakoniec videla, ako sa poslíček UPS blíži k dverám.",On doručil balík a ona ho priniesla dnu.,Otvorila balík nožom.,V tej krabici bolo novorodené dieťa.,Jen našla v balíku svoj nový kabát.,2
44,Frank nechcel robiť domáce úlohy.,Namiesto toho chcel hrať videohry.,"Frankovi rodičia mu povedali, aby si najprv urobil domácu úlohu.",Frank sa naštval a dostal trest.,Frank stratil svoje videohry na týždeň.,Frank má úplne novú hru.,1
45,Timmy súťažil v súťaži 3 bodov na svojej škole.,Víťaz by mal šancu vyhrať štipendium na vysokú školu vo výške 1000 dolárov.,Timmy trénoval streľbu na 3 body celý víkend.,"Bol pripravený, keď prišiel deň súťaže.",Timmy vyhral súťaž.,Timmy šiel na jazdný štadión v deň súťaže.,1
46,Drake sa v piatok zúčastnil párty.,"Zistil, že mu ukradli peňaženku z kabátu.","Drake okamžite zavolal políciu, ale peňaženku nenašli.",Drake konfrontoval hostiteľa o tejto otázke.,"A hostiteľ mu povedal, že to ani on nevie.","Drake povedal hostiteľovi, že sa chce opäť zúčastniť jeho večierkov.",1
47,"Bob zistil, že jeho nákladiak mal vypichnutú pneumatiku.",Nikdy predtým nezmenil pneumatiku.,Vytiahol si odpružovač a žehličku.,Nemohol vytiahnuť skrutky.,"Bob zavolal niekoho, aby mu opravil prasknutú pneumatiku.",Bob šiel na trh vo svojom aute.,1
48,Jack je unavený písaním e-mailov na svojom tablete.,"Rozhodol sa, že potrebuje investovať do laptopu.","Preskúma rôzne notebooky, kým nenájde ten dokonalý.",Konečne to kúpi.,Teraz Jack skutočne rád odpovedá na e-maily.,Jack teraz používa poštovú službu namiesto e-mailu.,1
49,Jakeovi vlasy boli príliš dlhé.,Mal pred sebou pracovný pohovor.,"Požiadal svoju matku, aby mu ostrihala vlasy.","Jeho matka mu pekne ostrihala vlasy, aby vyzerali profesionálne.",Jake si umyl ruky.,Jake dostal tú prácu.,2
50,Dnes prišiel Sean.,"Sam, Sean a ja sme sa hrali hry.","Začali sa na mňa hnevať, že som bola zlá.","Povedali, že nemôžem hrať, kým sa nezlepší.",Bol som naozaj zranený.,Bol som naozaj potešený.,1
51,Sarah chcela poslať pohľadnicu.,Išla na poštu.,Zaplatila za známky.,Dala ten list do obálky.,Sarah doručila list sama.,Sarahov list čoskoro smeroval na miesto určenia.,2
52,Chuck bol unavený z práce.,Na chvíľu zatvoril svoju prácu.,"Otvoril fórum, aby sa mohol rozprávať s kolegami.",Po tých zlých Zoltarových útočiach potreboval túto prestávku.,Chuck sa rozhodol skončiť s prácou.,Potom sa cítil nútený vrátiť sa do práce.,2
53,Bob používal plastové tašky na nákup.,"Potom mu jeho priateľ povedal, že plast je zlý pre životné prostredie.","Bob sa rozhodol, že sa vzdá svojich plastových tašiek.",Bob investoval do opätovne použiteľných nákupných tašiek.,Bob použil svoje opätovné nákupné tašky na nákup.,Bob pokračoval v používaní svojich plastových tašiek na nákup.,1
54,Joe potreboval urobiť svoj portrét pre projekt.,Zavolal miestnym umelcom a spýtal sa ich cien.,Jeden z umelcov mal rozumné ceny.,"Joe sa dohodol s tým umelcom, aby urobil portrét.",Joe bol veľmi spokojný s výsledkami.,Maľoval mačku Joea.,1
55,Ann sa snažila prestať fajčiť.,"Niekoľkokrát sa o to pokúsila, ale vždy zlyhala.","Potom sa prihlásila na nikotínovú náplast, aby jej pomohla.",A pomohol jej to urobiť!,"Ann zdvojnásobila množstvo cigariet, ktoré fajčila každý deň.",Ann sa jej podarilo prestať fajčiť.,2
56,Jen bola na leto poslaná k tete.,"Neznášala myšlienku, že bude celé leto mimo miestnej knižnice.","Vzala si so sebou niekoľko kníh, ale rýchlo ich prečítala.","Keď prišla, jej teta ju vzala do špeciálnej miestnosti v jej dome.","Jen videla, ako jej knihy horia v krbe.","Izba bola plná poličiek s knihami, ktoré sa páčili dievčatám.",2
57,Včera bolo Robovo čistenie zubov.,Zvyčajne sa bojí zubárov.,Ale v kancelárii je nová roztomilá sestra.,"Takže bol nadšený, že ide.",Rob sa cítil osviežený po kolonoskopii.,"Rob bol sklamaný, keď tam v ten deň nebola tá roztomilá sestra.",2
58,Joe miloval jesť hlinu.,"Robil hlinené koláče vždy, keď mal príležitosť.","Jedol koláč, keď cítil niečo veľmi tvrdé v ústach.",Joe sa prebodol na skalu a vybil si zub.,Joe chcel žuvať viac kameňov.,"Joe sa rozhodol, že už nebude jesť hlinu.",2
59,Rob nikdy nebol na horských dráhach.,Robovi priatelia ponúkli lístok na Six Flags.,"Rob sa rozhodol, že sa môže pridať.",Všetci išli a čakali v dlhých radoch.,Rob mal veľkorysých priateľov.,Robovi priatelia boli bezohľadní.,1
60,"Carly čakala, kým jej Sam zavolá.",Sľúbil to v piatok.,Bolo už neskoro v sobotu a ona nič nepočula.,Nakoniec sa rozhodla mu zavolať.,Sam zdvihol telefón.,Carly si objednala jedlo cez telefón.,1
61,Amy prišla domov zo školy na svoje narodeniny do prázdneho domu.,"Bola naštvaná, že všetci zabudli na jej výnimočný deň.",Smutne vošla do obývačky.,Zrazu jej priatelia a rodina vyskočili z úkrytu.,Amy sa s radosťou usmiala.,Amy vyšla z miestnosti a opustila dom.,1
62,Pan sa ma snažil bez zjavného dôvodu udrieť.,"Bol som naštvaný, jednoducho som jej udrel.",Stále na mňa hádzala päsťou.,"Snažil som sa ju zastaviť, tak som ju hodil na zem.",Pan sa konečne zastavil.,Veľmi som objal Pana.,1
63,Becky má sesternicu Ashley.,"Becky a Ashley boli priateľky, keď boli deti.","Ashley sa stala hlúpou, keď vyrástla.",Bola vo väzení za krádež tampónov z obchodu s dolármi.,Becky s ňou stratila kontakt.,Becky je na Ashley hrdá.,1
64,Pam a Tomovo dieťa malo ľahký spánok.,Ich bezohľadný sused často nechával svojho psa vonku celý deň štekať.,"Vždy, keď Pam uložila svoje dieťa do postele, pes začal štekať.","Pam snívala o tom, že by mohla psa pustiť na slobodu, aby utiekol.",Jednej noci Pam pustila do domu svoje mačky.,"Jednej noci sa Pam rozhodla, že psy pustí.",2
65,May bola prijatá na vysokú školu vo Fredonii.,Do novej školy išla autobusom.,Preskúmala kampus.,"Milovala všetko, čo videla.",Odišla zo školy.,Dokonca mala rada všetkých svojich profesorov.,2
66,Mary potrebovala vytiahnuť zuby.,"Chcela, aby ju zubár uspal.",Jediné čo mohol urobiť bolo znecitliviť oblasť novokaínom.,Mária sa na neho strašne pozerala.,"Po tom, čo videl jej výraz, zubár jej mohol pomôcť.",Mary odišla od zubára v dobrej nálade.,1
67,Ford bol hrdý na svoj vysoký priemer.,"Každý večer pracoval na úlohách, aby sa zlepšil.","Fordovi priatelia ho varovali, že mu chýba zábava.",Neskôr sa Ford stal úspešným právnikom.,"Ford bol smutný, že toho toľko dosiahol.",Ford bol hrdý na svoje úspechy.,2
68,"Moja žena hovorí, že mi chýba vášeň.",Že nemám veľa koníčkov alebo záujmov.,"Snažil som sa s ním hádať, ale nemohol som.","Uvedomil som si, že mala pravdu.",Rozhodol som sa zmeniť.,Nie som ženatý.,1
69,Nina chcela pekný kostým na Halloween.,Ale nemohla si dovoliť nič drahé.,"Prehľadávala dom, aby našla nejaké nápady.",Potom našla skvelý kostým zadarmo.,Nina kúpila hračku.,Nina bola nadšená.,2
70,Veronika milovala túry v lese.,Jedného dňa bola na ceste a našla domček na strome.,Vylezla po rebríku a bola ohromená všetkými vecami v dome.,Bol plne zariadený nábytkom a prikrývkami.,Veronika nemala dom na strome veľmi rada.,Veronika sa rozhodne navštevovať domček na strome častejšie.,2
71,Bol krásny jarný deň začiatkom marca.,Tracey sa rozhodla ísť na prechádzku do lesa za jej domom.,Počula bodáka a začala ho hľadať v stromoch.,Zakopla sa o koreň a spadla na cestu.,Tracey sa vrátila domov.,Tracey sa zbavila svojho pádu.,2
72,Bob mal smäd a chcel sódu.,"Nanešťastie, nemal žiadne peniaze.","Bob vošiel na benzínku a spýtal sa, či by mohol mať sódu.","Pokladník sa ho spýtal, či má nejaké peniaze.",Povedal nie a odišiel z čerpacej stanice.,Rozhodol sa ísť na beh.,1
73,Jim na teba čakal na letisku.,Jeho žena by tam mala byť za hodinu.,Bol veľmi znudený.,"Potom sa rozhodol, že sa dobehne do svojej knihy.",Jim videl svoju ženu po hodine.,"Jim odišiel skôr, ako sa ukázala jeho žena.",1
74,Joe naozaj chcel chodiť na Columbijskú univerzitu.,"Na škole tvrdo pracoval, bol v futbalovom tíme.",Bol na čakacej listine.,"Hoci bol sklamaný, do posledného okamihu sa snažil, ako najlepšie mohol.",Joe bol stále veľmi hrdý na svoju tvrdú prácu.,"Joe sa rozhodol, že nechce ísť na vysokú.",1
75,"Ginain priateľ Tami mala zložku, ktorú nechcela, aby mala ktokoľvek iný.","Gina chcela jeden, ale nevedela, kde ho kúpiť.",Teraz mala Tami novú Lisa Frank Trapper Keeper.,"Gina žiarlila, pretože ju tiež chcela.","Gina sa pozrela na eBay a našla jednu, ktorú si mohla dovoliť.",Gina kosila celý dvor a nikomu nepomohla.,1
76,Leah mala v dome krásny vianočný stromček.,Jedného dňa odišla do obchodu.,"Keď sa vrátila, strom bol prevrátený.",Jej mačka na ňu vyliezla a potom ju stiahla dolu!,"Leah sa rozhodla, že sa jej viac páči strom na zemi ako stojaci.",Leah trestala svoju mačku.,2
77,Peter používal tú istú stoličku roky.,Začínal sa to vyčerpávať.,"Rozhodol sa kúpiť si novú, pohodlnejšiu stoličku.","Keď sa to stalo, Peter bol veľmi šťastný.","Peter si myslel, že by to mohlo byť pohodlnejšie ako to staré.","Peter nechal svojho psa, aby použil stoličku pre seba.",1
78,Rex sa pripravuje na večeru.,"Uvedomuje si, že nepripravil nič, čo by hostia jedli so syrom.",Rex beží von po bagetu.,"Rozreže ho na tenké, rovnomerné plátky, aby sa ľahko jedol.",Rex sa vydal na dlhú cestu cez oceán.,Všetci si vychutnali syr a chlieb.,2
79,Ali vždy chodí do práce vlakom.,"Jedného dňa bola veľmi chorá, ale aj tak išla do práce.",Celý deň tvrdo pracovala a dokonca si vzala prácu domov.,Nasadila sa do vlaku a zaspala.,Bola lenivá zamestnankyňa.,Zmeškala zastávku a musela ísť domov autobusom.,2
80,Futbalový tím tvrdo pracoval celú sezónu.,Vyhrali každý zápas a dostali sa do majstrovstiev.,Zostávali len sekundy a hra bola vyrovnaná.,Záložník dal dlhú prechod a prijímač skóroval.,Dav hlasno vyhujal tím.,Celý dav sa postavil zo svojich miest a divoko tlieskal.,2
81,Žijeme vo výškových budovách.,"Jedného dňa bol silný vietor, čiastočne kvôli výške budovy.","Vietor tak veľmi fúkal na konáre, že moja žena nemohla spať.",Vietor tiež zničil internetový kábel.,"Moja žena a ja sme boli veľmi nešťastní, že sme stratili internetové pripojenie.",Milovali sme silný vietor a nedostatok spánku.,1
82,Kate si chcela kúpiť novú klávesnicu pre svoj počítač.,"Mesiace šetrila, aby si mohla dovoliť dobrú klávesnicu.",Kate sa konečne dostala na internet a objednala si klávesnicu!,Dniami s nadšením čakala na jeho príchod.,Potom zrušila objednávku.,Potom jej klávesnica prišla poštou.,2
83,Jon skončil vysokú školu a začal hľadať prácu.,Každý deň sa uchádzal o prácu vo svojom odbore.,"Tri týždne po tom, čo začal, mu niekto zavolal.","Ten, kto volal, sa ho spýtal, či by mal záujem o rozhovor.",Jon súhlasil.,Jon ponuku odmietol.,1
84,"Julie milovala čítať všetko, čo sa jej dostalo do rúk.",Väčšinu času trávila v knižnici.,Jej obľúbená knižnica bola obsadená slečnou Watsonovou.,Slečna Watsonová videla Juliin záujem o knihy a ponúkla jej prácu.,Julie to s radosťou prijala!,Julie udrela svojho priateľa do oka.,1
85,Amyina rodina chcela ísť do Six Flags.,"Trpezlivo čakala v aute, kým príde.","Keď dorazili, sedela na kolenách a pozorovala park.","Čaká v rade hodinu, aby mohla jazdiť na najväčšej horskej dráhe.","Amy bola naozaj nadšená, že je v parku.","Amy si myslela, že park je nudný.",1
86,Steve sa ponáhľal ísť na futbalový zápas.,Na diaľnici Steve šoféroval veľmi rýchlo.,Cestná stráž zastavila Steveovo auto.,Strážnik vypísala Stevovi pokutu za prekročenie rýchlosti.,Steve bol spokojný.,Steve bol naštvaný.,2
87,Moja dcéra išla na svoju prvú narodeninovú párty pre kamarátku.,"Bola tak nadšená, že sa dostala na párty.",Celý týždeň sa o ničom inom nerozprávala.,Išla na párty a mala to super.,"Rozhodla sa, že už nikdy nepôjde na párty.","Keď prišla domov, okamžite zaspala, bola vyčerpaná.",2
88,Bob potreboval peniaze na kúpu jedla.,"Bol smutný, že nemohol jesť, pretože nemal peniaze.",Rozhodol sa napísať knihu o svojom ťažkom živote.,Ľudia ju okamžite pochválili a kúpili tisíce výtlačkov!,Zisky z predaja kníh dávali Bobovi dosť peňazí na jedlo.,"Reakcia verejnosti na knihu znamená, že Bob stále hladný.",1
89,Dnes som dokončil svoj prvý maratón.,Bolo to asi 10 km a ja som tvrdo pracoval.,Trénoval som na to asi tri mesiace.,"Vždy to bolo na mojom zozname vecí, ktoré treba urobiť.",Nikdy som nebola šťastnejšia.,Som sklamaná zo seba.,1
90,Bobby zložil svoj ovocný balík do tvaru lietadla.,"Zranil si ruku a hodil to letadlo tak silno, ako len mohol.",Bolo to však príliš ťažké a spadlo ako tehla.,"Bobby sa rozhodol, že lietadlá by mali byť vyrobené z papiera.",Bobby mal päť rokov.,Bobby mal 35 rokov.,1
91,Sam sa raz pozerala na hviezdy.,Zrazu sa posadil na chrbte.,Videl blikajúcu sa hviezdu!,"Bežal, aby to ukázal svojmu otcovi.","Jeho otec sa smiaval, pretože hviezda bola v skutočnosti lietadlo s svetlami.","Samov otec bol rád, že sa jeho syn zaujíma o geológiu.",1
92,John a Meg spolu chodili päť rokov.,John miloval Meg a chcel sa s ňou oženiť.,"Rozhodol sa ju požiadať o ruku dnes večer, po rande v kine.","Keď vyšli z kina, zrazu padol na kolená.",Začal na Meg kričať obscénnosti.,Požiadal ju o ruku.,2
93,Krásna hromada banánov visela mimo dosahu.,"Bobby sa snažil hodiť topánku, ale zaseklo sa.","Snažil sa vyliezť na strom, ale spadol.","Potom zúrivo udrel kopou, ale bola príliš krátka na to, aby sa k nej dostal.","Bobby bol naštvaný, že dostal banány.","Bobby šiel do kôlne po rebrík, aby si zobral banány.",2
94,Beth sa zotavila z choroby.,Po 4 dňoch konečne začala jesť.,"Aj keď bola lepšie, nebola v poriadku.",Rozhodla sa v piatok vziať voľno zo školy a dať si čas na uzdravenie.,Beth si potrebovala oddýchnuť.,"Beth hrávala futbal v piatok, keď mala voľno.",1
95,Rhonda si kúpila nové ružové ponožky.,Milovala ich.,"Keď ich však vyzliekla, zmiešali sa s ostatným prádlom.","V deň prania si umyla oblečenie bez toho, aby ich triedla.","Rhonda sa potom rozhodla, že sa naobedí a bude odpovedať na e-maily.","Bohužiaľ, boli zničené a Rhonda si musela kúpiť nové.",2
96,Počas búrky bolo morské more strašidelné.,"Marcus nenávidel spôsob, akým sa loď zvedla a zrútila sa.",Z toho mu bolo zle v žalúdku.,"Zastrčil sa do kabíny a zatvoril oči, ale nepomohlo to.","Marcus bol tak nadšený, že začal tancovať.",Marcus potom zvracal z morskej choroby.,2
