,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
17,Я нядаўна ішоў у краму.,"Калі я праходзіла міма выхаду, я адчула халодны, цвёрды сталь на маёй руцэ.","Я быў у шоку, што мяне пераганяе машына!","Кіроўца вельмі шкадуе, пасля таго як ён убачыў, што я быў збіты.","Я сказаў ім, што ўсё ў парадку, а потым пайшоў.",Кіроўца машыны вельмі раззлаваўся на мяне.,1
18,Сястра Джыны падрэзала лодыжку на разбітым шкле.,Кроў сцякла ўніз па яе нагу і ў яе абутак.,Калі яна ўбачыла кроў яна пабегла дадому.,"Джына бегла за ёй, але не магла дагнаць яе.","Калі яны вярнуліся дадому, усе елі марозіва.",Сястра Джыны пайшла да доктара.,2
19,Адзін хлопчык вучыўся ў трэцім класе.,"Ён быў вельмі разумны, але змагаўся з чытаннем.","Калі ён чытаў гэта ўслых, яго аднакласнікі смяяліся з яго.",Ён пачаў практыкаваць чытанне кожны дзень.,"Хлопчык прызнаў, што ён ніколі не палепшыцца.",У канцы года ён атрымаў добрыя адзнакі ў тэсціраванні па чытанні.,2
20,У класе Розі была маленькая вечарына.,Яна вырашыла прыгатаваць фруктовы салат для ўсіх.,Яна марнавала шмат грошай на гэтыя садавіна і шмат часу на іх падрыхтоўку.,У дзень вечарыны яна прыкусіла велізарную міску садавіны салата.,У класе Розі падзяліліся салатам з садавіны.,Розі трымала міску салата з садавінай у халадзільніку дома.,1
21,Келлі была рада атрымаць свой новы тэлефон.,Яна брала яго з сабой усюды.,"На жаль, яна разбіла яго.","На шчасце, аднак, яна змагла атрымаць яго выправіць.","Крама дала ёй справядлівую цану, каб выправіць яго.",Келлі купіла новы тэлефон.,1
22,"Калі я была ў каледжы, я пазнаёмілася з мужчынам, які быў старэйшы за мяне.","Мне было 22, а яму - 38.",У нас было добрае разуменне і добра правесці час разам.,"Мы былі разам увесь час, пакуль я была там.",У мяне ёсць добрыя ўспаміны пра той час.,У мяне з'явіліся негатыўныя ўспаміны пра той час.,1
23,Боб хацеў згуляць у школьнай п'есе.,Ён уважліва вывучаў сваю ролю.,Ён часта рэпетаваў свае радкі.,У дзень праслухоўвання ён зрабіў выдатную працу.,Боб вельмі ганарыўся.,Бобу было вельмі сорамна.,1
24,Джэкі была прызначаны назіральнікам за восьмым класам.,Ёй зайздросціць увесь клас.,Яе аднакласнікі часта ставілі пад пагрозу яе працу.,Яны б скралі прапускныя карткі Джэкі.,Дырэктар адмовіла ў навучанні яе баязлівым аднакласнікам.,Яе аднакласнікі атрымалі ўзнагароды за іх паводзіны.,1
25,Мой бацька толькі што набыў новую машыну.,"Каб святкаваць, мы ўсе выйшлі на прагулку.","Іншая машына праехала знак ""Стоп"" і ўрэзалася ў нас.","Я стукнуў вокны дастаткова моцна, каб разбіць яго.","Я выйшаў з яго, і мы з татам былі ў парадку.",Мы абодва былі здробненыя аўтамабілем.,1
26,"Мая пляменніца любіць фільм ""Замарожаныя"".","Яна заўсёды хоча, каб надзець яго.","Яна ходзіць па хаце, спяваючы.",Яна любіць крычаць адпусціць яго.,Яна спявае гэта зноў і зноў.,Яна любіць спорт і ненавідзіць прынцэсы рэчы.,1
27,"Алекс дрыбліў на корце, а яго каманда прайграла на два балы.","Ён паглядзеў на табліцу з лічбамі і ўбачыў, што засталося ўсяго 5 секунд.","Яго розум імчаўся, як ён спрабаваў знайсці адкрытага чалавека.","Абаронцы прыляпіліся да яго камандзіраў, як клей.","Гук быў выключаны, і яго каманда выйграла гульню.",Ён паспрабаваў замяніць трохпакаёвую і прамахнуўся.,2
28,Я зайшоў у бібліятэку і сеў.,"Калі я азірнулася, я заўважыла дзіця.",Ён глядзеў на мяне некаторы час.,Я расчараваўся і ўстаў з месца.,"Мне было ўсё роўна, што робіць хлопчык.","Я спытаў у яго, у чым яго праблема.",2
29,Іва і Брант спрабавалі зачаць дзіця.,Яны спрабавалі на працягу шасці месяцаў без поспеху.,На прыёме ў лекара яны выказалі расчараванне.,"Але потым яны ўбачылі, што доктар шырока усміхаецца.",Брант адмяніць свае планы выкрасці дзіцяці.,"Пара будзе рада, калі даведаецца, што ў іх дзіця на шляху.",2
30,Кэтрын заўсёды была заінтрыгаваная спортам - керлінгам.,"Кацярына любіць глядзець на тэлебачанне, як спартсмены займаюцца спортам.",Аднойчы Кэтрын вырашыла наведаць трэніроўку па кёрлінгу.,На трэніроўках адзін з спартсменаў запрасіў Кэтрын гуляць.,Кацярына пачала трэніравацца кожны дзень і стала ў гэтым вельмі добра спраўляцца.,"Кэтрын думала, што кёрлінг выглядае нудна.",1
31,"Фрэнсіс заўсёды з нецярпеннем чакае, калі навучыцца вадзіць.","Нарэшце ён дастаткова дарослы, каб атрымаць вадзіцельскія правы.","Францыск вельмі старанна вучыцца, каб атрымаць правы.",Ён лёгка здае дыплом.,Францыск вельмі ганарыцца сваім дасягненнем.,"Францыск вырашае, што лепш будзе ехаць на грамадскім транспарце.",1
32,"Учора я добра правяў час, гледзячы ""Ламач"".",Мне вельмі спадабалася.,"Як танцоры ўпрыгожвалі сцэну, было прыгожа.","Я адчуў гонар, што пабачыў паказ.",Я пакляўся больш ніколі яе не бачыць.,Я хацела паглядзець на гэта яшчэ раз.,2
33,Я прачнуўся на ўрок у 8:30.,Я сонна ўстаў з ложка і прыняў душ.,Я хутка пакаштаваў і пайшоў да заняткаў.,Пасля 50-хвіліннага занятка я пачала хадзіць назад у інтэрнат.,Я вырашыла зноў вярнуцца ў клас.,"Калі я дабраўся туды, я трохі паспаў.",2
34,Гэры хацеў прыцягнуць увагу Лізы.,Аднойчы ён вырашае напісаць Лізе верш.,На наступны дзень у школе Гары бачыць Лізу ў калідоры.,Гэры шырока ўсміхаецца Лізе і дае ёй верш.,Гары моцна ўдарыў Лізу і пайшоў.,"Ліза прызнаецца, што яна таксама закаханая ў Гары.",2
35,Карлас заўсёды хацеў наведаць Францыю.,"Ён вырашыў, што перш чым пайсці, яму варта навучыцца гаварыць па-французску.",Ён паступае ў вечаровы клас і вучыцца вельмі старанна.,Нарэшце Карлас даволі добра размаўляе па-французску.,Карлас забраніраваў авіяпералёт у Аўстралію.,Карлас вывучае французскую мову ў Парыжы.,2
36,Ларс заўсёды хацеў паспрабаваць фатаграфію.,"Яго сябар быў выдатным фатографам, але ён ніколі не спрабаваў.","Аднойчы ён купіў просты, але якасны фотаапарат.",З таго дня Ларс здымаў здымкі прыроды кожны дзень.,Ларс закахаўся ў фатаграфію.,Ларс ненавідзеў фатаграфію.,1
37,Я купіў тэлевізар у краме электронікі.,Гэта вялікі плоскі экран з высакаякасным якасцю малюнка.,Работнік пераканаў мяне набыць гарантыю на яго на ўсялякі выпадак.,Праз тыдзень тэлевізар упаў са сцяны і разбіўся.,Я здолеў выправіць яго пад гарантыяй.,Пазней супрацоўнік быў знойдзены мёртвым.,1
38,Раян быў у парку.,"Ён убачыў дзяўчынку, якая трымала шарык.","Калі ён пакідаў парк, ён убачыў тую ж самую шарыку, якая затрымалася на дрэве.","Ён падняўся на дрэва, каб забраць шарык.",Раян наўмысна разбіў шарык.,Раян знайшоў дзяўчыну і даў ёй страчаны шарык.,2
39,"Менеджэр Джэйн сказаў ёй, што ёй трэба загрузіць сваё рэзюмэ.","Яна зразумела, што яе рэзюмэ не было правільна адфарматавана.",Яна перанесла ўвесь кантэнт у правільны шаблон.,"Дадаўшы да яе інфармацыю аб апошняй працы, яна абнавіла рэзюмэ.",Потым яна адправіла яго свайму мэнэджэру.,Джэн ненавідзела мыць посуд.,1
40,Ніл ездзіў па горадзе Фес.,Ён пакаштаваў іх этнічнай кухні.,Потым ён пайшоў пакупкі сувеніраў.,"У Фэсе таксама былі выдатныя вулічныя артысты, адзначыў ён.",Ніл добра правяў час.,Ніл і Фез сталі лепшымі сябрамі.,1
41,Мне трэба было выгуляць сабаку.,У маім раёне патрабуецца падвязка.,Я шукаў па хатніх умовах за пучком.,Я не мог знайсці яго.,Я вырашыў вывесці сабаку на задні двор.,Я пусціў свайго сабаку ў дом.,1
42,"Быў светлы, цёплы дзень.","Так Джо думаў, што было б добра, каб пайсці на шпацыр.",Ён вырашыў пайсці пешшу ў мясцовую кавярню.,Але на паўдарозе ён пачаў стамляцца.,Ён пабег у кавярню.,"Джо шкадуе, што выйшаў на вуліцу.",2
43,Джэн чакала пасылку ўвесь дзень.,Нарэшце яна ўбачыла чалавека UPS хадзіць да дзвярэй.,"Ён даставіў пасылку, і яна прынесла яго ўнутр.",Яна адчыніла пакунак нажом.,У скрынцы быў нованароджаны дзіця.,Джэн знайшла сваё новае паліто ўнутры пакета.,2
44,Фрэнк не хацеў рабіць хатнюю працу.,Ён хацеў гуляць у відэагульні замест гэтага.,Бацькі Фрэнка сказалі яму спачатку зрабіць хатнюю працу.,Фрэнк выступіў з крыўдай і быў пакараны.,Фрэнк губляў відэагульні на тыдзень.,Фрэнк атрымаў зусім новую гульню.,1
45,Цімі ўдзельнічаў у спаборніцтве 3 балаў у сваёй школе.,Пераможца атрымае шанец выйграць стыпендыю ў 1000 даляраў.,Цімі практыкаваў стральбу 3 паказальнікаў увесь выхадны дзень.,"Ён быў гатовы, калі дзень спаборніцтваў прыбыў.",Цімі выйграў конкурс.,Цімі пайшоў на дыск у дзень спаборніцтваў.,1
46,Дрейк прысутнічаў на вечарыне ў пятніцу.,"Ён выявіў, што ў яго з паліто выкралі кашалёк.","Дрейк неадкладна выклікаў паліцыю, але кашалёк так і не быў знойдзены.",Дрейк сутыкнуўся з гаспадаром вечарыны з гэтай нагоды.,"І гаспадар сказаў яму, што ён таксама не ведае.","Дрэк сказаў гаспадару, што ён хацеў бы паўдзельнічаць у сваіх вечарынах зноў.",1
47,"Боб выявіў, што ў яго ў грузавіку працёкнула гума.",Ён ніколі не мяняў гуму раней.,Ён атрымаў джак гумы і жалеза.,Ён не мог зняць болты.,"Боб паклікаў кагосьці, каб паправіў яму пракалотую гуму.",Боб ехаў на сваім грузавіку на рынак.,1
48,Джэку надакучыла пісаць электронныя лісты на планшэце.,"Ён вырашае, што яму патрэбны ноўтбук.","Ён даследуе розныя ноўтбукі, пакуль не знойдзе ідэальны.",Нарэшце ён паверыў.,Цяпер Джэку вельмі падабаецца адказваць на лісты.,Цяпер Джэк карыстаецца паштовай службай замест электроннай пошты.,1
49,Валасы Джэйка станавіліся занадта доўгімі.,У яго было інтэрв'ю на працу.,Ён папрасіў маці пастрыгнуць яму валасы.,"Яго маці прыгатавала яму прыгожую, прафесійна выглядаючую прычоску.",Джэйк памыў рукі.,Джэйк атрымаў працу.,2
50,Шон прыйшоў сёння.,"Сэм, Шон і я гулялі ў гульні.","Яны злуюцца на мяне, бо я дрэнная.","Яны сказалі, што я не магу больш гуляць, пакуль мне не стане лепей.",Мне было вельмі балюча.,Я быў вельмі рады.,1
51,Сара хацела адправіць паштоўку.,Яна пайшла на пошту.,Яна плаціла за маркі.,Яна паклала ліст у канверт.,Сара сама даставіла свой ліст.,Ліст Сары неўзабаве адправіўся да месца прызначэння.,2
52,Чак стаміўся ад працы.,Ён на некаторы час закрыў сваю працу.,"Ён адкрыў форум, каб пагутарыць з калегамі.",Пасля тых непрыемных Золтар хіты ён патрэбны гэты перапынак.,Чак вырашыў кінуць працу.,Затым ён адчуў патрэбу вярнуцца на працу.,2
53,Боб выкарыстоўваў пластыкавыя пакеты для пакупак.,"Тады яго сябар сказаў яму, што пластык шкодны для навакольнага асяроддзя.",Боб вырашыў адмовіцца ад пластыкавых пакетаў.,Боб інвеставаў у некалькі шматразовых пакетаў для прадуктаў харчавання.,Боб выкарыстоўваў свае шматразовая пакеты для пакупак.,Боб працягваў выкарыстоўваць свае пластыкавыя пакеты для пакупак.,1
54,Джо хацеў зрабіць партрэт для свайго праекта.,Ён патэлефанаваў некаторым мясцовым мастакам і спытаў іх цэны.,Адзін з мастакоў меў разумныя стаўкі.,"Джо пазнаёміўся з мастаком, каб зрабіць партрэт.",Джо быў вельмі задаволены вынікамі.,Мастак намаляваў котку Джо.,1
55,Эн спрабавала кінуць паліць.,"Яна зрабіла некалькі спробаў, але заўсёды не атрымалася.","Затым яна ўжыла нікацінны пластыр, каб дапамагчы ёй.",І дапамагчы ёй гэта зрабілі!,"Эн падвоіла колькасць цыгарэт, якія яна паліла штодня.",Энне ўдалося кінуць паліць.,2
56,Джэн адправілі ў яе цётка на лета.,Яна ненавідзела ідэю адыходзіць ад мясцовай бібліятэкі на ўсё лета.,"Яна ўзяла з сабой некалькі кніг, але яна будзе праходзіць іх хутка.","Калі яна прыехала, яе цётка забрала яе ў адмысловы пакой у сваім доме.","Джэн бачыла, як яе кнігі гаруць у каміне.","У пакоі былі поўныя паліцы з кнігамі, якія падабаліся дзяўчатам.",2
57,Учора была чыстка зубоў Роба.,Звычайна ён вельмі баіцца стаматолагаў.,Але ёсць мілы новы медсястра ў офісе.,Ён вельмі хацеў ехаць.,Роб адчуў сябе абнаўляльным пасля калонаскапіі.,"Роб быў засмучаны, калі мілая медсястра не было ў той дзень.",2
58,Джо любіў есці бруду.,Ён рабіў брудныя пірагі пры кожным магчымым выпадку.,"Ён еў пірог, калі ён адчуў нешта вельмі жорсткае ў роце.",Джо ўкусіў камень і выбілі зуб.,Джо хацеў жаваць яшчэ камянёў.,Джо вырашыў не есці бруду зноў.,2
59,Роб ніколі не быў на аранжаве.,"Сябры Роба прапанавалі яму бясплатны білет на ""Шасці сцягах"".","Роб вырашыў, што ён можа таксама далучыцца.",Усе яны пайшлі і пачакалі ў доўгай чарзе.,У Роба былі шчодрыя сябры.,Сябры Роба былі недадуманымі.,1
60,"Карлі чакала, што Сэм патэлефануе ёй.",Ён абяцаў у пятніцу.,"Гэта было ў суботу позна, і яна нічога не чула.",Нарэшце яна вырашыла патэлефанаваць яму.,Сэм адказаў на тэлефон.,Карлі замовіла ежу на вынос па тэлефоне.,1
61,"На свой дзень нараджэння Эмі вярнулася са школы дадому, у пусты дом.","Яна была засмучаная, што ўсе забыліся пра яе асаблівы дзень.",Яна сумна зайшла ў гасціную.,Раптам сябры і родныя выскачылі з-пад зямлі.,Эмі ўсміхнулася з захапленнем.,Эмі выйшла з пакоя і пакінула дом.,1
62,Пэн спрабаваў ударыць мяне без відавочнай прычыны.,"Я быў злы, таму адстойваў яе ўдар.",Яна працягвала кідаць кулаком у мяне.,"Каб спыніць яе, я кінуў яе на зямлю.",Пан нарэшце спыніўся.,Я ўшчыкнуў Пэна.,1
63,У Бэкі ёсць стрыечная сястра па імені Эшлі.,"Бэкі і Эшлі былі сябрамі, калі былі дзецьмі.","Эшлі стала дурной, калі вырасла.",Яна трапіла ў турму за крадзеж тампонаў з магазіна.,Бэкі страціла сувязь з ёй.,Бэкі ганарыцца Эшлі.,1
64,Дзіця Пэм і Тома спала лёгка.,"Іх недаверлівы сусед часта пакідаў сабаку на вуліцы, каб ён цэлы дзень лаяў.","Кожны раз, калі Пэм клала дзіцяці спаць, сабака пачаў лаяць.","Пэм марыла, што выпусціць сабаку, каб ён уцякаў.",Аднойчы ўначы Пэм пусціла котак у свой дом.,Аднойчы ўначы Пэм вырашыла адпусціць сабак.,2
65,Мэй была прынятая ў каледж у Фрэдоніі.,Яна паехала на аўтобусе ў новую школу.,Яна даследавала кампус.,"Ёй падабалася ўсё, што яна бачыла.",Яна кінула школу.,Яна нават любіла ўсіх сваіх прафесараў.,2
66,Мэры трэба было выцягнуць зубы.,"Яна хацела, каб зубны лекар прымусіў яе заснуць.","Усё, што ён мог зрабіць, гэта прыглушыць вобласць новакаінам.",Мэры глядзела на яго ў жаху.,"Пасля таго, як стаматолаг убачыў яе выраз твару, ён змог дапамагчы Мэры.",Мэры пакінула стаматолага ў выдатным настроі.,1
67,Форд ганарыўся сваім высокім сярэднім баллам.,"Ён працаваў кожны вечар на заданні, каб палепшыць яго.","Сябры Форда папярэдзілі яго, што ён губляе весела.",У пазнейшым жыцці Форд стаў паспяховым адвакатам.,"Форду было сумна, што ён дасягнуў столькі.",Форд ганарыўся сваімі дасягненнямі.,2
68,"Мая жонка кажа, што мне не хапае запалу.",Што ў мяне не так шмат хобі ці інтарэсаў.,"Я спрабаваў спрачацца, але не мог.","Я зразумеў, што яна мела рацыю.",Я вырашыла змяніцца.,Я не жанаты.,1
69,Ніна хацела прыгожы касцюм на Хэллоуін.,Але яна не магла дазволіць сабе нічога вытанчанага.,Яна глядзела праз яе дом для ідэй.,Потым яна знайшла выдатны касцюм бясплатна.,Ніна купіла цацку.,Ніна была ў захапленні.,2
70,Вераніка любіла пагуляць у лесе.,Аднойчы яна была на шляху і знайшоў дом на дрэве.,"Яна паднялася па лесвіцы і быў уражаны ўсім, што было ў доме.",Ён быў цалкам абсталяваны мэбляй і коўдрамі.,Вераніцы не вельмі падабаўся дом на дрэве.,Вераніка вырашае часцей наведваць дом на дрэве.,2
71,Быў прыгожы вясновы дзень у пачатку сакавіка.,Трэйсі вырашыла пайсці на шпацыр у лес за сваім домам.,Яна пачула джунгляй і пачаў шукаць яго на дрэвах.,Яна спатыкнулася аб корань і ўпала на сцежку.,Трэйсі пабегла дадому.,"Трэйсі паціснула плячыма, не заўважаючы свайго падзення.",2
72,Боб вельмі хацеў піць газіроўку.,"На жаль, у яго не было грошай.","Боб зайшоў на запраўку і спытаў, ці можна яму соду.","Касір спытаў у яго, ці ёсць у яго грошы.",Ён сказаў не і пакінуў бензазазаправоду.,Ён вырашыў пайсці на прабежку.,1
73,Джым чакаў у аэрапорце.,Яго жонка будзе там у гадзіну.,Яму было вельмі сумна.,Затым ён вырашыў нагнаць за кнігай.,Джым пабачыў сваю жонку праз гадзіну.,"Джым з'ехаў, перш чым з'явілася яго жонка.",1
74,Джо вельмі хацеў паступіць у Калумбійскі ўніверсітэт.,"Ён вельмі старанна вучыўся ў школе, гуляў у футбольную каманду.",Яго ўключылі ў спіс чакання.,"Нягледзячы на расчараванне, ён дамагаўся як мог да самага канца.",Джо ўсё яшчэ ганарыўся сваёй працай.,"Джо вырашыў, што не хоча ісці ў каледж.",1
75,"Сяброўка Джыны, Тамі, мела папку, якую яна не хацела нікому даваць.","Джына хацела, але не ведала, дзе яе купіць.","Цяпер у Тамі з'явілася новая Ліза Фрэнк, ахоўніца трапятак.","Джына раўнавала, бо хацела таксама.","Джына паглядзела на eBay і знайшла адзін, які яна магла сабе дазволіць.",Джына пасела ўвесь двор і не атрымала ні ад каго дапамогі.,1
76,У Ліі ў доме была прыгожая калядная ёлка.,Аднойчы яна пайшла ў краму.,"Калі яна вярнулася, дрэва было зрынута.",Яе кот падняўся і выцягнуў яго ўніз!,"Леа вырашыла, што ёй больш падабаецца дрэва на падлозе, чым стаяць.",Лія пакарала свайго ката.,2
77,Пітэр выкарыстоўваў тое ж крэсла на працягу многіх гадоў.,Ён стаў зношвацца.,"Ён вырашыў купіць новае, больш камфортнае крэсла.",Калі ён прыйшоў Пётр быў вельмі рады.,"Пітэр падумаў, што гэта можа быць нават больш камфортна, чым стары.",Пітэр дазволіў свайму сабаку карыстацца крэслам.,1
78,Рэкс рыхтуецца да вечарынкі сёння ўвечары.,"Ён разумее, што не прыгатаваў нічога для гасцей з сырам.","Рэкс выбег, каб атрымаць багетт.","Ён разразае яго на тонкія, роўныя кавалачкі, каб зрабіць яго лёгка ёсць.",Рэкс адправіўся ў доўгае падарожжа праз акіян.,Сыр і хлеб спадабаліся ўсім.,2
79,Алі кожны дзень едзе на працу цягніком.,"Аднойчы яна моцна захварэла, але ўсё роўна пайшла на працу.",Яна ўвесь дзень працавала і нават брала працу дадому.,Яна села ў цягнік і заснула.,Яна была лянівай працаўнічкай.,Яна прапусціла свой прыпынак і давялося ехаць дадому на аўтобусе.,2
80,Футбольная каманда цяжкім чынам працавала ўвесь сезон.,Яны перамаглі ў кожнай гульні і выйгралі чэмпіянат.,"Засталіся толькі секунды на гадзінніку, і гульня была адноўленая.","Квартарэкс даў доўгі пас, і прымач забіў.",Натоўп гучна выбухнуў камандзе.,Натоўп устаў з месцаў і апладысментамі.,2
81,Мы жывём у шматпавярховым будынку.,"Аднойчы моцны вецер, часткова з-за вышыні будынка.",Вецер дзьмуў галіны дрэў так моцна мая жонка не магла спаць.,Вецер таксама збіў інтэрнэт-кабель.,Мы з жонкай былі вельмі засмучаныя стратай падлучэння да інтэрнэту.,Мы любілі моцны вецер і адсутнасць сну.,1
82,Кейт хацела купіць новую клавіятуру для свайго кампутара.,"Яна адкладала грошы на працягу некалькіх месяцаў, каб дазволіць сабе добрую клавіятуру.",Кейт нарэшце пайшла ў інтэрнэт і замовіла клавіятуру!,Яна з нецярпеннем чакала яго прыбыцця некалькі дзён.,Потым яна адмяніла заказ.,А потым яе клавіятура прыйшла па пошце.,2
83,Джон скончыў каледж і пачаў шукаць працу.,Ён кожны дзень падаваў заяўкі на працу ў сваёй галіне.,Праз тры тыдні пасля пачатку яго працы яму патэлефанавалі.,"Чалавек, які тэлефанаваў, спытаў, ці не зацікаўлены ён у інтэрв'ю.",Джон пагадзіўся.,Джон адмовіўся ад прапановы.,1
84,"Джулі любіла чытаць усё, што трапляла ў яе рукі.",Большую частку свайго часу яна праводзіла ў бібліятэцы.,Яе любімая бібліятэка была ўтворана міс Уотсан.,Міс Уотсан заўважыла любоў Джулі да кніг і прапанавала ёй працу.,Джулі з задавальненнем прыняла!,Джулі ўдарыла сяброўку ў вока.,1
85,"Сям'я Эмі збіралася ў ""Шасці сцягах"".","Яна цярпліва сядзела ў машыне і чакала, калі прыедуць.",Калі яны прыбылі яна сядзела на каленях агляд парку.,"Яна чакала ў чарзе гадзіну, каб сесці на самы вялікі аранжавы.",Эмі была вельмі рада быць у парку.,"Эмі думала, што парк быў нудным.",1
86,Стыў спяшаўся даехаць да футбольнага матчу.,На шашы Стыў ехаў вельмі хутка.,Патруль на шашы спыніў машыну Стыва.,Афіцэр выпісаў Стыву штраф за перавышэнне хуткасці.,Стыў быў задаволены.,Стыў быў засмучаны.,2
