,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
10,Bob aliogopa siku yake ya kwanza kufanya kazi katika duka la samaki la vyakula vya haraka.,Alipanga kungoja ili avae sare yake ya baharini yenye kuvutia.,Bob alienda kufanya kazi ya kutengeneza burger za samaki baada ya kuvaa sare.,"Alikuwa na shughuli nyingi, alisahau kubadili nguo zake za mitaani",Bob aliipenda sana mavazi hayo hivi kwamba aliwaonyesha rafiki zake.,Bob alienda nje baada ya kazi akiwa amevaa mavazi ya baharia.,2
11,Rafiki alikuja kututembelea.,Nilimwambia kwamba mbwa wangu hukata.,Hakusikiliza.,alijaribu kumkumbatia na kucheza naye.,Mbwa wangu alimuma.,Mbwa wangu alitoroka.,1
12,Sikuzote Lester alitaka kuwa msanii zaidi.,Siku moja anaamua kujaribu kuchora picha ya ua.,Aliketi mbele ya okidi maridadi na kuanza kuchora.,Mchoro wa Lester unaonekana vizuri sana.,Anaweka picha hiyo ukutani katika chumba chake cha kuishi.,Anaamua kutokuchora kamwe tena.,1
13,Pablo hupenda kula minyoo.,Alisoma kitabu shuleni kuhusu jinsi ya kufanya hivyo.,Anawapaka mafuta ya zeituni.,Yeye hupenda kufanya hivyo angalau mara moja kwa mwezi.,Pablo hufurahia minyoo na huona kuwa chakula kitamu.,Pablo hapendi kula minyoo.,1
14,Kira sikuzote alipenda utamaduni wa Kijapani.,Filamu nyingi alizozipenda zilikuwa za Kijapani.,Aliamua kwamba angesafiri huko.,Kwa miaka mingi alihifadhi pesa kwa ajili ya safari yake.,Alitumia pesa zote kununua viatu.,Ilikuwa safari bora zaidi maishani mwake.,2
15,Glen alikuwa na hamu ya kutembea.,Alivaa koti lake na kwenda nje.,"Alipokuwa akitembea kando ya barabara, alijikwaa na kupasuka goti.",Glen alisimama tena na kurudi nyuma nyumbani kwake.,Glen alipiga mbio zake za marathon kwa wakati bora zaidi.,Glen aliapa kwamba hangeweza kutembea tena.,2
16,Yesu alitumia siku nzima akipaka fanicha rangi.,Usiku ulipokaribia alichunguza kazi aliyokuwa amefanya.,Kila kitu kilionekana kipya na chenye kung'aa.,Yesu aliwaalika marafiki wake wote kwenye karamu jioni hiyo.,Walisema kwamba fanicha zake zilikuwa nzuri.,Marafiki wake walipaka rangi fanicha zake.,1
17,Nilikuwa nikitembea hadi dukani hivi majuzi.,"Nilipokuwa nikipita kwenye mlango wa nje, nilihisi baridi kali kwenye mkono wangu.",Nilishangaa sana kwamba nilikuwa nikigongwa na gari!,Dereva aliomba msamaha sana baada ya kuona kwamba nilikuwa nimepigwa.,Niliwaambia kwamba ni sawa na nikaondoka.,Dereva wa gari hilo alinikasirikia sana.,1
18,Dada ya Gina alijikata kiwiko kwa kutumia vioo vilivyovunjika.,Damu iliruka kutoka mguu wake hadi kwenye kiatu chake.,Alipoona damu alikimbia nyumbani.,"Gina alimfuata, lakini hakuweza kumfuata.",Walipofika nyumbani wote walikuwa na aiskrimu.,Dada ya Gina alienda kwa daktari.,2
19,Mvulana mmoja mdogo alikuwa katika darasa la tatu.,Alikuwa mwenye akili sana lakini alijitahidi sana kusoma.,Kila mara aliposoma kwa sauti wanafunzi wenzake walimcheka.,Alianza kufanya mazoezi ya kusoma kila siku.,Mvulana huyo mdogo alikubali kwamba hangeweza kubadilika kamwe.,"Mwishoni mwa mwaka, alipata alama nzuri katika mtihani wa kusoma.",2
20,Darasa la Rosie lilikuwa na karamu ndogo.,Aliamua kuwatayarishia wote mchuzi wa matunda.,Alitumia pesa nyingi kununua matunda hayo na muda mwingi kuyatayarisha.,Siku ya chama yeye scooped bakuli kubwa ya saladi matunda juu.,Darasa la Rosie lilishiriki mchuzi wa matunda.,Rosie aliweka bakuli la saladi ya matunda nyumbani kwenye friji yake.,1
21,Kelly alifurahi kupata simu yake mpya.,Alienda nayo kila mahali.,Kwa bahati mbaya aliiharibu.,"Hata hivyo, kwa furaha aliweza kurekebisha tatizo hilo.",Duka lilimpa bei nzuri ili arekebishe.,Kelly alinunua simu mpya.,1
22,"Nilipokuwa chuoni, nilikutana na mwanamume mmoja mzee.",Nilikuwa na umri wa miaka 22 naye alikuwa na miaka 38.,Tulielewana vizuri na tulifurahia kuwa pamoja.,Tulikuwa pamoja wakati wote nilipokuwa huko.,Ninakumbuka mambo mazuri ya wakati huo.,Nina kumbukumbu mbaya za wakati huo.,1
23,Bob alitaka kucheza katika mchezo wa shule.,Alijifunza sehemu hiyo kwa uangalifu.,Alizoea kurudia-rudia maneno yake mara nyingi.,"Siku ya mtihani, alifanya kazi nzuri.",Bob alikuwa mwenye kiburi sana.,Bob aliona aibu sana.,1
24,Jackie amewekwa kuwa mlinzi wa darasa la nane.,Yeye ni mwenye kuonewa wivu na darasa lote.,Mara nyingi wanafunzi wenzake walihatarisha kazi yake.,Wangemwibia Jackie vibali vya kuingia.,Mwalimu mkuu aliwafukuza darasani wanafunzi wake wenye fujo.,Wanafunzi wenzake walipewa tuzo kwa sababu ya mwenendo wao.,1
25,Baba yangu alikuwa ametoka tu kununua gari jipya.,"Ili kusherehekea, tulitembea kwa gari.",Gari jingine lilipita ishara ya kusimama na kutugonga.,Nilipiga dirisha kwa nguvu ya kutosha kulivunja.,Nilipanda nje na mimi na baba yangu tulikuwa sawa.,Sote wawili tuligongwa na gari hilo.,1
26,Mshana wangu anapenda sana sinema ya Frozen.,Yeye daima anataka kuivaa.,Yeye hutembea-tembea nyumbani akiimba.,Anapenda kupiga kelele acha.,Anaimba wimbo huo tena na tena.,Yeye anapenda michezo na anachukia mambo ya kifalme.,1
27,"Alex alikuwa akipiga mbio juu ya uwanja, na timu yake ilikuwa imepoteza pointi mbili.","Aliangalia ubao wa alama, na kuona kulikuwa na sekunde 5 tu kushoto.",Akili yake ilianza kukimbia huku akijaribu kumpata mwanamume mwenye nia nzuri.,Walimkinga kwa nguvu sana.,Kengele ililia na timu yake ikashinda mchezo.,Alijaribu kupiga risasi ya pointi tatu na kukosa.,2
28,Niliingia katika maktaba na kuketi.,"Nilipotazama huku na huku, nilimwona mtoto mmoja.",Alinitazama kwa muda.,Nilivunjika moyo na nikaondoka kwenye kiti changu.,Sikujali kile ambacho kijana huyo alikuwa akifanya.,Nilimwuliza tatizo lake ni nini.,2
29,Iva na Brant walikuwa wakijaribu kupata mtoto.,Walikuwa wamejaribu kwa miezi sita bila mafanikio.,"Walipoenda kumwona daktari, walionyesha kwamba wamevunjika moyo.",Lakini baadaye walimwona daktari huyo akitabasamu sana.,Brant atafuta mipango yake ya kumteka mtoto.,Wenzi hao watafurahi kujua kwamba wana mtoto.,2
30,Sikuzote Catherine amependezwa na mchezo wa kucheza mpira wa magongo.,Catherine anapenda kutazama wanariadha wakicheza michezo hiyo kwenye televisheni.,"Siku moja, Catherine aliamua kwenda kwenye mazoezi ya mchezo wa curling.","Kwenye mazoezi, mmoja wa wanariadha alimwalika Catherine kucheza.",Kisha Catherine akaanza kufanya mazoezi kila siku na akafanikiwa.,Catherine alifikiri kwamba kucheza mpira wa magongo kulionekana kuwa jambo lenye kuchosha.,1
31,Sikuzote Francis ametazamia kwa hamu kujifunza kuendesha gari.,Hatimaye ana umri wa kutosha kupata leseni ya kuendesha gari.,Francis anajifunza sana ili apate leseni.,Alipita mtihani wake wa kuendesha gari kwa urahisi.,Francis anajivunia sana mafanikio yake.,Francis anaamua kwamba afadhali asafiri kwa usafiri wa umma.,1
32,Jana nilikuwa na wakati mzuri kuona Nutcracker.,Niliipenda sana.,"Walipokuwa wakicheza dansi jukwaani, kulikuwa na hali nzuri sana.",Nilihisi nimeheshimiwa kuwa nimeona onyesho hilo.,Niliapa kwamba sitaki kuiona tena.,Nilitaka kuiona tena.,2
33,Niliamka kwa ajili ya somo langu saa 8:30 asubuhi.,Niliamka nikiwa na usingizi na kuoga.,Nilikula kiamsha kinywa haraka na kuanza kutembea kwenda darasani.,"Baada ya dakika 50 za masomo, nilianza kutembea kurudi kwenye chumba changu cha kulala.",Niliamua kurudi darasani tena.,"Nilipofika huko, niliketi kidogo.",2
34,Gary alitaka Lisa amjali.,Siku moja anaamua kumwandikia Lisa shairi.,"Siku iliyofuata akiwa shuleni, Gary alimwona Lisa kwenye ukumbi.",Gary anamtabasamu Lisa na kumpa shairi hilo.,"Gary anampiga Lisa kofi kali, kisha anaondoka.",Lisa anakiri kwamba yeye pia anapendezwa na Gary.,2
35,Sikuzote Carlos alitaka kutembelea Ufaransa.,Anaamua kwamba anapaswa kujifunza kuzungumza Kifaransa kabla ya kwenda.,Anajiandikisha katika darasa la jioni na anajifunza kwa bidii sana.,Hatimaye Carlos anaweza kuzungumza Kifaransa vizuri sana.,Carlos anaweka tiketi ya ndege ya kwenda Australia.,Carlos hutumia vizuri zaidi Kifaransa chake katika safari yake ya kwenda Paris.,2
36,Sikuzote Lars alitaka kujaribu kupiga picha.,"Rafiki yake alikuwa mpiga picha bora, lakini hakuwahi kujaribu.","Siku moja alinunua kamera ya hali ya juu, lakini ya kawaida.","Kuanzia siku hiyo, Lars alipiga picha za asili kila siku.",Lars alivutiwa na upigaji-picha.,Lars alichukia kupiga picha.,1
37,Nilinunua televisheni katika duka la vifaa vya elektroniki.,Ni flatscreen kubwa na picha ya ubora wa juu ufafanuzi.,Mfanyakazi alinisadikisha nianze kununua kibali cha kuiuza kwa ajili ya usalama.,Juma moja baadaye televisheni ilianguka kutoka ukutani na kuvunjika.,Niliweza kurekebisha kwa kutumia dhamana.,Baadaye mfanyakazi huyo alipatikana amekufa.,1
38,Ryan alikuwa katika bustani.,Kisha akaona msichana mdogo akiwa ameshika puto.,"Alipokuwa akiondoka kwenye bustani, aliona puto lilelile likiwa limefungwa kwenye mti.",Alipanda mti ili kupata puto.,Kisha Ryan akalipua puto kwa makusudi.,Kisha Ryan akamtafuta msichana huyo na kumpa puto alilokuwa amepoteza.,2
39,Meneja wa Jen alimwambia kwamba anahitaji kuweka CV yake.,Alitambua kwamba simulizi lake halikuwa na muundo unaofaa.,Alihamisha maudhui yote kwenye template sahihi.,Aliongeza habari kuhusu kazi yake ya karibuni na kurekebisha habari hizo.,Kisha akamtuma kwa msimamizi wake.,Jen alichukia kuosha vyombo.,1
40,Neil alikuwa akizuru jiji la Fez.,Alijaribu vyakula vyao vya kikabila.,Kisha akaenda kununua zawadi.,Alitaja kwamba Fez pia ilikuwa na wasanii wa mitaani wenye ustadi.,Neil alifurahia sana.,Neil na Fez wakawa marafiki wakubwa.,1
41,Nilihitaji kumpeleka mbwa wangu kutembea.,Jirani yangu inahitaji leash.,Nilitafuta kamba ya kamba nyumbani kwangu.,Sikuweza kuipata.,Niliamua kumpeleka mbwa wangu kwenye ua wa nyuma.,Niliruhusu mbwa wangu aingie ndani ya nyumba.,1
42,Ilikuwa siku yenye joto na yenye mwangaza.,Hivyo Joe akafikiri ingekuwa vizuri kutembea.,Aliamua kutembea hadi kwenye mkahawa wake wa karibu.,"Lakini katikati ya safari, alianza kuchoka.",Kwa hiyo akakimbia kwenda kwenye mkahawa.,Joe anajuta kwamba alienda nje.,2
43,Jen alikuwa akingojea kifurushi siku nzima.,Mwishowe alimwona yule mfanyakazi wa UPS akitembea kuelekea mlango.,Alitoa kifurushi hicho na akaleta ndani.,Alifungua kifurushi hicho kwa kisu.,Ndani ya sanduku hilo kulikuwa na mtoto mchanga.,Jen alipata koti lake jipya ndani ya kifurushi hicho.,2
44,Frank hakutaka kufanya kazi zake za shule.,"Badala yake, alitaka kucheza michezo ya kompyuta.",Wazazi wa Frank walimwambia afanye kazi ya shule kwanza.,Frank alipata kasirani na akaadhibiwa.,Frank alipoteza michezo yake ya video kwa juma moja.,Frank alipata mchezo mpya kabisa.,1
45,Timmy alikuwa akishindana katika mashindano ya pointi tatu shuleni kwake.,Mshindi angekuwa na nafasi ya kushinda $ 1000 chuo scholarship.,Timmy alizoea kupiga alama tatu mwishoni mwa juma lote.,Alikuwa tayari siku ya mashindano ilipofika.,Timmy alishinda mashindano hayo.,Timmy alienda kwenye uwanja wa kupigia mbio siku ya mashindano.,1
46,Drake alihudhuria sherehe siku ya Ijumaa.,Aligundua kwamba mkoba wake ulikuwa umeibiwa kutoka kwenye koti lake.,"Mara moja Drake aliita polisi, lakini mkoba haukupatikana.",Drake alimkabili mwenyeji wa sherehe kuhusu suala hilo.,Na mwenye nyumba akamwambia kwamba yeye pia hakujua.,Drake alimwambia mwenyeji kwamba alitaka kuhudhuria karamu zake tena.,1
47,Bob aligundua kwamba lori lake lilikuwa na gurudumu lililopigwa.,Hakuwa amewahi kubadilisha tairi kabla ya hapo.,Alitoa jack ya tairi na chuma.,Hakuweza kuondoa vifungo.,Bob alimwita mtu fulani ili amsaidie kurekebisha tairi lake lililopigwa.,Bob aliendesha lori lake hadi sokoni.,1
48,Jack amechoka kuandika barua pepe kwenye kompyuta yake ndogo.,Anaamua kwamba anahitaji kununua kompyuta ndogo.,Yeye huchunguza kompyuta mbalimbali hadi anapopata ile iliyo kamilifu.,Hatimaye anaamini.,Sasa Jack anafurahia kujibu barua-pepe.,Jack sasa hutumia huduma ya posta badala ya barua pepe.,1
49,Nywele za Jake zilikuwa zikiongezeka.,Alikuwa na mahojiano ya kazi yanayokuja.,Alimwomba mama yake amkata nywele.,Mama yake alimkata nywele zake vizuri na kumfanya aonekane mtaalamu.,Jake aliosha mikono yake.,Jake alipata kazi hiyo.,2
50,Sean alikuja leo.,"Sam, Sean, na mimi tulicheza michezo.",Walianza kunikasirikia kwa sababu ya jinsi nilivyokuwa mbaya.,Walisema siwezi kucheza tena mpaka nipone.,Niliumia sana.,Nilifurahi sana.,1
51,Sarah alitaka kutuma kadi.,Alienda kwenye ofisi ya posta.,Alilipa kwa ajili ya stampu.,Aliweka barua hiyo katika bahasha.,Sarah alipeleka barua yake mwenyewe.,Barua ya Sarah ilikuwa karibu kufika mahali ilipoandikwa.,2
52,Chuck alikuwa amechoka kutokana na kazi.,Alifunga kazi yake kwa muda.,Alifungua jukwaa hilo ili kuzungumza na wafanyakazi wenzake.,Baada ya Zoltar hizo mbaya hit alihitaji hii mapumziko.,Chuck aliamua kuacha kazi yake.,Kisha akahisi kwamba ni lazima arudi kazini.,2
53,Bob alitumia mifuko ya plastiki ya kununua vitu.,"Kisha, rafiki yake akamwambia kwamba plastiki ni mbaya kwa mazingira.",Bob aliamua kuacha kutumia mifuko yake ya plastiki.,Bob aliwekeza pesa katika mifuko ya kununua vitu.,Bob alitumia mifuko yake ya vyakula ili kwenda kununua vitu.,Bob aliendelea kutumia mifuko yake ya plastiki ya kununua vitu ili kwenda kununua vitu.,1
54,Joe alihitaji picha yake mwenyewe kwa ajili ya mradi fulani.,Aliwapigia simu wasanii fulani wa mahali hapo na kuwauliza bei zao.,Mmoja wa wasanii alikuwa na viwango vya juu.,Joe alifanya miadi na msanii huyo kufanya picha.,Joe aliridhika sana na matokeo.,Msanii huyo alichora paka wa Joe.,1
55,Ann alikuwa akijaribu kuacha kuvuta sigara.,Alijaribu mara kadhaa lakini kila mara alishindwa.,Kisha akaomba apatiwe kiraka cha nikotini ili kimsaidie.,Na alimsaidia kufanya hivyo!,Ann aliongeza mara mbili kiasi cha sigareti alizovuta kila siku.,Ann alifaulu kuacha kuvuta sigara.,2
56,Jen alitumwa kwa shangazi yake kwa majira ya joto.,Alichukia wazo la kuwa mbali na maktaba ya mahali hapo kwa majira yote ya kiangazi.,Alibeba vitabu vichache lakini alivisoma haraka.,"Alipofika, shangazi yake alimpeleka katika chumba cha pekee nyumbani kwake.",Jen aliona vitabu vyake vikiwaka moto.,Chumba kilikuwa kimejaa vitabu ambavyo viliwavutia wasichana.,2
57,Jana Rob alikuwa na kusafisha meno.,Kwa kawaida yeye huwa na hofu sana ya madaktari wa meno.,Lakini kuna muuguzi mpya mrembo ofisini.,Kwa hiyo alikuwa na hamu ya kwenda.,Rob alihisi ametulia baada ya uchunguzi wa kibofu cha mkojo.,Rob alivunjika moyo wakati muuguzi huyo mrembo alipoondoka siku hiyo.,2
58,Joe alipenda kula uchafu.,Alikuwa akifanya tambi za matope kila alipopata nafasi.,Alikuwa akila keki wakati aliposikia kitu kigumu sana kinywani mwake.,Joe alikuwa ameuma jiwe na jino lake likatoka.,Joe alitaka kutafuna mawe zaidi.,Joe aliamua kutokula uchafu tena.,2
59,Rob hajawahi kuwa kwenye rollercoaster.,Marafiki wa Rob walimtolea tiketi ya bure ya kwenda kwenye maonyesho ya Six Flags.,Rob aliamua kwamba anaweza kujiunga nasi.,Wote walienda na kusubiri kwenye foleni ndefu.,Rob alikuwa na marafiki wakarimu.,Marafiki wa Rob hawakuwa na ufikirio.,1
60,Carly alikuwa akingojea Sam ampigie simu.,Aliahidi kufanya hivyo Ijumaa.,Sasa ilikuwa ni Jumamosi marehemu na yeye alikuwa na habari yoyote.,Mwishowe aliamua kumwita.,Sam alijibu simu.,Carly aliagiza chakula cha kwenda nacho nyumbani kupitia simu.,1
61,Amy alirudi nyumbani kutoka shuleni siku ya kuzaliwa kwake na nyumba ilikuwa tupu.,Alihuzunika kwamba kila mtu alikuwa amesahau siku yake ya pekee.,Alitembea kwa huzuni ndani ya chumba cha kulala.,"Mara moja, marafiki na watu wa familia yake waliibuka kutoka mahali walipokuwa wamejificha.",Amy alitabasamu kwa furaha.,Amy alitoka chumbani na kuondoka nyumbani.,1
62,Pan alijaribu kunipiga bila sababu.,"Kwa kuwa nilikuwa na hasira, nilimtetea.",Aliendelea kunishambulia kwa ngumi.,Nilijaribu kumzuia kwa kumtupa chini.,Hatimaye Pan alisimama.,Nilimkumbatia sana Pan.,1
63,Becky ana binamu anayeitwa Ashley.,Becky na Ashley walikuwa marafiki walipokuwa watoto.,Ashley alianza kuwa mjinga alipokuwa mtu mzima.,Alifungwa gerezani kwa kuiba vitambaa vya kujikinga na ugonjwa kutoka duka la dola moja.,Becky alipoteza mawasiliano naye.,Becky anajivunia Ashley.,1
64,Mtoto wa Pam na Tom alilala usingizi mwepesi.,Jirani yao asiyefikiria mara nyingi aliacha mbwa wake nje akilia siku nzima.,"Kila mara Pam alipomlaza mtoto wake, mbwa alianza kupiga kelele.",Pam aliwaza kuhusu kumweka mbwa huyo huru ili akimbilie mbali.,"Usiku mmoja, Pam aliwaruhusu paka wake waingie nyumbani kwake.","Usiku mmoja, Pam aliamua kuwaachilia mbwa hao.",2
65,May alikubaliwa kujiunga na chuo kikuu huko Fredonia.,Alikwenda shuleni kwa basi.,Alitembelea chuo kikuu.,Alipenda kila kitu alichokiona.,Aliacha shule.,Hata aliwapenda maprofesa wake wote.,2
66,Mary alihitaji meno yake yatolewe.,Alitaka daktari wa meno amlaze kitandani.,Alichoweza kufanya ni kuupunguza uzito wa eneo hilo kwa Novocaine.,Mary stared katika hofu.,"Baada ya kuona uso wa Mary, daktari huyo wa meno aliweza kumsaidia.",Mary aliondoka kwa daktari wa meno akiwa na hali nzuri ya akili.,1
67,Ford alijivunia wastani wake wa juu wa GPA.,Alifanya kazi kila jioni ili kuboresha kazi hiyo.,Marafiki wa Ford walimwonya kwamba alikuwa akipoteza furaha.,"Baadaye maishani, Ford akawa mwanasheria mwenye mafanikio.",Ford alihuzunika kwamba alitimiza mengi sana.,Ford alijivunia mafanikio yake.,2
68,Mke wangu anasema kwamba sina shauku.,Kwamba sina mapendezi mengi au mapendezi.,Nilijaribu kubishana naye lakini sikuweza.,Nilitambua kwamba alikuwa sahihi.,Niliamua kubadilika.,Mimi si mseja.,1
69,Nina alitaka mavazi mazuri ya Halloween.,Lakini hakuwa na pesa za kununua vitu vya bei ghali.,Alitafuta mawazo katika nyumba yake.,Kisha akapata vazi zuri bila malipo.,Nina alinunua kichezeo.,Nina alifurahi.,2
70,Veronika alipenda kutembea-tembea msituni.,Siku moja alipokuwa akisafiri alipata nyumba katika mti.,Alipanda ngazi na kushangazwa na vitu vyote katika nyumba.,Ilikuwa na vifaa vya kutosha na samani na blanketi.,Veronika hakupenda sana nyumba hiyo ya mti.,Veronika anaamua kutembelea nyumba hiyo ya miti mara nyingi zaidi.,2
71,Ilikuwa siku nzuri ya masika mapema Machi.,Tracey aliamua kutembea msituni nyuma ya nyumba yake.,Yeye kusikia woodpecker na kuanza kuangalia kwa ajili yake katika miti.,Alijikwaa juu ya mzizi na kuanguka kwenye njia.,Tracey alirudi nyumbani kwa haraka.,Tracey aliacha kuanguka.,2
72,Bob alikuwa na kiu sana na alitaka soda.,"Kwa kusikitisha, hakuwa na pesa.",Bob aliingia katika kituo cha mafuta na kuuliza kama angeweza kunywa soda.,Msimamizi wa benki alimwuliza kama alikuwa na pesa.,Alisema hapana na kuondoka katika kituo cha mafuta.,Aliamua kwenda kukimbia.,1
73,Jim alikuwa akingojea kwenye uwanja wa ndege.,Mke wake angekuja baada ya saa moja.,Alikuwa amechoshwa sana.,Kisha akaamua kuanza kusoma kitabu chake.,Jim alimwona mkewe baada ya saa moja.,Jim aliondoka kabla ya mke wake kufika.,1
74,Joe alitaka sana kuhudhuria Chuo Kikuu cha Columbia.,"Alifanya kazi kwa bidii sana shuleni, alikuwa katika timu ya soka.",Aliwekwa kwenye orodha ya kungojea.,"Ingawa alivunjika moyo, alijitahidi kadiri alivyoweza hadi mwisho.",Joe bado alijivunia sana kazi yake ngumu.,Joe aliamua kwamba hataki kwenda chuo kikuu.,1
75,"Rafiki ya Gina, Tami, alikuwa na folda ambayo hakutaka mtu yeyote awe nayo.",Gina alitaka kuwa na kifaa hicho lakini hakujua mahali pa kukipata.,Sasa Tami alikuwa na Lisa Frank mpya Mlinzi wa Mtego.,Gina alikuwa na wivu kwa kuwa alitaka pia kuwa na mtoto.,Gina alitafuta kwenye eBay na kupata moja ambayo angeweza kununua.,Gina alipanda shamba lote bila kusaidiwa na mtu yeyote.,1
76,Leah alikuwa na mti mzuri wa Krismasi nyumbani kwake.,"Siku moja, aliondoka kwenda dukani.","Aliporudi, mti huo ulivunjwa.",Paka wake alikuwa amepanda juu yake na kuirudisha chini!,Leah aliamua kwamba alipenda mti juu ya sakafu kuliko kusimama.,Leah alimwadhibu paka wake.,2
77,Peter alikuwa ametumia kiti hichohicho kwa miaka mingi.,Ilikuwa ikitoka.,Aliamua kununua kiti kipya chenye starehe zaidi.,"Ilipopatikana, Petro alifurahi sana.",Peter alifikiri kwamba huenda ikawa yenye kustarehesha zaidi kuliko ile ya zamani.,Peter alimruhusu mbwa wake atumie kiti hicho.,1
78,Rex ni kupata tayari kwa ajili ya chama usiku wa leo.,Alitambua kwamba hakuwa ameandaa chochote kwa ajili ya wageni kula pamoja na jibini.,Rex anakimbia nje ili kupata mkate.,Yeye hukikata vipande-vipande ili iwe rahisi kula.,Rex alifunga safari ndefu ya kuvuka bahari.,Kila mtu alifurahia jibini na mkate.,2
79,Ali huchukua gari moshi kila siku kwenda kazini.,Siku moja alikuwa mgonjwa sana lakini bado akaenda kazini.,Alifanya kazi kwa bidii siku nzima na hata akaenda na kazi nyumbani.,Alipanda gari-moshi na kulala usingizi.,Alikuwa mfanyakazi mvivu.,Alikosa kituo chake cha basi na akalazimika kurudi nyumbani kwa basi.,2
80,Timu ya mpira wa miguu ilikuwa imefanya kazi kwa bidii msimu wote.,Walikuwa wameshinda kila mchezo na kufikia ubingwa.,Kulikuwa na sekunde chache tu za kumaliza na mchezo ulikuwa umeambatana.,Quarterback kupitia kupita kwa muda mrefu na mpokeaji alifunga.,Umati ulipiga timu hiyo makofi kwa sauti kubwa.,Umati wote ulikimbia kutoka kwenye viti vyao na kupiga makofi kwa sauti kubwa.,2
81,Tunaishi katika jengo lenye orofa ndefu.,"Siku moja upepo ulikuwa wenye nguvu, kwa sababu ya urefu wa jengo hilo.",Upepo ulipeperusha matawi ya miti sana mke wangu hakuweza kulala.,Upepo pia uliangusha kebo ya intaneti.,Mimi na mke wangu tulikuwa na huzuni sana kupoteza uhusiano wetu wa intaneti.,Tulipenda upepo mkali na kukosa usingizi.,1
