,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
13,Пабло воли да једе црве.,У школи је прочитао књигу о томе како то учинити.,Он их пржи у маслиновом уљу.,Он то воли да ради барем једном месечно.,Пабло ужива у црвима и сматра их деликатесом.,Пабло не воли да једе црве.,1
14,Кира је увек волео јапанску културу.,Многи њени омиљени филмови били су на јапанском.,Одлучила је да путује тамо.,Годинама је штедила новац за путовање.,Све је новац потрошила на ципеле.,То је било најбоље путовање у њеном животу.,2
15,Глен је био у расположењу за шетњу.,Одели су му јакну и изашли напољу.,"Док је ходао на тротоару, споткнуо се и раскинуо колено.",Глен је устао и хрцао назад до своје куће.,Глен је пробегао своје најбоље време у маратону.,Глен се заклео да више никада неће ходати.,2
16,Исус је провео дан бришући намештај.,Како се приближавала ноћ он је прегледао посао који је урадио.,Све је изгледало сјајно и ново.,Исус је позвао све своје пријатеље на забаву те вечери.,Рекли су да је његов намештај лепо изгледао.,Његови пријатељи су му полирали намештај.,1
17,Недавно сам ишао у продавницу.,"Док сам пролазила кроз излаз, осетила сам хладно, тврдо челице на руци.",Био сам шокиран што ме је прегазио аутомобил!,Возач се веома извињавао након што је видео да сам погођен.,"Рекао сам им да је у реду, а онда сам отишао.",Возач аутомобила се веома наљутио на мене.,1
18,Џинова сестра је порежела глежник на сломљено стакло.,Крв је текла по њој до ноге и у обућу.,"Када је видела крв, побегла је кући.","Џина је трчала иза ње, али није могла да прати.","Када су стигли кући, сви су јели сладолед.",Џинова сестра је отишла код доктора.,2
19,Један мали дечак је био у трећем разреду.,"Био је веома паметан, али му је било тешко да чита.","Кад год би читао на глас, његови другови су му се смејали.",Почео је да вежба читање сваког дана.,Мали дечак је прихватио да се никада неће побољшати.,"На крају године, добро је завршио тест читања.",2
20,Розијев клас је имао малу забаву.,Одлучила је да направи салат од воћа за све.,Она је потрошила много новца на овоће и много времена на припрему.,На дан забаве она је ухватила огромну посуду са плодном салата.,Розијев клас је поделио салат од воћа.,Рози је кувшину са плодном салата у фрижидеру држала код куће.,1
21,Кели је била срећна што је добила нови телефон.,Она је све време носила с собом.,"Нажалост, она га је разбила.","На срећу, ипак је успела да је поправи.",Магазин јој је дао поштену цену за поправку.,Кели је купила нови телефон.,1
22,"Док сам била на колеџу, упознала сам једног старијег човека.","Имао сам 22 године, а он је имао 38.",Имали смо добро разумевање и добро смо се дружили.,Били смо заједно све време док сам био тамо.,Имам лепе успомене на то време.,Имам негативне успомене о том времену.,1
23,Боб је желео да буде у школској представи.,Он је пажљиво проучавао улогу.,Често је репетисао своје реплике.,"На дан аудиције, урадио је одличан посао.",Боб је био веома поносан.,Боб се веома стидио.,1
24,Џаки је назначена за надгледника 8. разреда.,Она је завидна читавом разреду.,Скуларке су често угрожавале њен посао.,Они би украли Џакијеве пролази.,Директор је суспендовао њене бучне другове из разреда.,Њени другови су добили награде за своје понашање.,1
25,Мој отац је управо добио нови аутомобил.,"Да бисмо то прославили, сви смо отишли на вожњу.",Још један аутомобил је прешао знак СТОП и ушао у нас.,Ударио сам прозоре довољно јако да га скршим.,Излезео сам и ја и мој тата смо били у реду.,Обоје смо били срушени од стране возила.,1
26,"Моја нећака воли филм ""Замрзнути"".",Она увек жели да је носи.,Она пева по кући.,"Она воли да вришти, пусти га.",Пева га више пута.,Она воли спорт и мрзи принцезе ствари.,1
27,"Алекс је дриблирао по терену, док је његов тим био у губитку два поена.",Погледао је на таблу и видео да је остало само 5 секунди.,Његов ум је трчао док је покушавао да пронађе отвореног човека.,Одбранитељи су се као лепак лепили на његове саиграче.,Звукао је звоник и његов тим је победио у утакмици.,Покушао је да унесе троцки и промашио.,2
28,Дошао сам у библиотеку и седео.,"Када сам се осврнуо, приметио сам дете.",Угледао ме је неко време.,Постао сам фрустриран и устао са седишта.,Није ме занимало шта је дечак радио.,Питао сам га шта му је проблем.,2
29,Ива и Брант су покушавали да зачете дете.,Покушавали су шест месеци без успеха.,"На састанку са лекаром, изразили су обесхрабрење.",Али онда су видели доктора како се широко насмеја.,Брант ће отказнути своје планове о киднаповању детета.,Пар ће бити срећан што ће сазнати да чекају бебу.,2
30,Кетрин је увек била заинтригована спортом - керлингом.,Катарина воли да гледа спортисте како се баве спортом на телевизији.,"Једног дана, Кетрин је одлучила да посети сесију за вежбање керлинга.","На вежбању, један од спортиста је позвао Катрин да игра.",Кетрин је тада почела да вежба сваки дан и постала је добра у томе.,Катрин је мислила да је кърлинг досадан.,1
31,Френсис је увек са жељом учио да вози.,Коначно је довољно стар да добије возачку дозволу.,Френсис се веома труди да би добио дозволу.,Лакше пролази у возачком испиту.,Францис је заиста поносан на своје достигнуће.,Францис је одлучио да би радије користио јавни превоз.,1
32,"Учерашњег дана сам се лепо провео гледајући ""Скршач ореха"".",Апсолутно сам је волео.,Док су плесачи украшавали сцену било је прелепо.,Осећао сам се поносно што сам видео емисију.,Заклела сам се да га више никада нећу видети.,Желео сам да је поново видим.,2
33,Пробудио сам се за часове у 8:30 ујутру.,Поспано сам устао из кревета и туширао се.,Брзо сам доручакнула и кренула у час.,"Након 50 минута часова, почео сам да се враћам у свој дом.",Одлучио сам да се поново вратим на часове.,"Када сам стигао тамо, заспио сам.",2
34,Гари је желео да привуче Лисину пажњу.,Једног дана одлучује да Лизи напише песму.,"Следећег дана у школи, Гари види Лизу у ходнику.",Гари се веома широко насмеја Лиси и предаје јој песму.,Гари је снажно ударио Лису и отишао.,Лиса признаје да је такође заљубљена у Гарија.,2
35,Карлос је увек желео да посети Француску.,Он одлучује да би пре него што оде требало да научи да говори француски.,Упише се у ноћни курс и веома упорно учи.,Коначно Карлос добро говори француски.,Карлос резервише лет за Аустралију.,Карлос највише користи свој француски на путовању у Париз.,2
36,Ларс је увек желео да проба фотографију.,"Његов пријатељ је био одличан фотограф, али никада није покушао.","Једног дана купио је једноставан, али квалитетни фотоапарат.","Од тог дана, Ларс је снимао природу сваки дан.",Ларс се заљубио у фотографију.,Ларс је мрзео фотографију.,1
37,Купио сам телевизор у продавници електроника.,То је велики плоски екран са високом квалитетом слике.,"Послодник ме је убедио да купим гаранцију за то, за сваки случај.",Недељу дана касније телевизор је пао са мог зида и сломио се.,Успео сам да је поправим уз гаранцију.,Послије је запосленик пронађен мртав.,1
38,Рајан је био у парку.,И видео је девојчицу која је држала балон.,"Када је одлазио из парка, видео је исти балон заглављен у дрвету.",Полезео је на дрво да би узео балон.,Рајан је онда намерно пуцао балон.,Рајан је затим пронашао девојку и дао јој балон који је изгубила.,2
39,Џен је рекла да мора да пошаље свој биографија.,Схватила је да јој је био неправилан формат.,Предала је сав садржај на прави шаблон.,"Додала је информације о свом последњем послу, ажурирала је свој резиме.",Онда је послала свом менаџеру.,Јен је мрзела прање посуда.,1
40,Нил је обилазио град Фес.,Он је пробао њихову етничку кухињу.,Онда је отишао у куповину сувенира.,Он је приметио да је у Фезу такође било и сјајних уличних извођача.,Нил се лепо забављао.,Нил и Фез су постали најбољи пријатељи.,1
41,Морао сам да изведем свог пса на шетњу.,Мој комшилија захтева каиш.,Прогледао сам кућу да пронађем каиш.,Нисам је могао наћи.,Одлучио сам да одведем свог пса у двориште.,Пустио сам свог пса у кућу.,1
42,"Био је то светли, топли дан.",Тако је Џо помислио да би било лепо да се прошетамо.,Одлучио је да оде до локалне кафиће.,"Али на пола пута, почео је да се умори.",Зато је побегао у кафић.,Џо жали што је отишао напољу.,2
43,Јен је цео дан чекала пакет.,На крају је видела да човек из УПС-а иде ка вратима.,"Он је испоручио пакет, а она га је донела унутра.",Отворила је пакет ножем.,У кутији је била новорођена беба.,Јен је пронашла свој нови капут у пакету.,2
44,Френк није желео да ради домаће задатке.,Уместо тога је желео да игра видео игре.,Френкови родитељи су му рекли да прво уради домаћи задатак.,Френк је имао бес и био је кажњен.,Френк је недељу дана био без видео-игара.,Френк је добио потпуно нову игру.,1
45,Тимми је учествовао у трци у својој школи.,Победник би имао шансу да освоји стипендију од 1000 долара.,Тими је вежбао пуцање у три тачке цео викенд.,Био је спреман када је дошао дан такмичења.,Тим је победио на такмичењу.,Тими је отишао на писта за вожњу на дан такмичења.,1
46,Дрејк је присуствовао забави у петак.,Открио је да му је новчаник украден из капуте.,"Дрејк је одмах позвао полицију, али новчаник није пронађен.",Дрејк се суочио са домаћином забаве о том питању.,И домаћин му је рекао да ни он не зна.,Дрејк је рекао домаћину да жели поново да присуствује његовим забавама.,1
47,Боб је открио да му је пукнула гума.,Он никада раније није мењао гуму.,Извукао је диркач за гуме и гвожђе.,Није могао да уклони вијке.,Боб је позвао некога да му поправи пукну гуму.,Боб је возио камион до тржишта.,1
48,Џек је уморан од писања е-поште на свом таблету.,Одлучује да мора да инвестира у лаптоп.,Он истражује различите лаптопе док не пронађе савршену.,На крају је купио.,Сада Џек заиста ужива у одговору на мејлове.,Џек сада користи поштанску услугу уместо е-поште.,1
49,Џејкова коса је постала превише дуга.,Ускоро је имао интервју за посао.,Молио је мајку да му исече косу.,Његова мајка му је направила лепо и професионално фризуру.,Џејк је опрао руке.,Јаке је добио посао.,2
50,Шон је дошао данас.,"Сам, Шон и ја смо играли игре.",Почели су да се љуте на мене због тога колико сам лоша.,Рекоше да не могу више да играм док не опоравим.,Била сам стварно повређена.,Био сам заиста задовољан.,1
51,Сара је хтела да пошаље картицу.,Отишла је на пошту.,Платила је за марке.,Ставила је писмо у коверту.,Сара је сама доставила писмо.,Сара је ускоро послала писмо на место одласка.,2
52,Чак је био уморан од рада.,На неко време је затворио рад.,Отворио је форум да би разговарао са колегама.,После тих прљавих Золтар удара је требало да се одмори.,Чак је одлучио да напусти посао.,Онда је осећао да мора да се врати на посао.,2
53,Боб је користио пластичне торбе за куповину да би отишао у куповину.,Онда му је пријатељ рекао да је пластика штетна за животну средину.,Боб је одлучио да се одрекне пластичних торби.,Боб је уложио у неке торбе за намирнице које се могу поново користити.,Боб је користио своје торбе за намирнице које се могу поново користити да би отишао у куповину.,Боб је наставио да користи своје пластичне торбе за куповину да би отишао у куповину.,1
54,Џо је морао да направи свој портрет за један пројекат.,Позвао је неке локалне уметнике и питао их за цене.,Један од уметника је имао разумну цену.,Џо је договорио са тим уметником да направи портрет.,Џо је био веома задовољан резултатима.,Уметник је насликао Џојеву мачку.,1
55,Ен је покушавала да престане да пуши.,"Неколико пута је покушала, али је увек пропала.",Затим је применила никотински пластир како би јој помогао.,И помогао јој је!,Ен је удвостручила количину цигарета које је пушила сваког дана.,Ен је успела да престане да пуши.,2
56,Јен је послата код тетке током лета.,Ненавидела је помисао да буде далеко од своје локалне библиотеке целог лета.,"Узла је са собом неколико књига, али их је брзо претражила.","Када је стигла, њена тетка је одвела у посебну собу у својој кући.",Јен је видела да јој књиге горе у камини.,У соби је било пуно полица са књигама које су се допале девојкама.,2
57,Учерашње је било Робово чишћење зуба.,Обично се заиста плаши зубара.,"Али, у канцеларији је нова слатка сестра.",Зато је био узбуђен да иде.,Роб се осећао освежен после колоноскопије.,Роб је био разочаран када слатка медицинска сестра није била тамо тог дана.,2
58,Џо је волео да једе прљавштину.,Направио је пециве од блата сваки пут када је имао прилику.,"Јео је питу, када је осетио нешто веома чврсто у устима.",Џо је угризао камен и избио зуб.,Џо је желео да жвака још камења.,Џо је одлучио да више не једе земљу.,2
59,Роб никада није био на узлетима.,Роб-ови пријатељи су му понудили бесплатну карту за Six Flags.,Роб је одлучио да се придружи.,Сви су отишли и чекали у дугом реду.,Роб је имао великодушне пријатеље.,Робови пријатељи су били немисливи.,1
60,Карли је чекала да је Сем позове.,Обећао је да ће у петак.,Сада је касно суботу и није чула ништа.,На крају је одлучила да га позове.,Сам је одговорио на телефон.,Карли је наредила да једе преко телефона.,1
61,Ејми је на рођендан дошао из школе у празан дом.,Била је узнемирена што су сви заборавили њен посебан дан.,Она је тужно ушла у дневну собу.,Изненада су њени пријатељи и породица изашли из скривалишта.,Ејми се одушевено насмеши.,Ејми је изашла из собе и напустила кућу.,1
62,Пан ме је покушао ударити без очигледног разлога.,"Како сам био љут, једноставно сам бранио њен ударац.",Она је наставила да ме удара.,"У настојању да је зауставим, бацио сам је на земљу.",Пан је коначно престао.,Ја сам се снажно загрлила у Пена.,1
63,Беки има рођака по имену Ешли.,Беки и Ешли су биле пријатељице када су биле мале.,Ешли је почела да буде глупа када је одрасла.,Отишла је у затвор због крађе тампона из продавнице.,Беки је изгубила контакт са њом.,Беки је поносна на Ашли.,1
64,Беба Пам и Тома је лако спавала.,Њихов немислен комшија често је цео дан остављао свог пса напољу да лаје.,"Сваки пут када је Пем успивала своју бебу, пас је почео да лаје.",Пем је фантазирала да ће пустити пса да би он побегао.,"Једна ноћ, Пам је пустила своје мачке у свој дом.","Једног вечера, Пам је одлучила да пусти псе.",2
65,Меј је примљена на колеџ у Фредонији.,Узела је аутобус до нове школе.,Истражила је кампус.,Волела је све што је видела.,Избацила је школу.,Чак су јој сви професори били омиљени.,2
66,Мери је морала да извуче зубе.,Желила је да је зубар успи.,Све што је могао да уради је да онемогући подручје новкаином.,Мери је у ужасу гледао у њега.,"Након што је видео њен израз, стоматолог је могао да помогне Мери.",Мери је отишла од стоматолога у добром расположењу.,1
67,Форд је био поносан на свој висок просек.,Сваке вечери је радио на задацима како би га побољшао.,Фордови пријатељи су га упозорили да је пропустио забаву.,Касније је Форд постао успешан адвокат.,Форд је био тужан што је постигао толико.,Форд је био поносан на своја достигнућа.,2
68,Жена ми каже да ми недостаје страст.,Да немам много хобија или интереса.,"Покушао сам да се расправљам, али нисам могао.",Схватио сам да је била у праву.,Одлучио сам да се променим.,Ја сам неудана.,1
69,Нина је хтела леп костим за Ноћ вештица.,Али није могла себи да приушти ништа луксузно.,Прегледала је кућу у потрази за идејама.,Онда је пронашла сјајан костим бесплатно.,Нина је купила играчку.,Нина је била узбуђена.,2
70,Вероника је волела пешачење у шуми.,Једног дана је била на стази и пронашла кућу на дрвету.,Полезела је по степеницама и била је одушевљена свим стварима у кући.,Била је у потпуности опремљена са намештајем и одећама.,Вероника није баш волела кућу на дрвету.,Вероника одлучује да чешће посећује кућу на дрвету.,2
71,Био је диван пролећни дан почетком марта.,Треси је одлучила да иде на шетњу у шуму иза своје куће.,Она је чуо дикта и почео да га тражи у дрвећу.,Она се спотицала о корен и пала на стазу.,Треси је побегла кући.,Трејси је превазишла свој пад.,2
72,Боб је био веома жедан и желео је соду.,"Нажалост, није имао новца.",Боб је ушао на бензинску пумпу и питао да ли може да пије соду.,Касиер га је питао да ли има новца.,Рекао је не и напустио бензинску пумпу.,Одлучио је да оде на трчање.,1
73,Џим је чекао на аеродрому.,Његова жена ће бити тамо за сат времена.,Био му је веома досадно.,Затим је одлучио да настави са књигом.,Џим је након сат времена видео своју жену.,Џим је отишао пре него што се његова жена појавила.,1
74,Џо је заиста желео да похађа Колумбијски универзитет.,"У школи је био напоран, био је у фудбалском тиму.",Ставио сам га на листу чекања.,"Иако је био разочаран, он је све до краја давао све од себе.",Јое је још увек био веома поносан на свој напоран рад.,Џо је одлучио да не жели да иде на колеџ.,1
75,Џина је пријатељица Тами имала папку коју није хтела да неко други има.,"Џина је желела да купи једну, али није знала где да је купи.",Сада је Тами имала нову Лизу Франк Трапер Кипер.,Џина је била љубоморна јер је и она желела један.,Џина је проверила на ебају и пронашла је једну коју је могла да приушти.,Џина је косила цео двориште и нико јој није помогао.,1
76,Леа је имала лепо божићно дрво у својој кући.,Једног дана је отишла у продавницу.,"Када се вратила, дрво је било срушено.",Њена мачка је пењала по њему и срушила га!,Леа је одлучила да јој се више допада дрво на поду него стојање.,Леа је казнила своју мачку.,2
77,Питер је годинама користио исту столицу.,Постао је износ.,"Одлучио је да купи нову, удобнију столицу.","Када је стигао, Петар је био веома срећан.",Питер је помислио да би можда била удобнија од старе.,Питер је дозволио свом псу да користи столицу за себе.,1
78,Рекс се припрема за вече вече вече.,Он схвата да није припремио ништа за госте да једу са сиром.,Рекс је отишао да купи багете.,"Он га наједе на танке, равномерне комаде како би га било лако јести.",Рекс је отишао на дуго путовање преко океана.,Сви су уживали у сиру и хлебу.,2
79,Али увек вози возом на посао сваки дан.,"Једног дана је била веома болесна, али је ипак отишла на посао.","Цјелодневно је напорно радила, па је чак и домаћи посао носила.",Ушла је у воз и заспала.,Била је мрзљива запосленица.,Пропустила је станицу и морала је да се врати кући аутобусом.,2
80,Фудбалски тим је упорно радио целу сезону.,Они су победили у свакој утакмици и стигли до шампиона.,Остало је само неколико секунди на часовнику и игра је била равна.,Квартербек је прошао дугу пролаз и пријемник је постигао.,Публика је гласно испивала тим.,Све публика је устала са својих места и страшно је аплаудирала.,2
81,Живимо у високој згради.,"Једног дана је био јак ветар, делимично због висине зграде.",Ветар је толико дигао гране дрвећа да моја жена није могла да спава.,Ветар је такође срушио интернет кабел.,Моја жена и ја смо били веома несрећни што смо изгубили интернет везу.,Волели смо јак ветар и недостатак сна.,1
82,Кејт је хтела да купи нову тастатуру за свој рачунар.,Месецима је штедила да би могла да купи добру клавира.,Кејт је коначно отишла на интернет и наручила своју клавира!,Неколико дана је узбуђено чекала његов долазак.,Онда је отказала своју наруџбу.,Онда је њена тастатура стигла пошту.,2
83,Јон је дипломирао на колеџу и почео да тражи посао.,Сваког дана је пријављивао се за посао у свом пољу.,"Три недеље након што је почео, добио је позив.",Особа која је позвала је питала да ли би био заинтересован за интервју.,Јон је прихватио.,Јон је одбио понуду.,1
84,Џули је волела да чита све што је могла да нађе.,Већину времена је провела у библиотеци.,Њен омиљени библиотекар је била гђа Ватсон.,Г-ђа Ватсон је видела Џулијеву љубав према књигама и понудила јој посао.,Џули је радо прихватила!,Џули је ударила пријатељицу у око.,1
85,"Ејмина породица је ишла у ""Шест застава"".",Трпеливо је седела у аутомобилу и чекала да дође.,Када су стигли она је седела на коленима и прегледала парк.,Чекала је један сат у реду да би се возила на највећем ролер костеру.,Ејми је била веома узбуђена што је била у парку.,Ејми је мислила да је парк досадан.,1
86,Стив је био у журби да стигне на фудбалску утакмицу.,На аутопуту је Стив возио врло брзо.,Патруља аутопутева зауставила је Стивов аутомобил.,Полицајац је Стиву изписао казницу због претеране брзине.,Стив је био задовољан.,Стив је био узнемирен.,2
87,Моја ћерка је отишла на своју прву рођенданску забаву за пријатеља.,Била је толико узбуђена што је водила на забаву.,Неку недељу није говорила о ничему другом.,Отишла је на забаву и уживала.,Одлучила је да више никада не иде на забаву.,"Када је дошла кући, одмах је заспала, исцрпљена.",2
88,Бобу је био потребан новац за храну.,Био је тужан што није могао да једе јер није имао новца.,Одлучио је да напише књигу о свом тешком животу.,Људи су одмах похвалили књигу и купили хиљаде примерака!,Добитак од продаје књига дао је Бобу довољно новца за храну.,Реакција јавности на књигу значи да Боб и даље гладује.,1
89,Данас сам завршио свој први маратон.,Било је око шест миља и ја сам стварно напорно радио.,Тренирао сам се за то око три месеца.,Увек је било на мојој листи за урадити у животу,Никада нисам био срећнији.,Стварно сам разочаран у себе.,1
90,Боби је сволио своју плодну рулу у облик авиона.,Он је рана руку и бацао руло-ап авион као јако што је могао.,"Међутим, био је превише тежак и пао је као цигла.",Боби је одлучио да авиони треба да буду направљени од папира.,Боби је имао пет година.,Боби је имао 35 година.,1
91,Сам је гледао звезде једне ноћи.,Одједном је седео управен.,"Он је видео блиставу, покретну звезду!",Трчао је да то покаже свом оцу.,Његов отац се смејао јер је звезда у ствари био авион са светлима.,Семов отац је био срећан што се његов син интересује за геологију.,1
92,Џон и Мег су излазили пет година.,Џон је волео Мег и желео је да се ожени њом.,"Одлучио је да је затражи да се уда за њега вечерас, после филмова.","Када су изашли из филма, он је изненада пао на колена.",Почео је да виче на Мег.,Он је затражио да се уда за њега.,2
