,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
10,O Bob temia o seu primeiro dia de trabalho num restaurante de peixe.,Ele planejava esperar para vestir seu uniforme náutico.,O Bob começou a fazer hambúrgueres de peixe depois de vestir o uniforme.,"Estava tão ocupado, que se esqueceu de voltar a vestir as roupas de rua.",O Bob adorou tanto a roupa que a mostrou aos amigos.,O Bob saiu depois do trabalho vestido com o fato de marinheiro.,2
11,Um amigo veio visitar-me.,Disse-lhe que o meu cão morde.,Ela não me ouviu.,Ela tentou acariciar-o e brincar com ele.,O meu cão mordeu-a.,O meu cão fugiu.,1
12,O Lester sempre quis ser mais artístico.,"Um dia, ele decide tentar desenhar uma flor.",Senta-se em frente a uma orquídea linda e começa a desenhar.,O desenho do Lester sai muito bem.,Ele pendura o quadro na parede da sala.,Decide nunca mais desenhar nada.,1
13,O Pablo gosta de comer vermes.,Ele leu um livro na escola sobre como fazer isto.,Ele frita-os em azeite.,Ele gosta de fazer isto pelo menos uma vez por mês.,Pablo gosta de vermes e os considera uma iguaria.,O Pablo não gosta de comer vermes.,1
14,A Kira sempre gostou da cultura japonesa.,Muitos dos seus filmes favoritos eram em japonês.,Ela decidiu que iria viajar para lá.,"Durante anos, ela economizou dinheiro para a viagem.",Gastou todo o dinheiro em sapatos.,Foi a melhor viagem da vida dela.,2
15,O Glen estava com vontade de dar um passeio.,Ele vestiu o casaco e saiu.,"Enquanto caminhava na calçada, tropeçou e abriu o joelho.",Glen levantou-se e coxeou de volta para casa.,O Glen correu a melhor maratona de sempre.,O Glen jurou que nunca mais ia andar.,2
16,Jesus passou o dia a polir a mobília.,"À medida que a noite se aproximava, ele revisava o trabalho que tinha feito.",Tudo parecia brilhante e novo.,Jesus convidou todos os seus amigos para uma festa naquela noite.,Disseram que a mobília dele era bonita.,Os amigos dele poliam a mobília.,1
17,Estava a ir à loja recentemente.,"Enquanto passava por uma saída, senti um frio, um aço duro no meu braço.",Fiquei chocado por ter sido atropelado por um carro!,O motorista pediu desculpa depois de ver que fui atropelado.,Disse-lhes que estava tudo bem e depois fui-me embora.,O motorista do carro ficou muito zangado comigo.,1
18,A irmã da Gina cortou o tornozelo com vidro partido.,O sangue escorreu pelo pé e no sapato.,"Quando viu o sangue, correu para casa.","A Gina correu atrás dela, mas não conseguiu acompanhá-la.","Quando chegaram a casa, todos comeram gelado.",A irmã da Gina foi ao médico.,2
19,Um menino estava no terceiro ano.,"Ele era muito inteligente, mas tinha dificuldade em ler.","Sempre que ele lia em voz alta, seus colegas riam dele.",Começou a praticar a leitura todos os dias.,O menino aceitou que nunca melhoraria.,"No final do ano, ele se saiu bem no teste de leitura.",2
20,A turma da Rosie estava a dar uma festa.,Ela decidiu fazer uma salada de frutas para todos.,Ela gastou muito dinheiro com a fruta e muito tempo preparando-a.,No dia da festa ela colheu uma tigela enorme de salada de frutas.,A turma da Rosie partilhou a salada de frutas.,A Rosie guardava a tigela de salada de frutas no frigorífico em casa.,1
21,A Kelly ficou feliz por ter o seu novo telefone.,Ela levava-o consigo para todo o lado.,Infelizmente ela partiu-o.,"Felizmente, ela conseguiu consertá-lo.",A loja deu-lhe um preço justo para o consertar.,A Kelly comprou um telefone novo.,1
22,"Quando estava na faculdade, conheci um homem mais velho.",Eu tinha 22 anos e ele tinha 38.,Tínhamos um bom entendimento e passámos um bom tempo juntos.,Ficámos juntos o tempo todo que lá estive.,Tenho boas lembranças daquela época.,Tenho memórias negativas daquela época.,1
23,O Bob queria estar na peça da escola.,Ele estudou o papel com cuidado.,Ele ensaiou as suas falas muitas vezes.,"No dia da audição, ele fez um óptimo trabalho.",O Bob estava muito orgulhoso.,Bob estava muito envergonhado.,1
24,A Jackie foi designada supervisora de sala do oitavo ano.,Ela é invejada por toda a turma.,Os colegas de classe muitas vezes colocavam seu emprego em risco.,Roubaram os passes de entrada da Jackie.,O diretor suspendeu os colegas barulhentos.,Os colegas dela receberam prêmios pelo seu comportamento.,1
25,O meu pai tinha acabado de comprar um carro novo.,"Para comemorar, fomos todos dar uma volta.",Um outro carro passou um sinal de stop e bateu em nós.,Bati com força suficiente na janela para a partir.,Eu saí e eu e o meu pai estávamos bem.,Fomos ambos esmagados pelo veículo.,1
26,"A minha sobrinha adora o filme ""Frozen"".",Ela quer sempre que o ponham.,Ela anda por casa a cantar.,"Ela adora gritar, ""deixe-me ir"".",Ela canta-o uma e outra vez.,Ela adora desporto e odeia coisas de princesa.,1
27,"O Alex estava a driblar no campo, com a equipa a perder dois pontos.",Ele olhou para o placar e viu que só restavam 5 segundos.,A sua mente correu enquanto tentava encontrar um homem aberto.,Os defensores estavam ligados aos seus companheiros como cola.,O alarme tocou e a equipa dele ganhou o jogo.,Tentou um três pontos e falhou.,2
28,Entrei na biblioteca e sentei-me.,"Quando olhei em volta, reparei num miúdo.",Ele ficou a olhar para mim durante algum tempo.,Fiquei frustrado e levantei-me do meu lugar.,Não me importava com o que o miúdo fazia.,Perguntei-lhe qual era o problema dele.,2
29,A Iva e o Brant estavam a tentar conceber um filho.,Eles estavam tentando por seis meses sem sucesso.,"Na consulta com o médico, expressaram desânimo.",Mas então viram o médico sorrindo amplamente.,O Brant vai cancelar os planos dele de raptar uma criança.,O casal vai ficar feliz por saber que têm um bebé a caminho.,2
30,Catherine sempre se interessou pelo esporte de curling.,Catherine adora ver os atletas a praticarem o desporto na televisão.,"Um dia, Catherine decidiu que iria a uma sessão de treino de curling.","No treino, um dos atletas convidou Catherine para jogar.",Catherine então começou a praticar todos os dias e ficou boa nisso.,A Catherine achou o curling chato.,1
31,O Francis sempre desejou aprender a conduzir.,Finalmente ele tem idade suficiente para ter uma carta de condução.,O Francis estuda muito para conseguir a licença.,Ele passa seu exame de habilitação com facilidade.,O Francis está muito orgulhoso da sua conquista.,Francis decide que prefere ir de transporte público.,1
32,Ontem diverti-me muito a ver o Quebra-Nozes.,Adorei mesmo.,"Enquanto os dançarinos enfeitavam o palco, era lindo.",Senti-me honrado por ter visto o programa.,Jurei nunca mais vê-lo.,Queria vê-lo de novo.,2
33,Acordei para a minha aula às 8:30 da manhã.,Eu sonolenta saí da cama e tomei um banho.,Tomei o café da manhã rapidamente e comecei a caminhar para a aula.,"Após 50 minutos de aula, comecei a voltar para o meu dormitório.",Decidi voltar à aula.,"Quando cheguei lá, fiz uma soneca.",2
34,O Gary queria chamar a atenção da Lisa.,Um dia ele decide escrever um poema para Lisa.,"No dia seguinte, Gary vê Lisa no corredor da escola.",O Gary sorri à Lisa e entrega-lhe o poema.,O Gary dá um tapa na Lisa e vai-se embora.,A Lisa confessa que também tem uma queda pelo Gary.,2
35,Carlos sempre quis visitar a França.,Ele decide que deve aprender a falar francês antes de ir.,Ele inscreve-se numa aula noturna e estuda muito.,Finalmente o Carlos fala francês muito bem.,O Carlos reserva um voo para a Austrália.,Carlos aproveita ao máximo o seu francês na viagem a Paris.,2
36,O Lars sempre quis experimentar a fotografia.,"O amigo dele era um excelente fotógrafo, mas nunca tinha tentado.","Um dia comprou uma câmara simples, mas de alta qualidade.","A partir daquele dia, Lars tirou imagens da natureza todos os dias.",Lars apaixonou-se pela fotografia.,O Lars odiava a fotografia.,1
37,Comprei uma televisão numa loja de eletrônicos.,É um grande ecrã plano com uma imagem de alta qualidade de definição.,"O empregado convenceu-me a comprar uma garantia para ele, só para o caso.","Uma semana depois, a televisão caiu da parede e partiu-se.",Consegui arranjá-lo com a garantia.,O empregado foi encontrado morto mais tarde.,1
38,O Ryan estava num parque.,E ele viu uma menina com um balão.,"Quando ele estava saindo do parque, viu o mesmo balão preso numa árvore.",Ele subiu na árvore para recuperar o balão.,O Ryan então rebentou o balão de propósito.,O Ryan encontrou a rapariga e deu-lhe o balão que ela tinha perdido.,2
39,O gerente da Jen disse-lhe que ela precisava de fazer o upload do seu currículo.,Ela percebeu que o currículo não estava bem formatado.,Ela transferiu todo o conteúdo para o modelo apropriado.,"Adicionou informações sobre o seu último emprego, e atualizou o currículo.","Depois, ela enviou-o ao seu empresário.",A Jen odiava lavar pratos.,1
40,O Neil estava a visitar a cidade de Fez.,Ele provou a culinária étnica deles.,Depois foi comprar lembranças.,"Fez também tinha grandes artistas de rua, ele observou.",O Neil divertiu-se imenso.,O Neil e o Fez tornaram-se melhores amigos.,1
41,Precisava de levar o meu cão a passear.,O meu bairro exige uma coleira.,Procurei a coleira na minha casa.,Não consegui encontrá-lo.,Decidi levar o meu cão para o quintal.,Deixei o meu cão entrar na casa.,1
42,Era um dia brilhante e quente.,Então o Joe pensou que seria bom dar um passeio.,Decidiu ir a pé até ao café da cidade.,"Mas a meio do caminho, ele começou a ficar cansado.",Então ele correu para o café.,O Joe arrepende-se de ter saído.,2
43,A Jen esteve à espera de um pacote o dia todo.,"Finalmente, ela viu o homem da UPS a caminhar até à porta.",Ele entregou o pacote e ela trouxe-o para dentro.,Ela abriu o pacote com uma faca.,Na caixa estava um recém-nascido.,A Jen encontrou o casaco novo dentro do pacote.,2
44,Frank não queria fazer os trabalhos de casa.,Ele queria jogar videogames.,Os pais do Frank disseram-lhe para fazer primeiro os trabalhos de casa.,O Frank fez uma birra e foi punido.,O Frank perdeu os jogos de vídeo durante uma semana.,O Frank tem um jogo novo.,1
45,O Timmy estava a competir na competição de 3 pontos na escola.,O vencedor teria a oportunidade de ganhar uma bolsa de estudos de 1000 dólares.,O Timmy treinou o fim-de-semana todo a disparar três pontas.,Ele estava pronto quando chegou o dia da competição.,O Timmy ganhou a competição.,O Timmy foi ao campo de treinos no dia da competição.,1
46,O Drake foi a uma festa na sexta-feira.,Ele descobriu que sua carteira havia sido roubada de seu casaco.,"O Drake chamou a polícia imediatamente, mas a carteira não foi encontrada.",Drake confrontou o anfitrião da festa sobre o assunto.,E o anfitrião disse-lhe que ele também não sabia.,O Drake disse ao anfitrião que queria voltar às festas dele.,1
47,Bob descobriu que o caminhão dele tinha um pneu furado.,Ele nunca tinha mudado um pneu antes.,Ele tirou o macaco e o ferro.,Não conseguiu tirar os parafusos.,Bob chamou alguém para consertar o pneu furado.,Bob levou o caminhão até o mercado.,1
48,Jack está cansado de escrever e-mails em seu tablet.,Decide que precisa de investir num portátil.,Ele pesquisa diferentes laptops até encontrar o perfeito.,Finalmente ele compra.,Agora o Jack gosta de responder e-mails.,Jack agora usa o serviço postal em vez de e-mail.,1
49,O cabelo do Jake estava a ficar muito longo.,Ele tinha uma entrevista de emprego.,Ele pediu à mãe para cortar o cabelo.,A mãe dele fez-lhe um corte de cabelo bonito e profissional.,O Jake lavou as mãos.,O Jake conseguiu o emprego.,2
50,O Sean veio hoje.,"Sam, Sean e eu jogámos.",Começaram a ficar zangados comigo por ser tão mau.,Disseram que não podia mais jogar até ficar melhor.,Fiquei muito magoada.,Fiquei muito satisfeito.,1
51,A Sarah queria enviar um cartão.,Ela foi ao correio.,Ela pagou os selos.,Ela colocou a carta num envelope.,A Sarah entregou a carta dela.,A carta de Sarah estava prestes a chegar ao seu destino.,2
52,O Chuck estava cansado do trabalho.,Fechou o seu trabalho por um tempo.,Ele abriu o fórum para conversar com colegas de trabalho.,"Depois daqueles golpes no Zoltar, ele precisava desta pausa.",O Chuck decidiu demitir-se do emprego.,Sentiu-se então compelido a voltar ao trabalho.,2
53,O Bob usava sacos de plástico para fazer compras.,"Então, o amigo dele disse-lhe que o plástico é mau para o ambiente.",Bob decidiu renunciar aos seus sacos plásticos.,O Bob investiu em sacos de compras reutilizáveis.,O Bob usava os sacos de compras reutilizáveis para ir às compras.,Bob continuou a usar os sacos de plástico para fazer compras.,1
54,O Joe precisava de um retrato dele para um projecto.,Ele ligou para alguns artistas locais e perguntou as suas taxas.,Um dos artistas tinha preços razoáveis.,O Joe marcou uma reunião com o artista para fazer o retrato.,Joe ficou muito satisfeito com os resultados.,O artista pintou um gato de Joe.,1
55,A Ann estava a tentar parar de fumar.,"Ela fez várias tentativas, mas sempre falhou.","Depois, pediu um adesivo de nicotina para ajudá-la.",E ajudá-la a fazê-lo!,Ann dobrou a quantidade de cigarros que fumava por dia.,Ann conseguiu parar de fumar com sucesso.,2
56,A Jen foi para a casa da tia durante o Verão.,Ela odiava a ideia de estar longe da biblioteca local o verão todo.,"Levou alguns livros com ela, mas os passava rapidamente.","Quando chegou, sua tia a levou para um quarto especial em sua casa.",A Jen viu os livros dela a arder na lareira.,A sala estava cheia de prateleiras de livros que atraíam as meninas.,2
57,Ontem foi a limpeza de dentes do Rob.,Ele normalmente tem muito medo de dentistas.,Mas há uma enfermeira nova e gira no escritório.,Ele estava entusiasmado por ir.,O Rob sentiu-se melhor depois da colonoscopia.,O Rob ficou chateado quando a enfermeira gira não apareceu naquele dia.,2
58,O Joe adorava comer terra.,Fazia tartes de lama sempre que podia.,Ele estava a comer uma tarte quando sentiu algo muito duro na boca.,O Joe tinha mordido uma pedra e tinha partido o dente.,O Joe queria mastigar mais pedras.,O Joe decidiu não comer terra outra vez.,2
59,O Rob nunca esteve numa montanha russa.,Os amigos do Rob ofereceram-lhe um bilhete grátis para o Six Flags.,O Rob decidiu que também podia juntar-se.,Todos foram e esperaram numa longa fila.,O Rob tinha amigos generosos.,Os amigos do Rob foram irrefletidos.,1
60,A Carly estava à espera que o Sam lhe ligasse.,Ele prometeu na sexta-feira.,Era agora tarde de sábado e ela não tinha ouvido nada.,"Finalmente, ela decidiu ligar-lhe.",O Sam atendeu o telefone.,A Carly pediu comida ao telefone.,1
61,A Amy voltou da escola no seu aniversário e encontrou uma casa vazia.,Ela estava chateada porque todos se esqueceram do seu dia especial.,Ela entrou triste na sala de estar.,"De repente, seus amigos e familiares saíram de seus esconderijos.",Amy sorriu de prazer.,A Amy saiu do quarto e deixou a casa.,1
62,O Pan tentou bater-me sem motivo aparente.,"Como estava zangado, simplesmente defendi o soco dela.",Ela continuou a atirar-me o punho.,"Em um esforço para detê-la, atirei-a ao chão.",O Pan finalmente parou.,Dei um grande abraço ao Pan.,1
63,A Becky tem uma prima chamada Ashley.,A Becky e a Ashley eram amigas quando eram miúdas.,A Ashley começou a ser estúpida quando cresceu.,Foi preso por roubar tampões de uma loja de dólar.,A Becky perdeu o contacto com ela.,A Becky tem orgulho na Ashley.,1
64,O bebê da Pam e do Tom dormia pouco.,"O vizinho insensível muitas vezes deixava o cão lá fora, latindo o dia todo.","Sempre que Pam dormia o bebê, o cão começava a ladrar.",A Pam fantasiou sobre soltar o cão para que ele fugisse.,"Uma noite, Pam deixou os gatos entrarem em casa.","Uma noite, Pam decidiu soltar os cães.",2
65,May foi aceite na faculdade em Fredonia.,Ela pegou o ônibus para a nova escola.,Ela explorou o campus.,Ela adorava tudo o que via.,Ela abandonou a escola.,Até gostava de todos os professores.,2
66,A Mary precisava de ter os dentes retirados.,Queria que o dentista a adormecesse.,Tudo o que ele conseguiu foi anestesiar a área com Novocaína.,Mary olhou para ele com horror.,"Depois de ver a expressão dela, o dentista pôde ajudar Mary.",Mary saiu do dentista de bom humor.,1
67,O Ford orgulhava-se da sua alta média.,Trabalhava todas as noites em tarefas para melhorá-lo.,Os amigos do Ford avisaram-no de que ele estava a perder a diversão.,"Mais tarde na vida, Ford tornou-se um advogado de sucesso.",Ford estava triste por ter conseguido tanto.,Ford estava orgulhoso de suas realizações.,2
68,A minha mulher diz que não tenho paixão.,Que não tenho muitos passatempos ou interesses.,"Tentei discutir, mas não consegui.",Percebi que ela tinha razão.,Decidi mudar.,Sou solteiro.,1
69,A Nina queria um belo fato de Halloween.,Mas ela não podia pagar nada de luxo.,Ela olhou pela casa à procura de ideias.,"Depois, ela encontrou um belo fato de graça.",A Nina comprou um brinquedo.,A Nina estava entusiasmada.,2
70,Veronika gostava de caminhar na floresta.,"Um dia, ela estava a andar e encontrou uma casa na árvore.",Ela subiu a escada e ficou espantada com todas as coisas na casa.,Estava totalmente mobiliado com móveis e cobertores.,A Veronika não gostava muito da casa na árvore.,Veronika decide visitar a casa na árvore com mais frequência.,2
71,"Era um belo dia de primavera, no início de março.",A Tracey decidiu dar um passeio no bosque atrás da casa.,Ela ouviu um pica-pau e começou a procurá-lo nas árvores.,Tropeçou numa raiz e caiu no caminho.,A Tracey voltou para casa.,A Tracey ignorou a queda.,2
72,O Bob estava com muita sede e queria um refrigerante.,"Infelizmente, ele não tinha dinheiro.",O Bob entrou num posto de gasolina e perguntou se podia beber um refrigerante.,O caixa perguntou-lhe se ele tinha dinheiro.,Ele disse que não e saiu do posto de gasolina.,Ele decidiu ir correr.,1
73,O Jim estava à espera no aeroporto.,A mulher dele estava lá dentro de uma hora.,Ele estava muito entediado.,Decidiu então pegar o seu livro.,Jim viu sua esposa depois de uma hora.,O Jim foi embora antes da mulher aparecer.,1
74,O Joe queria mesmo ir à Universidade de Columbia.,"Trabalhou muito na escola, estava na equipa de futebol.",Ele foi colocado na lista de espera.,"Embora tenha ficado desapontado, ele deu o seu melhor até o fim.",Joe ainda estava muito orgulhoso do seu trabalho duro.,O Joe decidiu que não queria ir para a faculdade.,1
75,"A amiga da Gina, Tami, tinha uma pasta que ela não queria que ninguém tivesse.","A Gina queria um, mas não sabia onde comprar.","Agora a Tami tinha uma nova Lisa Frank, a Guardiã do Armadilho.","A Gina estava com ciúmes, porque também queria um.",A Gina procurou no eBay e encontrou um que podia comprar.,A Gina cortou o quintal inteiro e não teve ajuda de ninguém.,1
76,Leah tinha uma bela árvore de Natal em casa.,"Um dia, ela foi à loja.","Quando ela voltou, a árvore foi derrubada.",O gato dela tinha subido e puxado para baixo!,A Leah decidiu que gostava mais da árvore no chão do que de pé.,Leah repreendeu o gato.,2
77,O Peter usou a mesma cadeira durante anos.,Estava a ficar desgastado.,Ele decidiu comprar uma cadeira nova e mais confortável.,"Quando chegou, Peter ficou muito feliz.",O Peter pensou que talvez fosse mais confortável do que o antigo.,Peter deixou o cão usar a cadeira para ele.,1
78,O Rex está a preparar-se para uma festa esta noite.,Ele percebe que não preparou nada para os convidados comerem com queijo.,O Rex saiu a buscar uma baguette.,Ele corta-o em fatias finas e uniformes para que seja fácil de comer.,O Rex fez uma longa viagem através do oceano.,Todos gostaram do queijo e do pão.,2
79,Ali sempre pega o trem para ir trabalhar todos os dias.,"Um dia ela estava muito doente, mas ainda assim foi trabalhar.",Trabalhou duro o dia todo e até levou o trabalho para casa.,Ela entrou no trem e adormeceu.,Ela era uma empregada preguiçosa.,Ela perdeu a paragem e teve de apanhar um autocarro para casa.,2
80,A equipa de futebol tinha trabalhado duro durante toda a temporada.,Eles ganharam todos os jogos e chegaram ao campeonato.,Só restavam segundos no tempo e o jogo estava empatado.,O quarterback fez um passe longo e o receptor marcou.,A multidão vaiou a equipe em voz alta.,A multidão se levantou de seus lugares e aplaudiu loucamente.,2
81,Vivemos num edifício de arranha-céus.,"Um dia o vento estava forte, em parte devido à altura do edifício.",O vento soprou tanto os galhos das árvores que a minha mulher não conseguiu dormir.,O vento também derrubou o cabo da Internet.,A minha mulher e eu ficámos muito infelizes por perder a nossa ligação à Internet.,Adorávamos o vento forte e a falta de sono.,1
82,A Kate queria comprar um novo teclado para o computador.,Ela economizou durante meses para comprar um bom teclado.,A Kate finalmente foi online e encomendou o teclado!,Ela esperou ansiosa por dias pela chegada.,Então ela cancelou o pedido.,Então o teclado dela chegou pelo correio.,2
83,Jon se formou na faculdade e começou a procurar emprego.,Ele solicitava empregos no seu campo todos os dias.,"Três semanas depois de começar, recebeu uma chamada.",A pessoa que ligou perguntou se ele estaria interessado numa entrevista.,Jon aceitou.,Jon recusou a oferta.,1
84,A Julie adorava ler tudo o que conseguia.,A maior parte do tempo dela foi gasto na biblioteca.,A biblioteca favorita dela era a da Srta. Watson.,A Srta. Watson viu o amor da Julie pelos livros e ofereceu-lhe um emprego.,Julie aceitou com alegria!,Julie deu um soco no olho da amiga.,1
85,A família da Amy ia para o Six Flags.,Ela se sentou pacientemente no carro esperando para chegar.,"Quando eles chegaram, ela sentou-se de joelhos e observou o parque.",Ela ficou na fila uma hora para andar na montanha russa mais grande.,A Amy estava muito entusiasmada por estar no parque.,A Amy achou o parque chato.,1
86,O Steve tinha pressa para ir ao jogo de futebol.,"Na auto-estrada, Steve dirigia o carro muito rápido.",A patrulha da estrada parou o carro do Steve.,O policial deu uma multa ao Steve por excesso de velocidade.,O Steve ficou satisfeito.,O Steve estava chateado.,2
87,A minha filha foi à primeira festa de aniversário de uma amiga.,Ela estava tão entusiasmada com a festa.,Ela não falou de mais nada durante uma semana.,Ela foi à festa e divertiu-se imenso.,Ela decidiu nunca mais ir a uma festa.,"Quando ela chegou em casa, adormeceu imediatamente, exausta.",2
88,O Bob precisava de dinheiro para comprar comida.,Ele estava triste por não poder comer porque não tinha dinheiro.,Ele decidiu escrever um livro sobre sua vida difícil.,As pessoas imediatamente elogiaram o livro e compraram milhares de exemplares!,Os lucros das vendas de livros davam a Bob dinheiro suficiente para comer.,A reação do público ao livro significa que o Bob ainda tem fome.,1
89,Acabei de completar a minha primeira maratona hoje.,Eram cerca de 10 km e trabalhei muito.,Treinei-me para isso durante três meses.,Sempre esteve na minha lista de coisas para fazer na vida.,Nunca estive tão feliz.,Estou mesmo desapontado comigo mesmo.,1
90,O Bobby dobrou o seu rolo de frutas em forma de avião.,Ele enrolou o braço e atirou o avião tão forte quanto pôde.,"Era muito pesado, porém, e caiu como um tijolo.",O Bobby decidiu que os aviões deviam ser feitos de papel.,O Bobby tinha cinco anos.,Bobby tinha trinta e cinco anos.,1
91,O Sam estava a observar as estrelas uma noite.,"De repente, ele sentou-se para cima.",Ele viu uma estrela a piscar e a mover-se!,Ele correu para mostrar ao pai.,O pai dele riu-se porque a estrela era um jacto com luzes.,O pai do Sam estava feliz por o filho se interessar por geologia.,1
92,O John e a Meg namoraram durante cinco anos.,O John amava a Meg e queria casar com ela.,"Ele decidiu pedir-lhe em casamento esta noite, depois de um encontro de cinema.","Quando saíram do cinema, ele de repente caiu de joelhos.",Começou a gritar obscenidades à Meg.,Ele pediu-lhe em casamento.,2
93,Um belo cacho de bananas pendurado fora do alcance.,"O Bobby tentou atirar o sapato, mas ficou preso.","Ele tentou subir na árvore, mas caiu.","Em seguida, ele bateu furiosamente com uma palha, mas era muito curta para alcançar.",O Bobby ficou chateado por ter as bananas.,O Bobby foi ao barracão buscar uma escada para as bananas.,2
94,A Beth estava a recuperar de uma doença.,Ela finalmente conseguiu comer comida depois de 4 dias.,"Embora estivesse melhor, não estava bem.",Decidiu tirar a sexta-feira da escola e ter tempo para se curar.,A Beth precisava de descansar.,A Beth jogou futebol na sexta-feira de folga.,1
95,A Rhonda comprou umas meias cor-de-rosa novas para usar.,Ela adorava-os.,"Mas quando ela as tirou, elas se misturaram com outras roupas.","No dia da lavandaria, ela lavava as roupas sem as separar.",Rhonda então decidiu almoçar e responder e-mails.,"Infelizmente, ficaram arruinados e Rhonda teve de comprar um novo par.",2
96,O mar estava assustador durante uma tempestade.,O Marcus odiou a forma como o barco se levantou e caiu.,Fez-lhe enjoar o estômago.,"Ele encolheu-se na cabana e fechou os olhos, mas não ajudou.",O Marcus ficou tão entusiasmado que começou a dançar.,O Marcus vomitou de enjoo do mar.,2
97,"Ontem, a Anna decidiu tirar uma soneca.",Ela se sentou confortavelmente na cadeira e fechou os olhos.,"Quando ela adormeceu, o cachorrinho da filha saltou para o colo dela!",Ela ficou muito surpresa.,"Ela abraçou o adorável cachorrinho, feliz por vê-lo.",O gatinho era muito giro.,1
98,O Chuck adora este bar perto da casa dele.,Ele vai lá com os amigos.,"Um dia, ele ia para lá e viu que estava fechado.",Tinha sido fechada.,O Chuck estava chateado.,O Chuck estava feliz por aquele lugar ter finalmente fechado.,1
99,O Steve estava sentado no café.,"Enquanto estava no café, ele geralmente lia um livro.","Mas hoje, esqueceu-se do livro.",Ele não teve escolha a não ser pensar muito.,Steve completou seu cruciverba em tempo recorde.,"Enquanto pensava, Steve teve uma ideia para um romance.",2
100,O John estava a ir à loja quando percebeu que tinha esquecido a carteira.,A carta de condução estava na carteira.,As luzes da polícia começaram a piscar atrás dele.,"Depois de parar, ele disse ao policial que tinha esquecido a carteira em casa.",John então passou a agredir o oficial.,O oficial foi compreensivo.,2
101,Tom gostava de quebra-cabeças quando era criança.,Ele não estava apenas fora da aventura da sala de fuga.,Ele acalmou a respiração e preparou-se mentalmente.,"Trinta minutos depois, ele saiu da sala de fuga em tempo recorde.",Ele sentiu orgulho em sua realização.,Tom ficou chateado por ter feito mal.,1
102,Gina estava entediada enquanto limpava o quarto.,Mas tinha de ser feito.,Ela decidiu ligar o rádio.,Havia uma canção que ela nunca tinha ouvido antes.,Ela gostou da música.,A Gina vestiu-se e foi para o trabalho.,1
