,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
10,Bob se bojao svog prvog dana rada u restoranu brze hrane.,Planirao je da sačeka da obuče svoju sjajnu mornaričku uniformu.,Bob je počeo raditi na ribljim hamburgerima nakon što je obučen u uniformu.,"Bio je toliko zauzet, da je zaboravio da se presvuče u uličnu odjeću.",Bob je toliko voleo ovu odjeću da ju je pokazivao prijateljima.,Bob je izašao nakon posla u mornaričkom odijelu.,2
11,Prijatelj je došao u posetu.,Rekla sam joj da moj pas grize.,Nije slušala.,Pokušala ga je maziti i igrati se sa njim.,Moj pas ju je ugrizao.,Moj pas je pobjegao.,1
12,Lester je oduvijek želeo da bude više umetnički.,Odluči da pokuša da nacrta cvet jednog dana.,Sjedi ispred prelijepe orhideje i počinje da crta.,Lesterov crtež je veoma dobar.,Obesio je sliku na zid u svojoj dnevnoj sobi.,Odlučio je da više nikad ništa ne crta.,1
13,Pablo voli da jede crve.,Čitao je knjigu u školi kako da to uradi.,Prži ih u maslinovom ulju.,Voli da radi ovo bar jednom mesečno.,Pablo voli crve i smatra ih delikatesom.,Pablo ne voli da jede crve.,1
14,Kira je oduvijek volela japansku kulturu.,Mnoge od njenih omiljenih filmova su bile na japanskom.,Odlučila je da putuje tamo.,Godinama je štedjela novac za putovanje.,Potrošila je sav novac na cipele.,To je bio najbolji put u njenom životu.,2
15,Glen je bio raspoložen za šetnju.,Obucao je jaknu i izašao napolje.,"Dok je hodao pločnikom, spotaknuo se i razbio koleno.",Glen je ustao i šepetao nazad u svoju kuću.,Glen je trčao svoj najbolji maraton ikada.,Glen se zakleo da nikada više neće hodati.,2
16,Isus je provodio dan poliranjem nameštaja.,"Kada se noć približila, on je pregledao posao koji je uradio.",Sve je izgledalo sjajno i novo.,Isus je pozvao sve svoje prijatelje na zabavu te večeri.,Rekli su da mu je nameštaj bio lep.,Njegovi prijatelji su mu polirali nameštaj.,1
17,Nedavno sam hodala do prodavnice.,"Dok sam prolazio kroz izlaz, osetio sam hladno, tvrdo čelik na svojoj ruci.",Bio sam šokiran da me je udario auto!,Vozač se izvinjavao nakon što je vidio da sam udaren.,Rekao sam im da je u redu i onda otišao.,Vozač je postao veoma ljut na mene.,1
18,Gina sestra si je posjekla gležanj na razbijenom staklu.,Krv joj je tekla niz nogu i u cipele.,"Kada je videla krv, pobegla je kući.","Gina je trčala iza nje, ali nije mogla da prati.","Kada su stigli kući, svi su jeli sladoled.",Gina sestra je otišla kod doktora.,2
19,Mali dječak je bio u trećem razredu.,"Bio je veoma pametan, ali se borio sa čitanjem.","Kada bi čitao naglas, njegovi kolege bi mu se smijali.",Počeo je da vežba čitanje svakog dana.,Mali dječak je prihvatio da se nikada neće poboljšati.,"Na kraju godine, dobro je prošao test čitanja.",2
20,Rozin razred je imao malu zabavu.,Odlučila je da napravi voćnu salatu za sve.,Potrošila je mnogo novca na voće i puno vremena na njegovu pripremu.,Na dan zabave je pokupila veliku zdjelu voćne salate.,Rozin razred je dijelio voćnu salatu.,Rozi je čuvalo zdjelu voćne salate u svom frižideru kod kuće.,1
21,Kelly je bila srećna što ima novi telefon.,Uzimala ga je sa sobom svuda.,"Nažalost, ona ga je razbila.","Srećom, uspela je da je popravi.",Prodavnica joj je dala fer cenu da je popravi.,Kelly je kupila novi telefon.,1
22,"Dok sam bila na koledžu, upoznala sam starijeg čoveka.","Ja sam imala 22 godine, a on 38.",Imali smo dobar odnos i dobro smo se proveli zajedno.,Bili smo zajedno sve vreme dok sam bio tamo.,Imam lijepa sjećanja na to vreme.,Imam negativna sjećanja na to vreme.,1
23,Bob je htio da glumi u školskoj predstavi.,Pažljivo je proučavao ulogu.,Često je vežbao svoje rečenice.,"Na dan audicije, uradio je odličan posao.",Bob je bio veoma ponosan.,Bob se veoma stidio.,1
24,Jackie je imenovana za čuvarku u osmom razredu.,Ona je zavidna čitavom razredu.,Kolege iz razreda često ugrožavaju njen posao.,Ukrali bi Džekijeve propusnice.,Direktor je suspendovao njene bučne kolege.,Njeni kolege su dobili nagrade za svoje ponašanje.,1
25,Moj tata je upravo dobio novi auto.,"Da proslavimo, svi smo otišli na vožnju.","Drugi auto je prešao znak ""stop"" i udario se u nas.",Udario sam u prozor dovoljno da ga slomim.,Izašao sam i ja i moj tata smo bili u redu.,Oboje smo bili sravnjeni sa vozilom.,1
26,"Moja nećakinja voli film ""Zamrznut"".",Ona uvek želi da je obuče.,Ona ide okolo po kući pjevajući.,"Ona voli da vrišti, pusti to.",Ona je pjeva ponovo i ponovo.,Ona voli sport i mrzi stvari princeze.,1
27,"Alex je dribljao na terenu, a njegov tim je zaostajao dva boda.",Pogledao je na tablu rezultata i vidio da je ostalo samo 5 sekundi.,Njegov um je trčao dok je pokušavao da pronađe otvorenog čoveka.,Branilac se ljepio na njegove kolege kao ljepilo.,Zvono je zazvonilo i njegov tim je pobijedio.,Pokušao je da pogodi trostruku i promašio.,2
28,Ušao sam u biblioteku i sjedio.,"Kada sam pogledao oko sebe, primetio sam dete.",Neko vreme je buljio u mene.,Postao sam frustriran i ustao sa sedišta.,Nije me bilo briga šta dečko radi.,Pitao sam ga šta mu je problem.,2
29,Iva i Brant su pokušavali da zatrudne.,Pokušavali su šest meseci bez uspjeha.,"Na posjetu doktoru, izrazili su obeshrabrenje.",Ali onda su videli doktora da se široko smije.,Brant će otkazati planove da otme dete.,Par će biti srećan da znaju da čekaju bebu.,2
30,Katarina je oduvijek bila zainteresovana za sport karling.,Catherine voli gledati sportiste kako igraju na televiziji.,"Jednog dana, Catherine je odlučila da posjeti trening za curling.","Na treningu, jedan od sportista je pozvao Catherine da igra.",Ketrin je tada počela da vežba svaki dan i postala je dobra u tome.,Catherine je mislila da je kruljanje dosadno.,1
31,Francis je oduvijek jedva čekao da nauči da vozi.,Konačno je dovoljno star da dobije vozačku dozvolu.,Francis se jako uči da bi dobio dozvolu.,Lako je položio vozački ispit.,Francis je stvarno ponosan na svoje postignuće.,Francis odlučuje da bi radije koristio javni prevoz.,1
32,Juče sam se super proveo gledajući Krakove orahe.,Ja sam apsolutno volio.,Dok su plesači ukrašili pozornicu bilo je prelijepo.,Čast mi je što sam video predstavu.,Zakleo sam se da ga više nikada neću vidjeti.,Htela sam da je vidim ponovo.,2
33,Probudio sam se za čas u 8:30 ujutro.,"Sanja mi je, ustala sam iz kreveta i stuširala se.",Brzo sam doručkovala i krenula u nastavu.,"Nakon 50 minuta nastave, počeo sam da se vraćam u svoj dom.",Odlučio sam da se vratim na nastavu.,"Kada sam stigao tamo, malo sam odspavao.",2
34,Gary je htio privući Lisinu pažnju.,Jednog dana odluči da napiše Lisinoj pjesmu.,"Sledećeg dana u školi, Gary vidi Lisu u hodniku.",Gary se nasmije Lizi i predaje joj pjesmu.,Gary je napao Lisu i otišao.,Lisa priznaje da je i ona zaljubljena u Garyja.,2
35,Karlos je oduvijek želeo da poseti Francusku.,"Odlučio je da prije nego što ode, nauči francuski.",Prijavljuje se na večernji kurs i veoma se naporno uči.,Konačno Karlos zna da govori francuski prilično dobro.,Carlos je rezervisao let za Australiju.,Carlos je najbolje iskoristio svoj francuski na putovanju u Pariz.,2
36,Lars je oduvek želeo da proba fotografiju.,"Njegov prijatelj je bio odličan fotograf, ali nikada nije pokušao.","Jednog dana kupio je jednostavnu, ali visokokvalitetnu kameru.","Od tog dana, Lars je snimao slike prirode svaki dan.",Lars se zaljubio u fotografiju.,Lars je mrzio fotografiju.,1
37,Kupio sam televiziju u prodavnici elektronike.,To je veliki ekran sa slikom visoke kvalitete.,Zaposlenik me je uvjerio da kupim garanciju za njega za svaki slučaj.,"Nedelju dana kasnije, televizor mi je pao sa zida i pokvario se.",Uspio sam da ga popravim uz garanciju.,Poslije je pronađen mrtav.,1
38,Ryan je bio u parku.,I vidio je djevojčicu koja je držala balon.,"Kada je napuštao park, vidio je isti balon zaglavljen u drvetu.",Popeo se na drvo da bi pokupio balon.,Ryan je onda namjerno popnuo balon.,Ryan je onda pronašao djevojku i dao joj balon koji je izgubila.,2
39,Jenin menadžer joj je rekao da mora da upload svoj životopis.,Shvatila je da njen životopis nije pravilno formatiran.,Prebacila je sav sadržaj na pravi šablon.,"Dodala je informacije o svom poslednjem poslu, ažurirala je životopis.",Onda je poslala menadžeru.,Jen je mrzila pranje sudova.,1
40,Neil je obilazio grad Fez.,Probao je njihovu etničku kuhinju.,Onda je otišao u kupovinu suvenira.,"Fez je imao i sjajne ulične izvođače, primetio je on.",Neil se super proveo.,Neil i Fez su postali najbolji prijatelji.,1
41,Morao sam da izvadim psa.,Moj kvart zahteva uzicu.,Tražio sam u kući u vezi.,Nisam ga mogao naći.,Odlučio sam da odvedem psa u dvorište.,Pustio sam psa da uđe u kuću.,1
42,"Bio je to sjajan, topli dan.",Joe je mislio da bi bilo lijepo da se prošetamo.,Odlučio je da ode do lokalne kafiće.,"Ali na pola puta, počeo je da se umara.",Pa je trčao u kafić.,Džo žali što je izašao napolje.,2
43,Jen je čekala paket cijeli dan.,Konačno je videla da UPS-ov čovek prilazi vratima.,"On je dostavio paket, a ona ga je donijela unutra.",Otvorila je paket nožem.,U kutiji je bila novorođena beba.,Jen je našla novi kaput u paketu.,2
44,Frank nije hteo da radi domaći.,Htio je da igra video igre.,Frankovu roditelja mu je rekao da prvo uradi domaći.,Frank je imao napad bijesa i kažnjen je.,Frank je izgubio svoje video igre na nedelju dana.,Frank je dobio potpuno novu igru.,1
45,Timmy se takmičio u trostrukom takmičenju u svojoj školi.,Pobjednik će imati šansu da osvoji 1000 dolara stipendije za koledž.,Timmy je vježbao da postigne tri poena cijeli vikend.,Bio je spreman kada je dan takmičenja stigao.,Timmy je pobijedio na takmičenju.,Timmy je otišao na teren za vožnju na dan takmičenja.,1
46,Drake je bio na zabavi u petak.,Otkrio je da mu je novčanik ukraden iz jakne.,"Drake je odmah pozvao policiju, ali novčanik nije pronađen.",Drake se suočio sa domaćinom zabave oko tog pitanja.,I domaćin mu je rekao da ni on ne zna.,Drake je rekao domaćinu da želi da opet prisustvuje njegovim zabavama.,1
47,Bob je otkrio da mu je kamion imao puklu gumu.,Nikada pre nije menjao gumu.,Izvukao je krak i gume.,Nije mogao da skine vijke.,Bob je pozvao nekoga da mu popravi puklu gumu.,Bob je vozio svoj kamion do tržnice.,1
48,Jack je umoran od pisanja e-mailova na svom tabletu.,Odluči da treba da uloži u laptop.,Pretražuje različite laptopove dok ne nađe savršenog.,Konačno ga je kupio.,Sada Jack zapravo uživa u odgovaranju na e-mailove.,Jack sada koristi poštansku uslugu umjesto e-pošte.,1
49,Jakeova kosa je postala malo preduga.,Imao je intervju za posao.,Pitao je majku da mu skine kosu.,Njegova majka mu je dala lepo i profesionalno frizuru.,Jake je oprao ruke.,Jake je dobio posao.,2
50,Šon je danas došao.,"Sam, Sean i ja smo se igrali.",Poceli su da se ljute na mene zbog toga koliko sam loša.,Rekli su da ne mogu da igram dok ne budem bolje.,Bio sam stvarno povređen.,Bio sam veoma zadovoljan.,1
51,Sarah je htela da pošalje čestitku.,Otišla je na poštu.,Platila je marke.,Stavila je pismo u kovertu.,Sara je dostavljao pismo sama.,Sarajevo pismo je uskoro krenulo ka odredištu.,2
52,Chuck je bio umoran od posla.,Zatvorio je rad na neko vreme.,Otvorio je forum da bi razgovarao sa kolegama.,"Posle tih Zoltarovih udaraca, trebao je ovaj odmor.",Chuck je odlučio da napusti posao.,Onda je bio primoran da se vrati na posao.,2
53,Bob je koristio plastične vreće za kupovinu.,Onda mu je prijatelj rekao da je plastika loša za okolinu.,Bob je odlučio da se odrekne svojih plastičnih vrećica.,Bob je uložio u neke torbe za ponovni korištenje.,Bob je koristio svoje torbe za kupovinu da bi otišao u kupovinu.,Bob je nastavio da koristi plastične vreće za kupovinu.,1
54,Joe je trebao da napravi portret sebe za projekat.,Pozvao je neke lokalne umetnike i pitao ih za cijene.,Jedan od umjetnika je imao razumne cijene.,Joe je zakazao sastanak sa tim umjetnikom da napravi portret.,Džo je bio veoma zadovoljan rezultatima.,Umjetnik je naslikao Džoovu mačku.,1
55,Ann je pokušavala da prestane da puši.,"Nekoliko puta je pokušala, ali je uvek propala.",Onda je primenila nikotinski flaster da joj pomogne.,I pomogni joj da to uradi!,Ann je udvostručila količinu cigareta koje je pušila svaki dan.,Ann je uspješno prestala da puši.,2
56,Jen je poslata kod tetke na ljeto.,Mrzila je pomisao da bude odsutna od svoje lokalne biblioteke cijelo ljeto.,"Uzela je sa sobom nekoliko knjiga, ali ih je brzo prošla.","Kada je stigla, njena tetka je odvela u posebnu sobu u svojoj kući.",Jen je videla njene knjige kako gori u kaminu.,Soba je bila puna polica sa knjigama koje su privlačile devojke.,2
57,Juče je bilo čišćenje zuba za Roba.,Obično se plaši zubara.,Ali ima slatka nova sestra u uredu.,Bio je uzbuđen da ide.,Rob se osjecao osveženim nakon kolonoskopije.,Rob je bio razočaran kada slatka sestra nije bila tu.,2
58,Džo je volio da jede zemlju.,Pravio je pite od blata kad god je imao priliku.,Jeo je pitu kada je osetio nešto jako teško u ustima.,Joe je ugrizao kamen i izbio mu zub.,Džo je hteo da žvače još kamenja.,Joe je odlučio da više ne jede zemlju.,2
59,Rob nikada nije bio na rollercoasteru.,Robovi prijatelji su mu ponudili besplatnu kartu za Six Flags.,Rob je odlučio da se može pridružiti.,Svi su otišli i čekali u dugom redu.,Rob je imao velikodušne prijatelje.,Robovi prijatelji su bili bezobzirni.,1
60,Carly je čekala da je Sam nazove.,Obećao je u petak.,Bila je kasna subota i nije ništa čula.,Konačno je odlučila da ga nazove.,Sam je odgovorio na telefon.,Carly je naručila hranu preko telefona.,1
61,Ejmi se vratila iz škole na svoj rođendan u praznu kuću.,Bila je uznemirena što su svi zaboravili njen poseban dan.,Tužno je ušla u dnevnu sobu.,"Odjednom, njeni prijatelji i porodica su iskočili iz svojih skrovišta.",Ejmi se nasmijala od zadovoljstva.,Ejmi je izašla iz sobe i napustila kuću.,1
62,Pan me je pokušao udariti bez razloga.,"Kao što sam bio ljut, jednostavno sam branio njen udarac.",Nastavila je da me udara šakom.,"U pokušaju da je zaustavim, bacio sam je na zemlju.",Pan je konačno stao.,Ja sam se zagrlila za Pana.,1
63,Becky ima rođaka po imenu Ashley.,Becky i Ashley su bile prijateljice dok su bile deca.,Ešli je postala glupa kad je odrasla.,Otišla je u zatvor zbog krađe tampona iz prodavnice.,Becky je izgubila kontakt sa njom.,Becky je ponosna na Ashley.,1
64,Pam i Tomova beba je malo spavala.,Njihov nepromišljeni komšija je često ostavljao svog psa vani da laje po ceo dan.,"Svaki put kada je Pam uspavala bebu, pas je počeo lajati.",Pam je sanjala o oslobađanju psa da bi pobjegao.,"Jedne noći, Pam je pustila svoje mačke u svoj dom.","Jedne noći, Pam je odlučila da pusti pse.",2
65,Mej je primljena na koledž u Fredoniji.,Otišla je autobusom u novu školu.,Ona je istraživala kampus.,Volela je sve što je videla.,-Ostala je bez škole.,Čak je i sve svoje profesore volela.,2
66,Meri je morala da izvadi zube.,Želela je da je zubar uspava.,Sve što je mogao da uradi je da omamljuje područje novokainom.,Meri ga je uplašeno pogledala.,"Nakon što je vidio njen izraz lica, zubar je mogao da pomogne Meri.",Meri je otišla od zubara u dobrom raspoloženju.,1
67,Ford je bio ponosan na svoj visok prosek.,Radio je svaku večer na zadatcima da bi ga poboljšao.,Fordovi prijatelji su ga upozorili da propušta zabavu.,"Kasnije u životu, Ford je postao uspješan advokat.",Ford je bio tužan što je postigao toliko.,Ford je bio ponosan na svoja postignuća.,2
68,Moja žena kaže da mi nedostaje strast.,Da nemam mnogo hobija ili interesa.,"Pokušao sam da se raspravljam, ali nisam mogao.",Shvatio sam da je bila u pravu.,Odlucio sam da se promenim.,Ja sam neudata.,1
69,Nina je htjela lijep kostim za Noć vještica.,Ali nije mogla da priušti ništa luksuzno.,Ona je tražila ideje u svojoj kući.,Onda je našla sjajan kostim besplatno.,Nina je kupila igračku.,Nina je bila uzbuđena.,2
70,Veronika je volela da se šeta po šumi.,Jednog dana je bila na stazi i našla kuću na drvetu.,Popela se na ljestve i bila je zapanjena svim stvarima u kući.,Bila je potpuno namještena sa namještajem i pokrivačima.,Veronika nije baš volela kuću na drvetu.,Veronika odlučuje da češće posjeti kuću na drvetu.,2
71,Bio je predivan prolećni dan početkom marta.,Tracey je odlučila da ode u šumu iza svoje kuće.,Čula je pečurku i počela je da je traži na drveću.,Sklonula se o korijen i pala na stazu.,Tracey se vratila kući.,Tracey je ignorisala pad.,2
72,Bob je bio jako žedan i htio je sok.,"Nažalost, nije imao para.",Bob je ušao u benzinsku pumpu i pitao da li može da popije sok.,Kasijer ga je pitao ima li para.,Rekao je ne i otišao sa benzinske pumpe.,Odlučio je da ode na trčanje.,1
73,Jim je čekao na aerodromu.,Njegova žena će biti tamo za sat vremena.,Bio je veoma dosadan.,Onda je odlučio da se vrati svojoj knjizi.,Džim je vidio svoju ženu posle sat vremena.,Jim je otišao prije nego što se njegova žena pojavila.,1
74,Džo je stvarno želio da pohađa Kolumbijski univerzitet.,"Bio je naporan u školi, bio je u fudbalskom timu.",Stavio sam ga na listu čekanja.,"Iako je bio razočaran, dao je sve od sebe do kraja.",Džo je i dalje bio ponosan na svoj naporan rad.,Joe je odlučio da ne želi da ide na koledž.,1
75,Gina je prijateljica Tami imala fasciklu koju nije htjela da bilo ko drugi ima.,"Gina je želela da kupi, ali nije znala gde da je kupi.",Tami je dobila novu Lisa Frank Trapper Keeper.,Gina je bila ljubomorna jer je i ona htjela.,Gina je pogledala na ebayu i našla jednu koju si može priuštiti.,Gina je kosila cijeli dvorište i nije imala ničije pomoći.,1
76,Lea je imala predivno božićno drvo u kući.,"Jednog dana, otišla je u prodavnicu.","Kada se vratila, drvo je bilo srušeno.",Njena mačka je popela na nju i povukla je dolje!,Leah je odlučila da joj se više sviđa drvo na podu nego stojeći.,Lea je kaznila svoju mačku.,2
77,Peter je koristio istu stolicu godinama.,Postajao je iscrpljen.,"Odlučio je da kupi novu, udobniju stolicu.","Kada je stigao, Petar je bio veoma sretan.",Peter je mislio da bi mogao biti čak i udobniji od starog.,Peter je pustio svog psa da koristi stolicu za sebe.,1
78,Rex se sprema za zabavu večeras.,Shvata da nije pripremio ništa za goste da jedu sa sirom.,Rex je izašao po bagetu.,"On ga reže na tanke, ravne reže da bi ga bilo lako jesti.",Rex je krenuo na dugo putovanje preko okeana.,Svi su uživali u sir i hljebu.,2
79,Ali uvek ide vozom na posao svaki dan.,"Jednog dana je bila veoma bolesna, ali je ipak otišla na posao.","Cijeli dan je naporno radila, pa je čak i poslala kući.",Ušla je u voz i zaspala.,Bila je lijen zaposlenik.,Propustila je svoju stanicu i morala je da se vrati kući autobusom.,2
80,Fudbalski tim je naporno radio cijelu sezonu.,Pobijedili su u svakoj utakmici i stigli do prvenstva.,Ostale su samo sekunde na satu i igra je bila izjednačena.,Quarterback je dao dug pas i prijemnik je postigao.,Publika je glasno zavijala ekipi.,Svi su se ustali sa svojih mesta i divlje pljeskali.,2
81,Mi živimo u visokom zgradi.,"Jednog dana je bio jak vetar, delimično zbog visine zgrade.",Vetar je toliko odvijao grane da moja žena nije mogla da spava.,Vetar je također srušio internet kabl.,Moja žena i ja smo bili veoma nesrećni što smo izgubili internet vezu.,Voleli smo jak vetar i nedostatak sna.,1
82,Kejt je htela da kupi novu tastaturu za svoj računar.,Spakovala je mesecima da si priušti dobru tastaturu.,Kate je konačno otišla na internet i naručila svoju tastaturu!,Danima je uzbuđeno čekala njen dolazak.,Onda je otkazala narudžbu.,Onda je njena tastatura stigla poštom.,2
83,Džon je diplomirao na fakultetu i počeo da traži posao.,Svaki dan je aplicirao za posao u svom polju.,"Tri nedelje nakon što je počeo, dobio je poziv.",Osoba koja je zvala je pitala da li bi bio zainteresovan za intervju.,Džon je prihvatio.,Džon je odbio ponudu.,1
84,Julie je volela da čita sve što joj se približi.,Većinu vremena provodi u biblioteci.,Njena omiljena biblioteka je bila u posedu gđice Watson.,Gđica Watson je vidjela Julienu ljubav prema knjigama i ponudila joj posao.,Julie je rado prihvatila!,Julie je udarila prijatelja u oko.,1
85,Ejmin porodica je išla u Six Flags.,Ona je strpljivo sedela u autu i čekala da stigne.,"Kada su stigli, ona je sjedila na koljenima i promatrala park.",Čekala je sat vremena u redu da bi se vozila na najvećem roller coasteru.,Ejmi je bila uzbuđena što je u parku.,Ejmi je mislila da je park dosadan.,1
86,Steve je žurio da ode na utakmicu.,Na autoputu je Steve vozio veoma brzo.,Patrola je zaustavila Steveov auto.,Policajac je napisao Steveu kaznu zbog brze vožnje.,Steve je bio zadovoljan.,Steve je bio uznemiren.,2
87,Moja ćerka je otišla na prvu rođendansku zabavu za prijatelja.,Bila je tako uzbuđena što je vodila na zabavu.,Tjedan dana nije pričala ni o čemu drugom.,Otišla je na zabavu i zabavila se.,Odlučila je da više nikada ne ide na zabavu.,"Kada je došla kući, odmah je zaspala, iscrpljena.",2
88,Bob je trebao novac za hranu.,Bio je tužan što nije mogao da jede jer nije imao para.,Odlučio je da napiše knjigu o svom teškom životu.,Ljudi su odmah pohvalili knjigu i kupili hiljade primeraka!,Dobit od prodaje knjiga je Bobu dala dovoljno novca da jede.,Reakcija javnosti na knjigu znači da Bob i dalje gladuje.,1
89,Danas sam završio prvi maraton.,Bilo je oko 10 km i ja sam se jako potrudio.,Trenirao sam za to oko tri meseca.,Uvek je bilo na mojoj listi stvari koje treba da uradim u životu.,Nikada nisam bio srećniji.,Ja sam stvarno razočaran u sebe.,1
90,Bobby je savili svoj voćni rulo u obliku aviona.,Povukao je ruku i bacio avion što je jače mogao.,"Ali, bio je previše težak i pao je kao cigla.",Bobby je odlučio da avioni treba da budu od papira.,Bobby je imao pet godina.,Bobby je imao 35 godina.,1
91,Sam je gledao zvezde jedne noći.,Odjednom je sjedio u uspravnom položaju.,"Vidio je blještavu, pokretnu zvezdu!",Trčao je da to pokaže svom ocu.,Njegov otac se smijao jer je zvijezda bila avion sa svjetlima.,Samov otac je bio sretan što se njegov sin zanima za geologiju.,1
92,John i Meg su se viđali pet godina.,John je volio Meg i htio je oženiti.,"Odlučio je da je zaprosi večeras, nakon izlaska u bioskop.","Kada su izašli iz kina, on je odjednom pao na koljena.",Počeo je da vrišti opscenosti na Meg.,Pitao ju je da se uda za njega.,2
93,Prelijepa gomila banana koja visi izvan dohvata.,"Bobby je pokušao da baci cipela, ali se zaglavila.","Pokušao je da se popne na drvo, ali je pao.","Zatim je bijesno udario koplom, ali je bila prekratka da bi se dosegla.",Bobby je bio uznemiren što je dobio banane.,Bobby je otišao u šupu po ljestve da donese banane.,2
94,Bet se oporavljala od bolesti.,Konačno je mogla da jede posle 4 dana.,"Iako je bila bolja, nije bila dobro.",Odlučila je da u petak ne ide u školu i da ima vremena da se oporavi.,Bet je morala da se odmori.,Beth je igrala fudbal u slobodan petak.,1
95,Rhonda je kupila nove ružičaste čarape.,Volela ih je.,"Ali kada ih je skinuo, miješali su se sa drugim rubljem.","Na dan pranja, ona je prala odeću bez da je razvrsta.",Rhonda je odlučila da ruča i da odgovara na e-mailove.,"Nažalost, oni su uništeni i Rhonda je morala da kupi novi par.",2
96,More je bilo strašno tokom oluje.,Marcus je mrzio način na koji je brod ustao i pao.,Bilo mu je muka od stomaka.,"Zakrcao se u svoju kabinu i zatvorio oči, ali to nije pomoglo.",Marcus je bio toliko uzbuđen da je počeo da pleše.,Marcus je povraćao od morske bolesti.,2
97,Juče je Ana odlučila da malo odspava.,Usedla se u stolicu i zatvorila oči.,"Baš kad je zaspala, njen ćerkić je skočio u krilo!",Bila je veoma iznenađena.,"Zagrlila se sa slatkim štenećem, sretna što ga vidi.",Mačić je bio veoma slatki.,1
98,Chuck voli ovaj bar pored svoje kuće.,On tamo ide stalno sa prijateljima.,Bio je na putu tamo jednog dana i primetio da je zatvoreno.,Bio je zatvoren.,Chuck je bio uznemiren.,Chuck je bio sretan da je ta kuća konačno zatvorena.,1
99,Steve je sjedio u kafiću.,"Dok je bio u kafiću, obično je čitao knjigu.","Međutim, danas je zaboravio knjigu.","Nije imao izbora, nego da mnogo razmišlja.",Steve je završio svoju križaljku u rekordnom vremenu.,"Dok je razmišljao, Stivu je pala ideja za roman.",2
100,Džon je vozio do prodavnice kada je shvatio da je zaboravio novčanik.,Vozačka mu je bila u novčaniku.,Policija je počela da treperi iza njega.,"Nakon što je stao, rekao je policajcu da je zaboravio novčanik kod kuće.",Džon je onda počeo da napada policajca.,Policajac je bio razumevajući.,2
